"","Evenement","Organisator","Entree Ja/Nee","Editie 1","Startdatum","Einddatum","Aantal dagen","Locatie/accomodatie","Binnen of Buiten","Imago","Bezoekers","Jaar"
"360","2U0X","E5H","gratis",2013,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",69500,2013
"361","G1Z8","M5B","gratis",2013,2013-03-01,2013-03-01,1,"Rijnhaven / RAAF","beide","Regionaal belang/kleinschalig",200,2013
"362","RGGB","H14","gedeeltelijk gratis",2012,2013-02-06,2013-03-09,32,".en anderen","binnen","Internationaal belang/Iconen",13552,2013
"363","59PC","JSW","gedeeltelijk gratis",2013,2013-07-20,2013-07-23,4,"Rijnhaven","beide","Nationaal belang/Parels",1772,2013
"364","DNYW","G0G","onbekend",2011,NA,NA,NA,NA,"onbekend","Onbekend",NA,2013
"365","J90K","T9F","betaald",2013,NA,NA,NA,NA,"binnen","Nationaal belang/Parels",1377,2013
"366","CAIJ","IRQ","gedeeltelijk gratis",2013,2013-07-25,2013-08-16,8,"Hofbogen","buiten","Regionaal belang/kleinschalig",150,2013
"367","T5M2","8B1","gratis",2012,2013-09-01,2013-09-01,1,"Katendrecht / Route","beide","Regionaal belang/kleinschalig",1800,2013
"368","2NO7","7ZE","gedeeltelijk gratis",2012,2013-12-06,2013-12-08,3,"Locatie nog onbekend","beide","Nationaal belang/Parels",7500,2013
"369","HFSA","QBI","gedeeltelijk gratis",2013,2013-06-11,2013-06-16,6,"Schouwburgplein / Rotterdamse Schouwburg / De Doelen / Churchillplein / Coolsingel / Hofplein / Route","beide","Internationaal belang/Iconen",650000,2013
"370","KMZB","263","betaald",2003,2013-03-09,2013-03-09,1,"Witte de Withstraat / Museum Boijmans Van Beuningen / Historisch Museum / Chabot Museum / Museumpark / Wereldmuseum / Natuur Historisch Museum / .en anderen","beide","Nationaal belang/Parels",15000,2013
"371","RDGV","OYV","gedeeltelijk gratis",2008,NA,NA,NA,NA,"binnen","Nationaal belang/Parels",3993,2013
"372","8PO8","WAM","gratis",2013,NA,NA,NA,NA,"binnen","Regionaal belang/kleinschalig",NA,2013
"373","0EVM","G5C","gratis",2009,2013-06-01,2013-06-09,9,"Zomerhofkwartier / Mini Mall / Schieblock","beide","Regionaal belang/kleinschalig",7000,2013
"374","93HB","TQW","betaald",2009,2013-05-25,2013-05-25,1,"Maassilo","binnen","Regionaal belang/kleinschalig",1500,2013
"375","FNO3","C6J","gratis",1993,2013-09-06,2013-09-08,3,"Oude Haven / Wijnhaven","beide","Nationaal belang/Parels",25000,2013
"376","KDZX","CUO","gratis",2013,2013-05-15,2013-05-19,5,"Ahoy","binnen","Nationaal belang/Parels",40000,2013
"377","4TDX","1IP","gratis",2002,2013-11-16,2013-11-16,1,"Willemsplein / Route","route","Regionaal belang/kleinschalig",15000,2013
"378","11EA","R3T","gedeeltelijk gratis",2007,2013-03-29,2013-03-31,3,"Schouwburgplein / De Doelen","beide","Nationaal belang/Parels",10042,2013
"379","ZSP5","NS7","betaald",2011,2013-11-23,2013-11-24,2,"De Doelen","binnen","Nationaal belang/Parels",4002,2013
"380","HTHW","RUY","gratis",2005,NA,NA,NA,NA,"route","Regionaal belang/kleinschalig",NA,2013
"381","AHI8","09K","gedeeltelijk gratis",2011,2013-04-28,2013-09-21,9,"Grotekerkplein","buiten","Regionaal belang/kleinschalig",1700,2013
"382","EZZT","V6N","gratis",2011,2013-05-09,2013-05-09,1,"Hoek van Holland strand","buiten","Regionaal belang/kleinschalig",120000,2013
"383","21MA","IE6","gedeeltelijk gratis",2008,NA,NA,NA,NA,"beide","Nationaal belang/Parels",700,2013
"384","VE30","G0G","onbekend",2013,NA,NA,NA,NA,"onbekend","Onbekend",NA,2013
"385","30YD","4PS","gratis",2013,2013-05-26,2013-05-26,1,"Bergse Plassen Hillegersberg","buiten","Regionaal belang/kleinschalig",15,2013
"386","AHWR","4B9","gratis",2012,2013-01-27,2013-09-29,5,"Museumpark","buiten","Regionaal belang/kleinschalig",NA,2013
"387","4O4P","UEZ","betaald",2013,2013-04-27,2013-04-30,2,"Zuiderpark / RDM terrein","buiten","n.v.t.",3000,2013
"388","R9WT","9WG","betaald",2004,2013-06-08,2013-06-09,2,"Tuinen Rotterdam","buiten","Regionaal belang/kleinschalig",1700,2013
"389","R7Z8","ZIG","gratis",1993,2013-09-06,2013-09-08,3,"Parkkade / Erasmusbrug / Wilhelminapier / Havengebieden / Veerhaven / Willemskade / Boompjes / Rijnhaven / Willemsplein","buiten","Internationaal belang/Iconen",NA,2013
"390","X9OW","I4Q","gratis",2013,2013-10-16,2013-10-16,1,"Westersingel","beide","Nationaal belang/Parels",1200,2013
"391","JWMA","N64","gedeeltelijk gratis",2013,NA,NA,NA,NA,"beide","Internationaal belang/Iconen",5935,2013
"392","DVUF","71C","betaald",2013,2013-09-18,2013-10-27,40,"Parkkade / Hofbogen","beide","Nationaal belang/Parels",485,2013
"393","H3T4","W2S","onbekend",NA,NA,NA,NA,NA,"onbekend","Nationaal belang/Parels",170,2013
"394","SGF3","KQH","gratis",2013,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",12000,2013
"395","YZG8","NHN","gratis",2013,2013-09-28,2013-10-26,5,"Kruisplein / Binnenwegplein / Markthal / Hoogstraat","beide","Regionaal belang/kleinschalig",2500,2013
"396","D92Y","570","gedeeltelijk gratis",2013,NA,NA,NA,NA,"binnen","Nationaal belang/Parels",500,2013
"397","N2P2","2R2","gratis",2009,2013-09-20,2013-09-22,3,"Heemraadsplein","buiten","Regionaal belang/kleinschalig",8500,2013
"398","SK73","49Q","betaald",2013,NA,NA,NA,NA,"buiten","Nationaal belang/Parels",5000,2013
"399","CGG9","7P2","gratis",NA,2013-07-07,2013-12-15,2,"Museumpark","beide","Regionaal belang/kleinschalig",15000,2013
"400","4N6U","PXB","gratis",2013,NA,NA,NA,NA,"binnen","Nationaal belang/Parels",200,2013
"401","LZ8Y","U9A","gedeeltelijk gratis",2013,NA,NA,NA,NA,"beide","Nationaal belang/Parels",63,2013
"402","NE6U","G0G","onbekend",2013,NA,NA,NA,NA,"onbekend","Onbekend",NA,2013
"403","ZHY2","T1N","betaald",2013,2013-10-07,2013-10-07,1,"Rotterdamse Schouwburg","binnen","Regionaal belang/kleinschalig",650,2013
"404","K5F8","Z2W","onbekend",2013,2013-08-30,2013-08-31,2,"Havengebieden / Boompjes / Route / Boompjeskade","route","Nationaal belang/Parels",4000,2013
"405","6RNW","GGS","betaald",2011,2013-01-03,2013-01-08,6,"Ahoy","binnen","Nationaal belang/Parels",NA,2013
"406","LN31","YK6","gratis",2011,2013-12-08,2013-12-08,1,"Stadion Feijenoord / De Kuip / Erasmusbrug","buiten","Nationaal belang/Parels",50000,2013
"407","UIXX","31U","betaald",2013,2013-07-26,2013-07-28,3,"Ahoy / Parkeerterrein Ahoy","beide","Nationaal belang/Parels",20000,2013
"408","PMSD","QDK","gratis",2013,2013-08-03,2013-08-11,9,"Parkeerterrein Ahoy","buiten","Regionaal belang/kleinschalig",10000,2013
"409","KEUP","IM1","gratis",2001,2013-05-26,2013-06-23,5,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",11650,2013
"410","BKP0","7AZ","gedeeltelijk gratis",2014,2014-05-24,2014-05-24,1,"s'Gravendijkwal","beide","Regionaal belang/kleinschalig",1500,2014
"411","8G23","7AU","betaald",2014,2014-11-12,2015-06-27,2,"Kralingse Bos","buiten","Regionaal belang/kleinschalig",5000,2014
"412","2G6S","C6J","gratis",1993,2014-09-05,2014-09-07,3,"Maritiem Museum / Centraal Station / Eendrachtsplein / Parkkade / Erasmusbrug / Leuvehaven / Maritiem Buitenmuseum / Plein 1940 / Oude Haven / Blaak / Veerhaven / Wijnhaven / Havenmuseum","beide","Regionaal belang/kleinschalig",27200,2014
"413","CMBY","XA8","gratis",2014,2014-06-25,2014-07-02,2,"Stadion Feijenoord / De Kuip","buiten","Nationaal belang/Parels",15000,2014
"414","UOMM","5U8","betaald",2014,2014-04-02,2014-09-30,154,"Fenixloods","binnen","Nationaal belang/Parels",1e+05,2014
"415","742L","8YZ","onbekend",2012,2014-09-13,2014-09-14,2,"Schouwburgplein / Museum Boijmans Van Beuningen / Rotterdamse Schouwburg / Maritiem Museum / Luxor (nieuw) / LantarenVenster / Leuvehaven / Museumpark / .en anderen / Het Nieuwe Instituut","beide","Nationaal belang/Parels",24000,2014
"416","I1J5","2R5","gratis",2014,2014-09-12,2014-09-14,3,"Museumpark","buiten","Internationaal belang/Iconen",15000,2014
"417","YPZB","E5H","gratis",2013,2014-09-13,2014-09-14,2,"Schouwburgplein","buiten","Regionaal belang/kleinschalig",6870,2014
"418","RX22","WW4","gedeeltelijk gratis",2014,2014-07-20,2014-08-09,21,"Campus Erasmus Universiteit","beide","Nationaal belang/Parels",5000,2014
"419","XDDA","TQP","gedeeltelijk gratis",2014,2014-05-29,2014-06-01,4,"Beachclub Royal","beide","Regionaal belang/kleinschalig",5000,2014
"420","3FD7","WRU","gratis",2014,2014-10-03,2014-10-04,2,"Nieuwe Binnenweg","beide","Regionaal belang/kleinschalig",3700,2014
"421","VKGI","5IA","gratis",2014,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",2500,2014
"422","LULA","195","gratis",1995,2014-04-13,2014-04-13,1,"Coolsingel","buiten","Internationaal belang/Iconen",925000,2014
"423","AP76","6MT","onbekend",2011,2014-02-10,2014-02-16,7,"Ahoy","binnen","Internationaal belang/Iconen",NA,2014
"424","UK3A","WG8","onbekend",2000,NA,NA,NA,NA,"onbekend","n.v.t.",2000,2014
"425","NH9X","GUB","onbekend",2014,2014-08-16,2014-08-16,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",NA,2014
"426","688O","66E","onbekend",2014,2014-12-12,2014-12-14,3,"Cinerama","binnen","Regionaal belang/kleinschalig",NA,2014
"427","3NXG","8AJ","gedeeltelijk gratis",2013,2014-02-04,2014-02-09,6,"Museum Boijmans Van Beuningen / Nederlands Foto Instituut / MAMA showroom / Kunsthal / Van Nellefabriek / Tent / LantarenVenster / HAL Cruiseterminal / Havengebieden / Museumpark / Keileweg / Wilhelminakade / Dek 22 / Garage C","beide","Internationaal belang/Iconen",45300,2014
"428","YDBM","I28","gratis",2006,2014-09-20,2014-09-20,1,"Zuiderpark","buiten","Nationaal belang/Parels",7500,2014
"429","CTQP","YYI","gratis",2011,2014-07-12,2014-07-12,1,"Charloise Kerksingel","buiten","Regionaal belang/kleinschalig",NA,2014
"430","41OG","Z9G","gratis",2014,2014-05-24,2015-05-24,2,"Zuiderpark","buiten","Regionaal belang/kleinschalig",1500,2014
"431","8D0E","3T2","gratis",1996,2014-05-05,2014-05-05,1,"Het Park bij de Euromast","beide","Nationaal belang/Parels",35000,2014
"432","ZYW0","5TO","betaald",2014,2014-08-16,2014-08-16,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",1500,2014
"433","J1YF","QK6","gratis",2014,2014-05-29,2014-05-29,1,"Schouwburgplein","buiten","Regionaal belang/kleinschalig",300,2014
"434","THDE","ZU7","betaald",2012,2014-08-02,2014-08-02,1,"Zuiderpark","buiten","Nationaal belang/Parels",6000,2014
"435","UT4H","LEB","betaald",2014,2014-11-15,2014-11-15,1,"HAL Cruiseterminal","binnen","Regionaal belang/kleinschalig",2500,2014
"436","7UUS","Q4J","betaald",1993,2014-11-17,2014-11-29,4,"Luxor (nieuw) / Theater Zuidplein / Luxor Theater (oud) / Theater Walhalla","binnen","Nationaal belang/Parels",10000,2014
"437","N4MK","YMS","betaald",2007,2014-10-02,2014-10-05,4,"LantarenVenster","binnen","Nationaal belang/Parels",5500,2014
"438","R88S","V7G","betaald",2013,2014-05-30,2014-06-01,3,"Lloyd Multiplein","beide","Regionaal belang/kleinschalig",10000,2014
"439","3MJF","DK7","gratis",2000,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",10000,2014
"440","XA9C","KFP","betaald",2012,2014-06-18,2014-06-22,5,"Kralingse Bos","beide","Nationaal belang/Parels",40000,2014
"441","QYOM","XA8","betaald",2014,2014-06-06,2014-06-06,1,"Stadion Feijenoord / De Kuip","buiten","Regionaal belang/kleinschalig",4800,2014
"442","O0IY","PU2","gedeeltelijk gratis",2014,2014-04-01,2014-04-13,2,"WORM","binnen","n.v.t.",500,2014
"443","3ZXO","VTR","gratis",2013,2014-05-18,2014-05-18,1,"Stadspodium","buiten","Regionaal belang/kleinschalig",1500,2014
"444","MNFF","IT6","betaald",2014,2014-09-06,2014-09-06,1,"Onderzeebootloods / RDM Werf / Marconistrook","beide","Regionaal belang/kleinschalig",5000,2014
"445","TZEQ","PAO","betaald",2014,2014-07-26,2014-08-09,2,"Stadion Woudestein / Excelsior","buiten","Nationaal belang/Parels",10000,2014
"446","EDZW","JLU","gedeeltelijk gratis",2011,2014-08-28,2014-08-30,3,"Zevenhuizerplas","buiten","Regionaal belang/kleinschalig",15000,2014
"447","KE5E","U9A","gedeeltelijk gratis",1994,2014-06-21,2014-06-21,1,"Schouwburgplein / Binnenwegplein","beide","Nationaal belang/Parels",NA,2014
"448","XA2G","T8M","gratis",1993,2014-08-24,2014-08-24,1,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",20000,2014
"449","YH5Z","VIC","gratis",NA,2014-10-19,2014-10-19,1,"Rotterdamse Schouwburg / Centraal Station / Caf? Floor","beide","Regionaal belang/kleinschalig",1500,2014
"450","52DR","4V3","onbekend",2014,2014-07-05,2014-07-05,1,"Parkkade / Charloise Hoofd / Oude Plantage / Nieuwe Maas","buiten","Nationaal belang/Parels",7500,2014
"451","0O2D","OAY","gedeeltelijk gratis",2014,2014-09-20,2014-09-21,2,"Delftsestraat 27","binnen","Regionaal belang/kleinschalig",70,2014
"452","ZK33","CPB","gratis",2014,2014-06-27,2014-06-29,3,"Het Park bij de Euromast / Westzeedijk","beide","Regionaal belang/kleinschalig",250000,2014
"453","35LQ","GQY","gedeeltelijk gratis",NA,2014-09-18,2014-09-28,11,"Rotterdamse Schouwburg","beide","Nationaal belang/Parels",8126,2014
"454","8XQV","559","betaald",2009,2014-09-06,2014-09-06,1,"Katendrecht / Rijnhaven / Deliplein","beide","Nationaal belang/Parels",5000,2014
"455","53C3","FX0","onbekend",NA,2014-12-31,2014-12-31,1,"Boompjes / Boompjeskade","buiten","Nationaal belang/Parels",NA,2014
"456","7WU7","QBH","gedeeltelijk gratis",1993,2014-06-19,2014-06-29,11,"Museumpark","buiten","Regionaal belang/kleinschalig",16000,2014
"457","11WV","B2A","gedeeltelijk gratis",2014,2014-03-29,2014-06-09,8,"Charlotec terrein","beide","Regionaal belang/kleinschalig",5000,2014
"458","OXVD","VBU","gratis",2000,2014-09-12,2014-09-14,3,"Schildersstraat / Witte de With / William Boothlaan / .en anderen","beide","Nationaal belang/Parels",40000,2014
"459","1FLH","B65","gratis",2014,NA,NA,NA,NA,"beide","n.v.t.",100,2014
"460","TZ85","KQH","gratis",2013,2014-08-08,2014-08-10,3,"Museumpark","buiten","Regionaal belang/kleinschalig",15000,2014
"461","SM1D","761","gratis",2013,2014-09-20,2014-09-21,2,"Kralingse Bos","buiten","Regionaal belang/kleinschalig",5000,2014
"462","T6YS","YK6","gratis",2011,2014-12-07,2014-12-07,1,"Stadion Feijenoord / De Kuip / Route","buiten","Nationaal belang/Parels",20000,2014
"463","QNW3","SH1","gratis",2009,2014-08-08,2014-08-10,3,"Vroesenpark","buiten","Regionaal belang/kleinschalig",6500,2014
"464","4SLX","RIW","betaald",2012,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",NA,2014
"465","L2R4","6PU","gedeeltelijk gratis",1994,2014-05-21,2014-05-25,5,"Witte de Withstraat / MAMA showroom / Cinerama / Tent / Arminius / V2_gebouw / WORM / Het Nieuwe Instituut","beide","Nationaal belang/Parels",8000,2014
"466","O5PC","EAL","gratis",2014,2014-09-15,2014-10-15,31,"Binnenrotte / Hoogstraat","buiten","Regionaal belang/kleinschalig",NA,2014
"467","0BWC","KT4","gratis",2015,2014-02-27,2014-07-17,2,"Eendrachtsplein / Rotown / Westblaak skatepark / WORM / Laxx","route","Regionaal belang/kleinschalig",4000,2014
"468","SCWW","G0G","onbekend",2014,NA,NA,NA,NA,"onbekend","Onbekend",NA,2014
"469","5C7P","V9J","betaald",2014,2014-10-11,2014-10-11,1,"Erasmusbrug / Boompjes","buiten","Nationaal belang/Parels",3000,2014
"470","88XM","WD1","gratis",2014,2014-05-24,2014-05-24,1,"Campus Erasmus Universiteit","beide","Regionaal belang/kleinschalig",5000,2014
"471","BR5T","PQ2","gedeeltelijk gratis",2014,2014-08-18,2014-08-21,4,"Schouwburgplein / De Doelen / Maassilo / Stadhuisplein / Grotekerkplein / Campus Erasmus Universiteit / Oude Plantage","beide","Regionaal belang/kleinschalig",3000,2014
"472","W88H","TQP","betaald",2014,2014-07-19,2014-07-19,1,"Beachclub Royal","beide","Regionaal belang/kleinschalig",3000,2014
"473","9X5V","3AK","gedeeltelijk gratis",2014,2014-09-05,2014-09-07,3,"Noordereiland","beide","Nationaal belang/Parels",3000,2014
"474","JM8S","FUJ","gratis",2013,2014-07-26,2014-07-26,1,"Sparta Stadion / Het Kasteel","beide","Regionaal belang/kleinschalig",4000,2014
"475","7IP7","VUN","gedeeltelijk gratis",2002,2014-10-31,2014-11-02,3,"LantarenVenster","binnen","Nationaal belang/Parels",1150,2014
"476","QGEF","XA8","betaald",2014,2014-07-03,2014-07-04,2,"Stadion Feijenoord / De Kuip","beide","n.v.t.",450,2014
"477","4B60","XA8","betaald",2014,2014-06-13,2014-06-22,6,"Stadion Feijenoord / De Kuip","buiten","Regionaal belang/kleinschalig",750,2014
"478","NQ4X","DXG","gratis",2013,2014-07-05,2014-07-05,1,"LantarenVenster","binnen","Regionaal belang/kleinschalig",200,2014
"479","MB33","G0G","onbekend",2013,NA,NA,NA,NA,"onbekend","Onbekend",NA,2014
"480","HFU7","L21","onbekend",2014,2014-09-18,2014-09-21,4,"Nederlands Foto Instituut / LP2","binnen","Nationaal belang/Parels",2500,2014
"481","FRRA","OAR","onbekend",2016,2014-10-04,2014-10-04,1,"Rotterdamse Schouwburg","binnen","Regionaal belang/kleinschalig",NA,2014
"482","UA11","G0G","onbekend",2012,NA,NA,NA,NA,"onbekend","Onbekend",NA,2014
"483","C8FD","6RH","gedeeltelijk gratis",1998,2014-09-12,2014-09-14,3,"De Doelen","beide","Nationaal belang/Parels",8564,2014
"484","3J9A","5I1","onbekend",2014,2014-07-15,2014-07-17,3,"Stationsplein","buiten","Nationaal belang/Parels",NA,2014
"485","CNM4","POG","gratis",2014,2013-07-01,2013-09-01,63,"Grotekerkplein","beide","Regionaal belang/kleinschalig",5000,2014
"486","CE27","G0G","onbekend",2013,NA,NA,NA,NA,"onbekend","Onbekend",NA,2014
"487","RL3D","P3Q","gedeeltelijk gratis",2014,2014-10-12,2014-10-12,1,"Havengebieden","beide","Regionaal belang/kleinschalig",5000,2014
"488","HWLD","7R1","gratis",2014,2014-09-20,2014-09-20,1,"Willem-Alexander Roeibaan","beide","Regionaal belang/kleinschalig",1250,2014
"489","SW34","WBF","gratis",1995,2014-06-27,2014-06-29,3,"Centrum Hillegersberg","buiten","n.v.t.",30000,2014
"490","AYRY","GJ0","gedeeltelijk gratis",2014,2014-04-26,2014-04-26,1,"Kralingse Bos","buiten","Regionaal belang/kleinschalig",1000,2014
"491","HH43","I32","gratis",2010,2014-12-31,2014-12-31,1,"Erasmusbrug / Boompjes / Boompjeskade","buiten","Internationaal belang/Iconen",32000,2014
"492","QLUK","GJ0","betaald",2014,2014-08-23,2014-08-23,1,"Parklaan","buiten","Regionaal belang/kleinschalig",10000,2014
"493","RGFN","LZM","onbekend",2015,NA,NA,NA,NA,"onbekend","Regionaal belang/kleinschalig",NA,2014
"494","DPB6","GM4","onbekend",2012,2014-11-21,2014-11-22,2,"Rotterdamse Schouwburg","onbekend","Regionaal belang/kleinschalig",NA,2014
"495","7PDZ","JBX","onbekend",2012,2014-05-29,2014-08-24,88,"Kunsthal","onbekend","Internationaal belang/Iconen",NA,2014
"496","B7O0","1LH","gedeeltelijk gratis",2014,2014-10-10,2014-10-11,2,"Wilhelminapier / Deliplein","beide","Nationaal belang/Parels",1200,2014
"497","CVK4","G0G","onbekend",2014,2014-03-26,2014-03-30,5,"Theater Zuidplein / Katendrecht / LCC Larenkamp","onbekend","Regionaal belang/kleinschalig",2750,2014
"498","I40T","UDU","gedeeltelijk gratis",1994,2014-01-22,2014-02-02,12,"Schouwburgplein / Rotterdamse Schouwburg / De Doelen / Cinerama / LantarenVenster / Luxor Theater (oud)","beide","Internationaal belang/Iconen",287000,2014
"499","01CU","5S1","betaald",2011,2014-08-25,2014-08-29,5,"Molenveld","buiten","Regionaal belang/kleinschalig",750,2014
"500","B1AL","O5I","betaald",2014,2014-06-21,2014-06-21,1,"S.U.R.","binnen","Regionaal belang/kleinschalig",150,2014
"501","S28D","G4V","gratis",2014,2014-08-30,2014-08-30,1,"Historisch Delfhaven","buiten","Regionaal belang/kleinschalig",4500,2014
"502","ZRGG","MQ7","gedeeltelijk gratis",2014,2014-06-30,2014-07-01,2,"Laurenskerk / Wijkpark Oude Westen","beide","Regionaal belang/kleinschalig",8000,2014
"503","ZZDS","G0G","onbekend",2014,NA,NA,NA,NA,"onbekend","Onbekend",NA,2014
"504","XFAA","OHV","gratis",2011,2014-04-19,2014-05-07,19,"Lloyd Multiplein","buiten","Regionaal belang/kleinschalig",40000,2014
"505","6WNV","J1P","onbekend",2014,2014-04-26,2014-04-26,1,"Willemsplein","buiten","Regionaal belang/kleinschalig",NA,2014
"506","U2E8","YK6","gratis",2011,2014-06-01,2014-06-01,1,"Ahoy","buiten","Nationaal belang/Parels",20000,2014
"507","7DHK","GU9","onbekend",2011,2014-09-21,2014-09-21,1,"Route / Oeverpark Nesselande","buiten","Regionaal belang/kleinschalig",NA,2014
"508","ZY77","GU9","onbekend",2013,2014-09-20,2014-09-20,1,"Route / Oeverpark Nesselande","buiten","Regionaal belang/kleinschalig",NA,2014
"509","HWES","040","onbekend",1997,2014-11-08,2014-11-08,1,"Centrale Bibliotheek","binnen","Regionaal belang/kleinschalig",NA,2014
"510","8KRJ","T00","betaald",2014,2014-10-19,2014-10-19,1,"Bibliotheek","binnen","Regionaal belang/kleinschalig",179,2014
"511","QHXA","GF7","betaald",2013,2014-02-01,2014-02-02,2,"Ahoy","binnen","Regionaal belang/kleinschalig",3785,2014
"512","WOB6","3JT","gratis",2005,2014-09-06,2014-09-07,2,"Leuvehaven / Oude Haven","beide","Nationaal belang/Parels",20000,2014
"513","EJ2O","93P","gratis",1993,2014-07-06,2014-07-06,1,"Zuiderpark","buiten","Nationaal belang/Parels",30000,2014
"514","L3RY","FUC","gedeeltelijk gratis",2002,2014-04-03,2014-04-06,4,"Schouwburgplein / Rotterdamse Schouwburg / Rotown / WORM / .en anderen","beide","Nationaal belang/Parels",NA,2014
"515","HIT2","UQB","gratis",2014,2014-07-26,2014-07-26,1,"Schouwburgplein / Coolsingel / Willemsbrug","buiten","Nationaal belang/Parels",150000,2014
"516","YGJ7","CN2","gratis",2014,2014-06-08,2014-06-08,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",2500,2014
"517","UFBL","J3J","betaald",2014,2014-06-06,2014-06-09,4,"Ahoy","beide","Nationaal belang/Parels",40000,2014
"518","5H1E","ELX","gedeeltelijk gratis",2013,2014-02-14,2015-06-05,29,".en anderen","beide","Nationaal belang/Parels",12500,2014
"519","XDQU","XA8","betaald",2014,2014-06-07,2014-06-07,1,"Stadion Feijenoord / De Kuip","buiten","Nationaal belang/Parels",12000,2014
"520","U6EO","FJA","onbekend",2014,2014-11-29,2014-11-29,1,"Grounds","binnen","Regionaal belang/kleinschalig",NA,2014
"521","JCVW","OHV","gratis",2013,2014-10-17,2014-10-26,10,"Lloyd Multiplein","buiten","Regionaal belang/kleinschalig",17500,2014
"522","OLSH","539","gratis",2011,2014-09-24,2014-09-28,5,"Ahoy / Coolsingel","route","Nationaal belang/Parels",55000,2014
"523","T1WD","U0C","betaald",2007,2014-08-24,2014-08-24,1,"Afrikaanderplein","buiten","Regionaal belang/kleinschalig",3000,2014
"524","9VKG","EAW","gedeeltelijk gratis",2012,2014-09-26,2014-09-26,1,"Museumpark / Erasmus MC","beide","Nationaal belang/Parels",1502,2014
"525","CWJH","8DA","gratis",2014,2014-12-20,2014-12-20,1,"Nieuwe Binnenweg","buiten","Regionaal belang/kleinschalig",8000,2014
"526","GMB0","8DA","gratis",2006,2014-06-28,2014-06-28,1,"Nieuwe Binnenweg","buiten","Regionaal belang/kleinschalig",9000,2014
"527","9X36","XA8","betaald",2014,2014-06-28,2014-06-28,1,"Stadion Feijenoord / De Kuip","buiten","Regionaal belang/kleinschalig",8000,2014
"528","YDBD","JMR","betaald",2014,NA,NA,NA,NA,"buiten","n.v.t.",7500,2014
"529","CCW6","OT3","betaald",2014,NA,NA,NA,NA,"binnen","Regionaal belang/kleinschalig",100,2014
"530","J6A5","9HH","betaald",2013,2014-07-11,2014-07-13,3,"Ahoy","beide","Internationaal belang/Iconen",70691,2014
"531","78WJ","9HH","onbekend",2013,NA,NA,NA,NA,"onbekend","Nationaal belang/Parels",NA,2014
"532","KC2R","BJQ","gedeeltelijk gratis",2006,2014-06-27,2014-07-13,17,"Schouwburgplein / Kruisplein / .en anderen","beide","Nationaal belang/Parels",90000,2014
"533","HSRM","EPS","onbekend",2014,NA,NA,NA,NA,"onbekend","n.v.t.",NA,2014
"534","RGC6","RZ5","betaald",2007,NA,NA,NA,NA,"binnen","Nationaal belang/Parels",8500,2014
"535","YXK2","OZV","onbekend",2014,NA,NA,NA,NA,"onbekend","Onbekend",NA,2014
"536","169C","3F3","onbekend",2014,2014-09-26,2014-09-27,2,"Biergarten","buiten","Regionaal belang/kleinschalig",NA,2014
"537","IUUB","XA8","gratis",2014,2014-07-20,2014-07-27,2,"Stadion Feijenoord / De Kuip","beide","Nationaal belang/Parels",9500,2014
"538","E10L","9DE","gratis",1995,2014-09-13,2014-09-14,2,".en anderen","beide","Regionaal belang/kleinschalig",20000,2014
"539","XT1L","XA8","betaald",2014,2014-07-27,2014-08-03,2,"Stadion Feijenoord / De Kuip","beide","Nationaal belang/Parels",50000,2014
"540","YWIX","0RZ","gedeeltelijk gratis",2011,2014-05-17,2014-05-25,9,"Schouwburgplein / Rotterdamse Schouwburg / De Doelen / Luxor (nieuw) / Onderzeebootloods / RDM Werf / LP2 / .en anderen","beide","Nationaal belang/Parels",18425,2014
"541","IFHR","236","gratis",2013,2014-08-24,2014-08-24,1,"Oude Haven","buiten","Regionaal belang/kleinschalig",5000,2014
"542","CX4T","WQY","gratis",2002,2014-08-30,2014-08-30,1,"Veerhaven","buiten","Nationaal belang/Parels",4500,2014
"543","O51L","IMH","gedeeltelijk gratis",2014,2014-04-04,2014-09-14,5,"Route","route","Regionaal belang/kleinschalig",3578,2014
"544","YEIX","QK3","gratis",2012,2014-06-28,2014-06-29,2,"Pijnackerplein","buiten","Regionaal belang/kleinschalig",NA,2014
"545","K2EO","CKI","betaald",1996,2014-08-13,2014-08-31,19,"Museumpark","buiten","Regionaal belang/kleinschalig",14800,2014
"546","IWCS","7OG","onbekend",1994,2014-06-10,2014-06-14,5,"Rotterdamse Schouwburg","binnen","Nationaal belang/Parels",NA,2014
"547","LYE5","OZV","onbekend",2014,NA,NA,NA,NA,"onbekend","Onbekend",20000,2014
"548","7YV7","9HH","onbekend",2011,2014-07-11,2014-07-13,3,"Ahoy","binnen","Internationaal belang/Iconen",NA,2014
"549","URCX","3F3","onbekend",2014,2014-10-04,2014-10-05,2,"Fenixloods","binnen","Regionaal belang/kleinschalig",NA,2014
