"","Evenement","Organisator","Entree Ja/Nee","Editie 1","Startdatum","Einddatum","Aantal dagen","Locatie/accomodatie","Binnen of Buiten","Imago","Bezoekers","Jaar"
"191","G8NZ","M0E","onbekend",2011,2011-10-28,2011-11-06,10,"Luxor (nieuw)","binnen","Internationaal belang/Iconen",NA,2011
"192","YKDO","M0E","onbekend",2011,2011-05-08,2011-05-15,8,"Ahoy","binnen","Internationaal belang/Iconen",NA,2011
"193","ULCR","9YT","gratis",2011,2011-05-15,2011-05-15,1,"SKVR","beide","Regionaal belang/kleinschalig",600,2011
"194","ABLV","CZT","betaald",2011,2011-06-23,2011-07-03,11,"Neptunus Baseball Stadion","buiten","Nationaal belang/Parels",15000,2011
"195","KEUP","IM1","gratis",2001,2011-06-12,2011-07-10,5,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",16000,2011
"196","WOMG","IE6","gratis",2012,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",900,2012
"197","742L","G0G","gratis",2012,NA,NA,NA,NA,"route","Nationaal belang/Parels",NA,2012
"198","2YR6","NKE","gratis",1995,2012-04-14,2012-04-15,2,"Coolsingel","buiten","Internationaal belang/Iconen",NA,2012
"199","AP76","6MT","betaald",2011,NA,NA,0,"Ahoy","binnen","Nationaal belang/Parels",NA,2012
"200","LRO9","8AJ","gedeeltelijk gratis",2000,2012-02-09,2012-02-12,4,"Las Palmas / HAL Cruiseterminal","binnen","Nationaal belang/Parels",45000,2012
"201","YDBM","59T","gratis",2006,2012-09-22,2012-09-22,1,"Zuiderpark","buiten","Nationaal belang/Parels",6127,2012
"202","E5XE","1AC","betaald",2011,NA,NA,NA,NA,"binnen","Regionaal belang/kleinschalig",1068,2012
"203","4SBI","QK6","betaald",2011,2012-09-23,2012-09-30,2,"Zuiderpark","buiten","Nationaal belang/Parels",500,2012
"204","18ZQ","WSP","betaald",2012,2012-08-11,2012-08-11,1,"Zuiderpark","buiten","Nationaal belang/Parels",4000,2012
"205","PUUZ","SDN","onbekend",2012,NA,NA,NA,NA,"onbekend","Nationaal belang/Parels",5500,2012
