"","postalcode","formal.address","location.lat","location.lng","bounds.northeast.lat","bounds.northeast.lng","bounds.southwest.lat","bounds.southwest.lng"
"1","","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"2","1000","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"3","1000JJ","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"4","1001ND","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"5","1012PV","Hoogstraat 110, 3011 PV Rotterdam, Netherlands",51.9211,4.4893,NA,NA,NA,NA
"6","1013BX",NA,51.9282,4.444,NA,NA,NA,NA
"7","1013BZ",NA,51.9282,4.444,NA,NA,NA,NA
"8","1013CM","1013 CM Amsterdam, Netherlands",52.39,4.8803,52.3914,4.8823,52.3886,4.8785
"9","1013DJ",NA,51.9282,4.444,NA,NA,NA,NA
"10","1013LC",NA,51.9282,4.444,NA,NA,NA,NA
"11","1013LV","1013 LV Amsterdam, Netherlands",52.386,4.8854,52.3871,4.8865,52.3844,4.8844
"12","1017JH",NA,51.8792,4.4486,NA,NA,NA,NA
"13","1018KP",NA,51.9282,4.444,NA,NA,NA,NA
"14","1018KW","1018 KW Amsterdam, Netherlands",52.3713,4.921,52.3723,4.9221,52.3709,4.9202
"15","1018RG","1018 RG Amsterdam, Netherlands",52.3688,4.9288,52.3706,4.9301,52.3679,4.9263
"16","1019MJ","1019 MJ Amsterdam, Netherlands",52.3763,4.9402,52.3769,4.9412,52.3754,4.9377
"17","1019NC","1019 NC Amsterdam, Netherlands",52.3771,4.9481,52.3779,4.9497,52.3764,4.9461
"18","1025MR",NA,51.9282,4.444,NA,NA,NA,NA
"19","1025MS","1025 MS Amsterdam, Netherlands",52.4088,4.9315,52.4106,4.9337,52.4065,4.9287
"20","1025VP","1025 VP Amsterdam, Netherlands",52.3979,4.9305,52.3999,4.932,52.3972,4.9282
"21","1031BZ","1031 BZ Amsterdam, Netherlands",52.3899,4.9152,52.3912,4.9171,52.3885,4.9134
"22","1034NP","1034 NP Amsterdam, Netherlands",52.4115,4.924,52.4122,4.9242,52.4108,4.9223
"23","1054HP","1054 HP Amsterdam, Netherlands",52.3622,4.8729,52.3636,4.8741,52.3609,4.8719
"24","1054TH","1054 TH Amsterdam, Netherlands",52.359,4.8579,52.3602,4.8585,52.3589,4.8567
"25","1055HK","1055 HK Amsterdam, Netherlands",52.3793,4.8487,52.3806,4.8505,52.3779,4.8484
"26","1055NC","1055 NC Amsterdam, Netherlands",52.3824,4.8518,52.3832,4.8526,52.3818,4.8507
"27","1059CW","1059 CW Amsterdam, Netherlands",52.3512,4.8494,52.3526,4.8506,52.3499,4.8484
"28","1060RL","1060 RL Amsterdam, Netherlands",52.3513,4.7893,52.3524,4.7908,52.3496,4.7871
"29","1060RN","1060 RN Amsterdam, Netherlands",52.3496,4.787,52.3499,4.7871,52.3471,4.7817
"30","1061MC","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"31","1062HV","1062 HV Amsterdam, Netherlands",52.3493,4.84,52.3503,4.8402,52.3489,4.8383
"32","1065GH","1065 GH Amsterdam, Netherlands",52.3566,4.8222,52.3577,4.8249,52.355,4.8212
"33","1066MJ",NA,51.9282,4.444,NA,NA,NA,NA
"34","1066SN","1066 SN Amsterdam, Netherlands",52.3478,4.8039,52.3492,4.8052,52.3464,4.8017
"35","1068WB","1068 WB Amsterdam, Netherlands",52.354,4.8135,52.3554,4.8162,52.3527,4.8125
"36","1071CJ","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"37","1073XM","1073 XM Amsterdam, Netherlands",52.3565,4.8948,52.3574,4.8962,52.356,4.8927
"38","1074CH","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"39","1074HS","1074 HS Amsterdam, Netherlands",52.357,4.9045,52.3583,4.9063,52.3556,4.9026
"40","1075LM","1075 LM Amsterdam, Netherlands",52.3493,4.8588,52.3509,4.8602,52.3481,4.8564
"41","1076BP","1076 BP Amsterdam, Netherlands",52.3429,4.861,52.3441,4.8623,52.3427,4.8605
"42","1076RC",NA,51.9282,4.444,NA,NA,NA,NA
"43","1078AL","1078 AL Amsterdam, Netherlands",52.3481,4.8994,52.3492,4.9014,52.3478,4.8978
"44","1082VP","1082 VP Amsterdam, Netherlands",52.3323,4.8722,52.333,4.8736,52.3316,4.8718
"45","1087LM",NA,51.9282,4.444,NA,NA,NA,NA
"46","1091BD","1091 BD Amsterdam, Netherlands",52.3582,4.9105,52.3594,4.9131,52.3579,4.9096
"47","1092JB","1092 JB Amsterdam, Netherlands",52.3552,4.9249,52.3561,4.9259,52.3547,4.924
"48","1092TV",NA,51.9282,4.444,NA,NA,NA,NA
"49","1094PZ","1094 PZ Amsterdam, Netherlands",52.3598,4.9369,52.3609,4.9383,52.3595,4.9365
"50","1096DN",NA,51.9282,4.444,NA,NA,NA,NA
"51","1096GJ","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"52","1098AE",NA,51.9282,4.444,NA,NA,NA,NA
"53","1098AK","1098 AK Amsterdam, Netherlands",52.3517,4.9339,52.3531,4.9353,52.3504,4.9332
"54","1098NE","1098 NE Amsterdam, Netherlands",52.3531,4.9404,52.3542,4.9421,52.3527,4.9386
"55","1098SN","1098 SN Amsterdam, Netherlands",52.351,4.9424,52.3514,4.9433,52.35,4.9414
"56","1098XK","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"57","1102SV","1102 SV Amsterdam, Netherlands",52.3166,4.9473,52.3178,4.9489,52.3151,4.9468
"58","1103AR","1103 AR Amsterdam, Netherlands",52.3238,4.9626,52.3252,4.9635,52.3225,4.9614
"59","1103MK","1103 MK Amsterdam, Netherlands",52.3209,4.966,52.3224,4.968,52.3196,4.9642
"60","1103MV","1103 MV Amsterdam, Netherlands",52.3224,4.9671,52.3237,4.9682,52.321,4.9661
"61","1104CA",NA,51.9282,4.444,NA,NA,NA,NA
"62","1105AX",NA,51.9282,4.444,NA,NA,NA,NA
"63","1106XL","1106 XL Amsterdam, Netherlands",52.2948,4.9665,52.2958,4.9682,52.2943,4.9646
"64","1111VZ","1111 VZ Diemen, Netherlands",52.3524,4.9768,52.3527,4.9784,52.3512,4.9749
"65","1115GN","1115 GN Duivendrecht, Netherlands",52.3313,4.9429,52.3327,4.9449,52.3299,4.9411
"66","1171MN","1171 MN Badhoevedorp, Netherlands",52.3468,4.7743,52.349,4.7768,52.3449,4.7716
"67","1181VE","1181 VE Amstelveen, Netherlands",52.3066,4.8522,52.3072,4.8542,52.3057,4.8507
"68","1182HR","1182 HR Amstelveen, Netherlands",52.3155,4.8521,52.3165,4.8542,52.315,4.8506
"69","1183TJ","1183 TJ Amstelveen, Netherlands",52.3197,4.905,52.3209,4.9094,52.3181,4.9042
"70","1185TC","1185 TC Amstelveen, Netherlands",52.2914,4.8459,52.2927,4.8483,52.2913,4.8448
"71","1186JB","1186 JB Amstelveen, Netherlands",52.2844,4.8699,52.2851,4.8718,52.2837,4.8683
"72","1187VZ","1187 VZ Amstelveen, Netherlands",52.2741,4.824,52.275,4.8254,52.2723,4.8216
"73","1213BS","1213 BS Hilversum, Netherlands",52.2123,5.1789,52.2147,5.1807,52.2106,5.1769
"74","1213VB","1213 VB Hilversum, Netherlands",52.2133,5.1842,52.2158,5.1873,52.2103,5.1816
"75","1216JE","1216 JE Hilversum, Netherlands",52.215,5.1432,52.2162,5.1444,52.2148,5.1426
"76","1234AA","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"77","1261VK","1261 VK Blaricum, Netherlands",52.271,5.2562,52.2726,5.2581,52.2698,5.2543
"78","1276AS","1276 AS Huizen, Netherlands",52.2932,5.2505,52.2954,5.2525,52.2914,5.2484
"79","1300LI","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"80","1319AP",NA,51.9066,4.4881,NA,NA,NA,NA
"81","1319DP",NA,51.9282,4.444,NA,NA,NA,NA
"82","1319EP","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"83","1325HC","1325 HC Almere, Netherlands",52.3707,5.2291,52.3724,5.2304,52.3684,5.2263
"84","1325TW","1325 TW Almere, Netherlands",52.3571,5.2429,52.3585,5.2444,52.3557,5.2409
"85","1331TN","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"86","1333AV","1333 AV Almere, Netherlands",52.3978,5.2668,52.3988,5.2688,52.396,5.2652
"87","1333MK","1333 MK Almere, Netherlands",52.3989,5.2563,52.4006,5.2574,52.3978,5.2553
"88","1338XX","1338 XX Almere, Netherlands",52.3892,5.2898,52.3897,5.2905,52.3883,5.2886
"89","1339AA","1339 AA Almere, Netherlands",52.3959,5.29,52.3977,5.292,52.395,5.2866
"90","1351LH","1351 LH Almere, Netherlands",52.3485,5.2161,52.349,5.2176,52.3476,5.214
"91","1351RT","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"92","1363DA","1363 DA Almere, Netherlands",52.3479,5.1479,52.3507,5.1542,52.3452,5.1435
"93","1363VR","1363 VR Almere, Netherlands",52.3542,5.1551,52.3556,5.1571,52.353,5.1533
"94","1391TW","1391 TW Abcoude, Netherlands",52.2691,4.9698,52.2716,4.9716,52.2675,4.9681
"95","1394GL","1394 GL Nederhorst den Berg, Netherlands",52.2638,5.047,52.2644,5.0487,52.2629,5.0452
"96","1394KD","1394 KD Nederhorst den Berg, Netherlands",52.2581,5.0464,52.259,5.0478,52.2563,5.0457
"97","1403TT","1403 TT Bussum, Netherlands",52.2674,5.1789,52.2693,5.1807,52.2665,5.1771
"98","1405HN","1405 HN Bussum, Netherlands",52.2744,5.1578,52.2756,5.1605,52.2728,5.1553
"99","1406KX","1406 KX Bussum, Netherlands",52.2706,5.1477,52.272,5.1498,52.2692,5.146
"100","1411VZ","1411 VZ Naarden, Netherlands",52.3005,5.1449,52.3014,5.147,52.3,5.1434
"101","1423DH","1423 DH Uithoorn, Netherlands",52.2304,4.8191,52.2313,4.8211,52.2286,4.8173
"102","1423ER","1423 ER Uithoorn, Netherlands",52.2317,4.8158,52.2327,4.8164,52.2313,4.8145
"103","1424BD","1424 BD De Kwakel, Netherlands",52.2397,4.7927,52.2403,4.7946,52.2389,4.7911
"104","1433WH","1433 WH Kudelstaart, Netherlands",52.2419,4.7563,52.2432,4.7602,52.239,4.7534
"105","1442VE","1442 VE Purmerend, Netherlands",52.5162,4.9682,52.5173,4.9697,52.5145,4.9662
"106","1446CX","1446 CX Purmerend, Netherlands",52.5066,4.9912,52.5085,4.9946,52.5054,4.9846
"107","1502TJ","1502 TJ Zaandam, Netherlands",52.4454,4.8271,52.4456,4.8286,52.4442,4.8251
"108","1504NG","1504 NG Zaandam, Netherlands",52.4394,4.853,52.4406,4.8544,52.4391,4.8508
"109","1507HP","1507 HP Zaandam, Netherlands",52.4362,4.8103,52.4369,4.8122,52.4355,4.8086
"110","1507JM","1507 JM Zaandam, Netherlands",52.4455,4.8054,52.4465,4.8088,52.445,4.8037
"111","1523KH","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"112","1544RN","1544 RN Zaandijk, Netherlands",52.4736,4.8108,52.4743,4.812,52.4729,4.8102
"113","1567CA",NA,51.9282,4.444,NA,NA,NA,NA
"114","1602MN","1602 MN Enkhuizen, Netherlands",52.7112,5.2694,52.7131,5.2731,52.7102,5.2661
"115","1613BK","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"116","1619EC","1619 EC Andijk, Netherlands",52.7449,5.207,52.7467,5.2087,52.7426,5.2049
"117","1625RV","1625 RV Hoorn, Netherlands",52.6566,5.0691,52.6575,5.0707,52.656,5.0671
"118","1628RB","1628 RB Hoorn, Netherlands",52.6471,5.0946,52.6484,5.0976,52.6456,5.0923
"119","1643NM","1643 NM Spierdijk, Netherlands",52.659,4.9501,52.6707,4.9532,52.6545,4.9452
"120","1648EP","1648 EP De Goorn, Netherlands",52.6305,4.9548,52.6315,4.9568,52.6301,4.9532
"121","1654JS","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"122","1704TB","1704 TB Heerhugowaard, Netherlands",52.6562,4.8163,52.6573,4.8189,52.6545,4.8135
"123","1735HG","1735 HG 't Veld, Netherlands",52.7388,4.8537,52.7402,4.8553,52.7374,4.8517
"124","1742GA","1742 GA Schagen, Netherlands",52.781,4.7863,52.7819,4.7903,52.7803,4.7834
"125","1747GM","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"126","1775BR","1775 BR Middenmeer, Netherlands",52.8058,4.9977,52.8079,5.0005,52.8052,4.995
"127","1781PB","1781 PB Den Helder, Netherlands",52.9549,4.7628,52.9561,4.765,52.9533,4.7614
"128","1782GP","1782 GP Den Helder, Netherlands",52.9589,4.7498,52.9606,4.754,52.9578,4.7468
"129","1815GC","1815 GC Alkmaar, Netherlands",52.6319,4.7405,52.6336,4.7413,52.6309,4.7391
"130","1823NM","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"131","1843JS","1843 JS Grootschermer, Netherlands",52.5807,4.8489,52.5824,4.8507,52.5796,4.8472
"132","1851WZ","1851 WZ Heiloo, Netherlands",52.5913,4.7099,52.592,4.7124,52.5905,4.7072
"133","1861MA","1861 MA Bergen, Netherlands",52.6652,4.6987,52.6661,4.7017,52.6634,4.6963
"134","1901JC","1901 JC Castricum, Netherlands",52.5584,4.659,52.5593,4.6619,52.5577,4.6567
"135","1914XJ","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"136","1963ST","1963 ST Heemskerk, Netherlands",52.5118,4.6912,52.5125,4.6922,52.5111,4.6903
"137","2011MB","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"138","2012CZ","2012 CZ Haarlem, Netherlands",52.3754,4.6341,52.3759,4.636,52.3745,4.6325
"139","2013VH",NA,51.9282,4.444,NA,NA,NA,NA
"140","2014AR","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"141","2018","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"142","2020HH","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"143","2021TA","2021 TA Haarlem, Netherlands",52.3938,4.6437,52.3955,4.6443,52.3915,4.642
"144","2025DJ",NA,51.9282,4.444,NA,NA,NA,NA
"145","2025DV","2025 DV Haarlem, Netherlands",52.4173,4.6476,52.4181,4.6528,52.4152,4.646
"146","2034LV","2034 LV Haarlem, Netherlands",52.364,4.6479,52.3647,4.6539,52.3631,4.6471
"147","2037JN","2037 JN Haarlem, Netherlands",52.3559,4.6648,52.3573,4.6674,52.3546,4.6639
"148","2061CK","2061 CK Bloemendaal, Netherlands",52.4056,4.6215,52.407,4.623,52.4043,4.6193
"149","2064LS","2064 LS Spaarndam, Netherlands",52.4122,4.6889,52.4137,4.692,52.411,4.6866
"150","2102XT","2102 XT Heemstede, Netherlands",52.3492,4.6264,52.3509,4.6283,52.3481,4.6231
"151","2103TZ","2103 TZ Heemstede, Netherlands",52.3416,4.6267,52.3429,4.6288,52.3401,4.6251
"152","2105XJ","2105 XJ Heemstede, Netherlands",52.3439,4.6027,52.3451,4.6044,52.3424,4.6007
"153","2116RH","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"154","211KK5","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"155","2122CS","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"156","2131RX","2131 RX Hoofddorp, Netherlands",52.3074,4.6806,52.3088,4.6823,52.306,4.6788
"157","2132RE","2132 RE Hoofddorp, Netherlands",52.3027,4.7077,52.3037,4.7097,52.301,4.706
"158","2133CP","2133 CP Hoofddorp, Netherlands",52.3044,4.6693,52.3052,4.672,52.3037,4.6685
"159","2133HW",NA,51.9282,4.444,NA,NA,NA,NA
"160","2133KD","2133 KD Hoofddorp, Netherlands",52.3151,4.6685,52.3159,4.6705,52.3132,4.6668
"161","2134CX","2134 CX Hoofddorp, Netherlands",52.3042,4.6505,52.3046,4.6521,52.3032,4.6486
"162","2151DW","2151 DW Nieuw-Vennep, Netherlands",52.2618,4.6174,52.2632,4.6188,52.2605,4.6167
"163","2152LS","2152 LS Nieuw-Vennep, Netherlands",52.2695,4.6382,52.2705,4.6398,52.269,4.6363
"164","2153BM","2153 BM Nieuw-Vennep, Netherlands",52.2632,4.6351,52.2639,4.637,52.2625,4.6335
"165","2157NH","2157 NH Abbenes, Netherlands",52.2326,4.5908,52.235,4.5925,52.2309,4.5888
"166","2162ZE","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"167","2163JB","2163 JB Lisse, Netherlands",52.2644,4.555,52.2657,4.5567,52.263,4.5532
"168","2171AC","2171 AC Sassenheim, Netherlands",52.2198,4.5151,52.2206,4.5164,52.2192,4.5146
"169","2171HA","2171 HA Sassenheim, Netherlands",52.2293,4.5289,52.2308,4.5296,52.2281,4.5261
"170","2172HJ","2172 HJ Sassenheim, Netherlands",52.2225,4.5338,52.2239,4.5367,52.2199,4.5311
"171","2172XJ","2172 XJ Sassenheim, Netherlands",52.2237,4.5329,52.224,4.535,52.2225,4.5316
"172","2181BK","2181 BK Hillegom, Netherlands",52.2924,4.5828,52.294,4.5842,52.2912,4.5807
"173","2201SV",NA,51.9282,4.444,NA,NA,NA,NA
"174","2202SL","2202 SL Noordwijk, Netherlands",52.2485,4.4378,52.2489,4.439,52.2475,4.4355
"175","2203JS","2203 JS Noordwijk, Netherlands",52.2434,4.4436,52.246,4.4463,52.2419,4.4414
"176","2204CB","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"177","2206JK","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"178","2211RC","2211 RC Noordwijkerhout, Netherlands",52.2565,4.4922,52.2587,4.4947,52.2547,4.4908
"179","2211TX","2211 TX Noordwijkerhout, Netherlands",52.2622,4.481,52.2632,4.484,52.2617,4.4789
"180","2211VE","2211 VE Noordwijkerhout, Netherlands",52.2742,4.5099,52.2767,4.5169,52.2699,4.5069
"181","2215MV","2215 MV Voorhout, Netherlands",52.22,4.4907,52.2216,4.492,52.2188,4.4883
"182","2215TW","2215 TW Voorhout, Netherlands",52.2219,4.4931,52.2228,4.4938,52.2214,4.492
"183","2215XE","2215 XE Voorhout, Netherlands",52.2244,4.4997,52.2266,4.5024,52.2225,4.4973
"184","2215XK","2215 XK Voorhout, Netherlands",52.2274,4.499,52.2293,4.5012,52.2265,4.4963
"185","2221XJ","2221 XJ Katwijk aan Zee, Netherlands",52.208,4.4265,52.2094,4.4277,52.2066,4.4243
"186","2223JK","2223 JK Katwijk aan Zee, Netherlands",52.1926,4.4205,52.1949,4.4222,52.1909,4.4185
"187","2223XC","2223 XC Katwijk aan Zee, Netherlands",52.1872,4.4234,52.1882,4.4244,52.1855,4.4223
"188","2224GP","2224 GP Katwijk aan Zee, Netherlands",52.1921,4.4127,52.1939,4.4155,52.1912,4.4102
"189","2225XH","2225 XH Katwijk aan Zee, Netherlands",52.2057,4.3986,52.2064,4.3995,52.205,4.3976
"190","2230BE","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"191","2231BT","2231 BT Rijnsburg, Netherlands",52.1886,4.4322,52.1892,4.4343,52.1878,4.4309
"192","2231MD","2231 MD Rijnsburg, Netherlands",52.1862,4.4338,52.1878,4.4355,52.1851,4.4321
"193","2231PE","2231 PE Rijnsburg, Netherlands",52.195,4.433,52.1959,4.4354,52.1931,4.4301
"194","2231TK","2231 TK Rijnsburg, Netherlands",52.1905,4.4338,52.1918,4.4362,52.189,4.4313
"195","2235BP","2235 BP Valkenburg, Netherlands",52.182,4.4268,52.1828,4.4284,52.18,4.4249
"196","2235CD","2235 CD Valkenburg, Netherlands",52.1776,4.4366,52.1784,4.4392,52.1756,4.4357
"197","2235TA","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"198","2241BB","2241 BB Wassenaar, Netherlands",52.1524,4.4019,52.1531,4.4041,52.1517,4.4006
"199","2241RR","2241 RR Wassenaar, Netherlands",52.1499,4.4047,52.1517,4.4069,52.1489,4.4034
"200","2241ST","2241 ST Wassenaar, Netherlands",52.1454,4.405,52.1476,4.4065,52.1436,4.4026
"201","2244GM","2244 GM Wassenaar, Netherlands",52.1112,4.3593,52.1122,4.3617,52.1095,4.3564
"202","2245AA",NA,NA,NA,NA,NA,NA,NA
"203","2251NV","2251 NV Voorschoten, Netherlands",52.1213,4.4507,52.122,4.453,52.1193,4.4495
"204","2251XS","2251 XS Voorschoten, Netherlands",52.1239,4.4571,52.1244,4.4599,52.123,4.4565
"205","2251ZK","2251 ZK Voorschoten, Netherlands",52.1286,4.4633,52.1295,4.464,52.1282,4.4622
"206","2251ZM",NA,NA,NA,NA,NA,NA,NA
"207","2252BT","2252 BT Voorschoten, Netherlands",52.1212,4.4365,52.1226,4.4384,52.1198,4.4347
"208","2252GJ","2252 GJ Voorschoten, Netherlands",52.127,4.445,52.1276,4.4474,52.1261,4.4423
"209","2252TT","2252 TT Voorschoten, Netherlands",52.1234,4.437,52.1252,4.4386,52.1225,4.4351
"210","2261CN","2261 CN Leidschendam, Netherlands",52.0922,4.3819,52.0941,4.3831,52.0913,4.3796
"211","2261ED","2261 ED Leidschendam, Netherlands",52.0964,4.3891,52.0978,4.392,52.0951,4.3867
"212","2261HH","2261 HH Leidschendam, Netherlands",52.1007,4.3949,52.1015,4.3959,52.0988,4.3938
"213","2261RS","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"214","2263EB","2263 EB Leidschendam, Netherlands",52.0989,4.3994,52.1,4.4005,52.0987,4.3987
"215","2263EG","2263 EG Leidschendam, Netherlands",52.0984,4.3982,52.1,4.4005,52.0974,4.3969
"216","2263SZ","2263 SZ Leidschendam, Netherlands",52.1015,4.4053,52.1025,4.4074,52.0997,4.404
"217","2264EG","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"218","2264LD","2264 LD Leidschendam, Netherlands",52.0894,4.3996,52.0907,4.4007,52.088,4.3986
"219","2264ML","2264 ML Leidschendam, Netherlands",52.0928,4.4005,52.0934,4.4027,52.0919,4.3976
"220","2264SV","2264 SV Leidschendam, Netherlands",52.091,4.395,52.0922,4.396,52.0895,4.394
"221","2264SW","2264 SW Leidschendam, Netherlands",52.0897,4.3971,52.0909,4.3991,52.0881,4.3956
"222","2264XX","2264 XX Leidschendam, Netherlands",52.0855,4.3913,52.0871,4.3934,52.0843,4.3899
"223","2265AP",NA,NA,NA,NA,NA,NA,NA
"224","2265BR","2265 BR Leidschendam, Netherlands",52.0794,4.3905,52.0805,4.3909,52.0791,4.3891
"225","2265BS","2265 BS Leidschendam, Netherlands",52.0795,4.3912,52.0805,4.3925,52.079,4.3891
"226","2265DC","2265 DC Leidschendam, Netherlands",52.0899,4.4064,52.0918,4.409,52.0891,4.4037
"227","2266AB","2266 AB Leidschendam, Netherlands",52.0787,4.3972,52.0802,4.399,52.0775,4.3953
"228","2266BD","2266 BD Leidschendam, Netherlands",52.0782,4.4033,52.0787,4.4053,52.0772,4.4018
"229","2266GK","2266 GK Leidschendam, Netherlands",52.1011,4.4454,52.1053,4.4466,52.0983,4.4354
"230","2266JK","2266 JK Leidschendam, Netherlands",52.0928,4.4715,52.0947,4.4731,52.092,4.4694
"231","2271AM","2271 AM Voorburg, Netherlands",52.0697,4.3654,52.0746,4.3704,52.0681,4.3645
"232","2271BL",NA,NA,NA,NA,NA,NA,NA
"233","2271CP","2271 CP Voorburg, Netherlands",52.0672,4.3649,52.0682,4.3662,52.0654,4.3627
"234","2271SX","2271 SX Voorburg, Netherlands",52.0736,4.3733,52.0745,4.3753,52.073,4.3718
"235","2271VA","2271 VA Voorburg, Netherlands",52.0742,4.3695,52.0759,4.3706,52.072,4.3668
"236","2271VH","2271 VH Voorburg, Netherlands",52.0724,4.3648,52.0747,4.3688,52.0708,4.3633
"237","2271XP","2271 XP Voorburg, Netherlands",52.0711,4.3629,52.0722,4.3652,52.0695,4.3599
"238","2271XX","2271 XX Voorburg, Netherlands",52.0694,4.3586,52.071,4.3601,52.0683,4.3564
"239","2272AP",NA,NA,NA,NA,NA,NA,NA
"240","2272EE","2272 EE Voorburg, Netherlands",52.0849,4.3666,52.0867,4.3691,52.0839,4.3654
"241","2272ET","2272 ET Voorburg, Netherlands",52.0848,4.3643,52.0854,4.3656,52.084,4.3638
"242","2272TB","2272 TB Voorburg, Netherlands",52.0891,4.3707,52.0905,4.3729,52.0877,4.3693
"243","2272TS","2272 TS Voorburg, Netherlands",52.0905,4.375,52.0916,4.3764,52.0903,4.3745
"244","2272XE","2272 XE Voorburg, Netherlands",52.0826,4.3688,52.084,4.3703,52.0812,4.3666
"245","2272XT","2272 XT Voorburg, Netherlands",52.0824,4.3837,52.0834,4.3848,52.0807,4.3812
"246","2273AV","2273 AV Voorburg, Netherlands",52.0813,4.3662,52.0827,4.3668,52.08,4.3648
"247","2273CH","2273 CH Voorburg, Netherlands",52.0773,4.3579,52.0777,4.3595,52.0763,4.3561
"248","2273EV","2273 EV Voorburg, Netherlands",52.0776,4.3571,52.0777,4.3579,52.0763,4.3561
"249","2273JL","2273 JL Voorburg, Netherlands",52.0785,4.3526,52.0792,4.3532,52.0778,4.3514
"250","2273RL","2273 RL Voorburg, Netherlands",52.0826,4.3532,52.0832,4.3539,52.0818,4.352
"251","2273WD","2273 WD Voorburg, Netherlands",52.0798,4.3549,52.0805,4.3567,52.079,4.3532
"252","2274AM","2274 AM Voorburg, Netherlands",52.0704,4.3526,52.0713,4.3536,52.0699,4.3502
"253","2274AP","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"254","2274BV","2274 BV Voorburg, Netherlands",52.0744,4.3476,52.0754,4.3494,52.074,4.3459
"255","2274BW","2274 BW Voorburg, Netherlands",52.0743,4.3485,52.0754,4.3494,52.074,4.3476
"256","2274ER","2274 ER Voorburg, Netherlands",52.0742,4.3502,52.0753,4.351,52.0726,4.349
"257","2274GH","2274 GH Voorburg, Netherlands",52.0759,4.3488,52.0767,4.3512,52.0739,4.3476
"258","2274GN","2274 GN Voorburg, Netherlands",52.0767,4.349,52.078,4.3498,52.0753,4.3478
"259","2274HG","2274 HG Voorburg, Netherlands",52.0724,4.3613,52.0736,4.3621,52.0709,4.3601
"260","2274JC","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"261","2274NE","2274 NE Voorburg, Netherlands",52.0787,4.3447,52.0795,4.3468,52.0781,4.3433
"262","2274PR","2274 PR Voorburg, Netherlands",52.076,4.3391,52.0771,4.3399,52.0744,4.3378
"263","2274TX","2274 TX Voorburg, Netherlands",52.0761,4.3462,52.0781,4.348,52.0754,4.3445
"264","2274XS","2274 XS Voorburg, Netherlands",52.0729,4.3579,52.0737,4.3589,52.0723,4.3571
"265","2275CM","2275 CM Voorburg, Netherlands",52.0635,4.3529,52.0646,4.3542,52.0619,4.3508
"266","2275CZ","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
