"","postalcode","formal.address","location.lat","location.lng","bounds.northeast.lat","bounds.northeast.lng","bounds.southwest.lat","bounds.southwest.lng"
"12154","3051XH","3051 XH Rotterdam, Netherlands",51.9453,4.4738,51.946,4.4768,51.9445,4.4717
"12155","3051XJ","3051 XJ Rotterdam, Netherlands",51.9451,4.4727,51.946,4.4736,51.9447,4.4717
"12156","3051XK","3051 XK Rotterdam, Netherlands",51.9449,4.4718,51.9461,4.4736,51.9447,4.4701
"12157","3051XM","3051 XM Rotterdam, Netherlands",51.9448,4.4703,51.9462,4.4719,51.9434,4.4683
"12158","3051XP","3051 XP Rotterdam, Netherlands",51.9451,4.4684,51.9462,4.4703,51.9435,4.4669
"12159","3051XR","3051 XR Rotterdam, Netherlands",51.9453,4.4675,51.9463,4.4687,51.9449,4.4653
"12160","3051XT","3051 XT Rotterdam, Netherlands",51.9458,4.4675,51.9475,4.4689,51.9449,4.4669
"12161","3051XV","3051 XV Rotterdam, Netherlands",51.9461,4.4676,51.9462,4.4687,51.9449,4.4669
"12162","3051XW","3051 XW Rotterdam, Netherlands",51.9455,4.4679,51.9462,4.4687,51.9449,4.4669
"12163","3052AA","3052 AA Rotterdam, Netherlands",51.9513,4.4656,51.9543,4.4665,51.9502,4.4631
"12164","3052AB","3052 AB Rotterdam, Netherlands",51.9508,4.4658,51.9516,4.4663,51.9502,4.4645
"12165","3052AC","3052 AC Rotterdam, Netherlands",51.9504,4.4661,51.9516,4.4679,51.9489,4.4643
"12166","3052AD","3052 AD Rotterdam, Netherlands",51.9495,4.4665,51.9502,4.4677,51.9489,4.4659
"12167","3052AE","3052 AE Rotterdam, Netherlands",51.9526,4.4653,51.9529,4.4665,51.9516,4.4647
"12168","3052AG","3052 AG Rotterdam, Netherlands",51.9523,4.4655,51.9529,4.4665,51.9516,4.4647
"12169","3052AH","3052 AH Rotterdam, Netherlands",51.952,4.4657,51.9529,4.4665,51.9516,4.4647
"12170","3052AJ","3052 AJ Rotterdam, Netherlands",51.95,4.4666,51.9516,4.4679,51.9489,4.4645
"12171","3052AK","3052 AK Rotterdam, Netherlands",51.9495,4.4669,51.9502,4.4677,51.9489,4.4659
"12172","3052AL","3052 AL Rotterdam, Netherlands",51.9508,4.4649,51.9517,4.4663,51.9489,4.4627
"12173","3052AM","3052 AM Rotterdam, Netherlands",51.9498,4.4651,51.9503,4.4661,51.9489,4.4643
"12174","3052AN","3052 AN Rotterdam, Netherlands",51.9495,4.4658,51.9503,4.4661,51.9489,4.4643
"12175","3052AP","3052 AP Rotterdam, Netherlands",51.9496,4.4664,51.9503,4.4677,51.9489,4.4643
"12176","3052AR","3052 AR Rotterdam, Netherlands",51.9508,4.4653,51.9516,4.4663,51.9502,4.4645
"12177","3052AS","3052 AS Rotterdam, Netherlands",51.9502,4.4651,51.9503,4.4661,51.9489,4.4643
"12178","3052AT","3052 AT Rotterdam, Netherlands",51.9496,4.466,51.9503,4.4677,51.9489,4.4643
"12179","3052BJ","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"12180","3052BT","3052 BT Rotterdam, Netherlands",51.9572,4.4732,51.9592,4.4757,51.9553,4.4718
"12181","3052BV","3052 BV Rotterdam, Netherlands",51.9554,4.4712,51.958,4.4736,51.9528,4.4682
"12182","3052BW","3052 BW Rotterdam, Netherlands",51.9538,4.4678,51.9542,4.47,51.9528,4.4665
"12183","3052BX","3052 BX Rotterdam, Netherlands",51.9535,4.4666,51.9543,4.4684,51.9528,4.4649
"12184","3052BZ","3052 BZ Rotterdam, Netherlands",51.9533,4.4654,51.9543,4.4668,51.9529,4.4633
"12185","3052CA","3052 CA Rotterdam, Netherlands",51.9541,4.4759,51.9552,4.4783,51.9525,4.4746
"12186","3052CB","3052 CB Rotterdam, Netherlands",51.9548,4.4745,51.9553,4.4767,51.9538,4.4732
"12187","3052CC","3052 CC Rotterdam, Netherlands",51.9556,4.4729,51.9567,4.4753,51.9539,4.4702
"12188","3052CD","3052 CD Rotterdam, Netherlands",51.9542,4.4747,51.9553,4.4767,51.9538,4.4732
"12189","3052CE","3052 CE Rotterdam, Netherlands",51.9546,4.4739,51.9553,4.475,51.9539,4.4716
"12190","3052CG","3052 CG Rotterdam, Netherlands",51.9549,4.4733,51.9553,4.475,51.9539,4.4716
"12191","3052CH","3052 CH Rotterdam, Netherlands",51.9552,4.4727,51.9566,4.5347,51.9385,4.4716
"12192","3052CJ","3052 CJ Rotterdam, Netherlands",51.9555,4.472,51.9567,4.4736,51.9553,4.4702
"12193","3052GK","3052 GK Rotterdam, Netherlands",51.9569,4.4775,51.9578,4.4787,51.9564,4.4769
"12194","3052GL","3052 GL Rotterdam, Netherlands",51.9582,4.4758,51.9606,4.4787,51.9564,4.4725
"12195","3052HA","3052 HA Rotterdam, Netherlands",51.9556,4.4761,51.9566,4.4769,51.9551,4.4734
"12196","3052HB","3052 HB Rotterdam, Netherlands",51.9564,4.4749,51.9579,4.4755,51.9552,4.4734
"12197","3052HC","3052 HC Rotterdam, Netherlands",51.9556,4.4752,51.9566,4.4769,51.9538,4.4734
"12198","3052HD","3052 HD Rotterdam, Netherlands",51.956,4.4744,51.9566,4.4753,51.9552,4.4734
"12199","3052HE","3052 HE Rotterdam, Netherlands",51.9564,4.4742,51.9566,4.4753,51.9552,4.4734
"12200","3052HG","3052 HG Rotterdam, Netherlands",51.9573,4.4767,51.9578,4.4771,51.9565,4.4753
"12201","3052HH","3052 HH Rotterdam, Netherlands",51.9571,4.4763,51.9578,4.4787,51.9564,4.4753
"12202","3052HJ","3052 HJ Rotterdam, Netherlands",51.9568,4.4758,51.9578,4.4771,51.9551,4.4734
"12203","3052HL","3052 HL Rotterdam, Netherlands",51.9543,4.4769,51.9552,4.4783,51.9538,4.4748
"12204","3052HM","3052 HM Rotterdam, Netherlands",51.955,4.4754,51.9566,4.4769,51.9538,4.4732
"12205","3052HN","3052 HN Rotterdam, Netherlands",51.9559,4.4737,51.9566,4.4753,51.9552,4.4718
