Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;01/Apr;02/Apr;03/Apr;04/Apr;05/Apr;06/Apr;07/Apr;08/Apr;09/Apr;10/Apr;11/Apr;12/Apr;13/Apr;14/Apr;15/Apr;16/Apr;17/Apr;18/Apr;19/Apr;20/Apr;21/Apr;22/Apr;23/Apr;24/Apr;25/Apr;26/Apr;27/Apr;28/Apr;29/Apr;30/Apr;01/May;02/May;03/May;04/May;05/May;06/May;07/May;08/May;09/May;10/May;11/May;12/May;13/May;14/May;15/May;16/May;17/May;18/May;19/May;20/May;21/May;22/May;23/May;24/May;25/May;26/May;27/May;28/May;29/May;30/May;31/May;01/Jun;02/Jun;03/Jun;04/Jun;05/Jun;06/Jun;07/Jun;08/Jun;09/Jun;10/Jun;11/Jun;12/Jun;13/Jun;14/Jun;15/Jun;16/Jun;17/Jun;18/Jun;19/Jun;20/Jun;21/Jun;22/Jun;23/Jun;24/Jun;25/Jun;26/Jun;27/Jun;28/Jun;29/Jun;30/Jun
600 - 630;10,5;0,70%;25.350;10:14:28;10:14:31;10:16:12;10:14:48;10:14:17;10:15:10;10:14:52;10:14:06;10:14:52;10:14:47;10:13:30;10:14:26;10:15:38;10:14:26;10:13:36;10:16:16;10:12:12;10:13:48;10:14:40;10:13:08;10:14:12;10:14:21;10:15:30;10:14:49;10:14:38;10:14:41;10:15:56;10:16:09;10:15:15;10:14:04;10:14:24;10:13:45;10:13:28;10:13:25;10:13:41;10:14:15;10:14:04;10:14:59;10:14:50;10:14:11;10:14:51;10:14:38;10:13:51;10:15:03;10:13:55;10:13:40;10:14:35;10:14:26;10:14:13;10:14:48;10:14:33;10:14:09;10:14:15;10:15:10;10:15:10;10:14:58;10:14:40;10:14:37;10:12:44;10:13:59;10:13:15;10:14:18;10:15:16;10:15:09;10:15:32;10:13:50;10:14:52;10:13:44;10:14:06;10:14:06;10:14:20;10:14:53;10:14:30;10:14:48;10:14:07;10:14:59;10:14:32;10:15:00;10:14:22;10:14:03;10:14:14;10:14:42;10:14:10;10:13:14;10:14:18;10:14:51;10:16:25;10:13:57;10:13:48;10:14:31;10:14:28;10:14:24
630 - 660;11;0,60%;21.058;10:44:29;10:44:27;10:44:01;10:44:45;10:45:07;10:43:44;10:43:57;10:44:22;10:43:49;10:43:02;10:44:00;10:44:06;10:44:06;10:44:27;10:46:11;10:45:40;10:44:27;10:45:10;10:43:53;10:44:53;10:44:46;10:44:54;10:44:23;10:45:16;10:44:30;10:44:40;10:44:45;10:44:31;10:43:54;10:45:14;10:45:17;10:42:36;10:43:38;10:44:36;10:43:41;10:43:53;10:44:45;10:44:50;10:43:07;10:44:30;10:45:07;10:44:39;10:43:50;10:44:56;10:44:44;10:44:37;10:45:33;10:44:10;10:44:31;10:44:54;10:45:00;10:44:50;10:44:12;10:43:56;10:43:56;10:44:18;10:44:21;10:44:57;10:44:08;10:45:35;10:44:04;10:45:02;10:45:11;10:44:19;10:45:06;10:45:39;10:44:07;10:43:20;10:43:39;10:44:46;10:45:03;10:45:46;10:44:55;10:43:36;10:43:31;10:43:42;10:44:26;10:45:21;10:45:57;10:43:39;10:44:09;10:45:27;10:42:59;10:44:35;10:45:03;10:45:40;10:43:42;10:43:46;10:43:32;10:45:28;10:43:54;10:44:28
660 - 690;11,5;0,50%;17.318;11:14:26;11:14:40;11:14:51;11:14:58;11:14:01;11:15:02;11:13:52;11:15:18;11:13:58;11:14:51;11:13:46;11:14:14;11:14:15;11:14:48;11:14:36;11:15:33;11:13:58;11:14:18;11:14:02;11:14:31;11:12:53;11:13:03;11:14:55;11:14:44;11:14:55;11:12:55;11:15:26;11:15:15;11:15:02;11:14:16;11:13:29;11:14:57;11:14:49;11:14:56;11:14:54;11:14:36;11:15:18;11:18:47;11:14:25;11:13:16;11:13:57;11:14:08;11:14:18;11:14:37;11:14:35;11:13:10;11:14:32;11:14:12;11:13:30;11:14:03;11:14:13;11:14:11;11:14:56;11:14:42;11:13:15;11:15:24;11:14:55;11:13:08;11:14:53;11:13:17;11:14:58;11:13:11;11:14:54;11:14:54;11:15:06;11:12:35;11:15:05;11:16:05;11:14:56;11:14:47;11:14:30;11:15:33;11:12:07;11:14:38;11:14:58;11:15:34;11:15:23;11:14:21;11:14:13;11:14:21;11:14:26;11:13:58;11:14:09;11:13:51;11:15:08;11:13:35;11:12:33;11:13:08;11:14:43;11:15:21;11:13:50;11:13:44
690 - 720;12;0,40%;15.018;11:44:40;11:44:23;11:46:06;11:46:26;11:43:53;11:45:19;11:43:54;11:44:15;11:43:13;11:44:25;11:45:03;11:44:19;11:43:39;11:44:10;11:45:15;11:44:27;11:44:56;11:46:18;11:44:53;11:45:30;11:44:52;11:45:00;11:44:36;11:44:42;11:43:51;11:44:52;11:45:12;11:44:08;11:45:02;11:45:22;11:44:45;11:45:37;11:44:24;11:46:00;11:45:19;11:45:19;11:44:57;11:45:38;11:45:49;11:45:40;11:45:22;11:44:53;11:43:38;11:44:44;11:44:19;11:44:46;11:45:04;11:44:18;11:45:33;11:43:35;11:44:53;11:44:00;11:44:54;11:44:46;11:44:19;11:44:39;11:43:41;11:44:27;11:44:28;11:44:18;11:46:25;11:44:57;11:44:28;11:44:28;11:44:24;11:44:30;11:44:27;11:45:22;11:44:53;11:44:08;11:44:07;11:44:23;11:44:21;11:43:01;11:44:18;11:44:53;11:43:37;11:43:35;11:43:26;11:45:09;11:43:18;11:43:53;11:44:56;11:44:19;11:45:11;11:44:44;11:43:51;11:45:23;11:43:32;11:45:56;11:43:17;11:45:08
720 - 750;12,5;0,30%;12.572;12:14:23;12:15:24;12:13:50;12:13:45;12:12:33;12:14:36;12:15:30;12:14:45;12:14:42;12:12:45;12:14:32;12:14:50;12:13:18;12:14:22;12:13:53;12:13:57;12:14:15;12:11:46;12:16:21;12:16:39;12:12:55;12:14:59;12:14:32;12:14:08;12:14:00;12:15:19;12:14:44;12:14:53;12:14:02;12:14:53;12:12:41;12:14:02;12:14:05;12:16:44;12:15:14;12:14:18;12:13:36;12:14:01;12:12:54;12:13:03;12:13:22;12:14:03;12:15:54;12:14:26;12:15:33;12:14:01;12:12:58;12:14:30;12:15:42;12:16:22;12:13:45;12:14:08;12:14:21;12:15:19;12:14:29;12:15:22;12:14:43;12:14:14;12:15:41;12:13:54;12:14:36;12:14:34;12:14:26;12:15:04;12:15:21;12:14:51;12:14:04;12:15:11;12:14:35;12:13:45;12:14:35;12:15:04;12:13:37;12:15:25;12:14:56;12:14:14;12:13:43;12:14:36;12:13:37;12:15:11;12:13:45;12:14:13;12:13:50;12:13:37;12:14:10;12:14:09;12:12:37;12:13:54;12:15:10;12:14:16;12:13:44;12:14:16
750 - 780;13;0,30%;11.103;12:44:34;12:44:22;12:43:50;12:44:30;12:44:20;12:45:53;12:44:31;12:44:58;12:46:28;12:44:52;12:42:45;12:45:29;12:44:28;12:44:17;12:45:23;12:45:20;12:42:48;12:45:51;12:43:10;12:44:39;12:44:19;12:44:46;12:43:09;12:44:09;12:45:28;12:44:08;12:45:22;12:46:05;12:44:43;12:43:39;12:45:02;12:43:41;12:43:42;12:44:46;12:44:34;12:44:28;12:44:10;12:43:19;12:43:57;12:45:05;12:45:23;12:45:46;12:44:02;12:45:01;12:44:34;12:45:08;12:44:04;12:44:21;12:43:34;12:44:52;12:44:25;12:43:42;12:45:20;12:44:56;12:44:25;12:45:14;12:44:48;12:45:49;12:45:05;12:43:36;12:43:46;12:43:20;12:45:41;12:45:19;12:44:58;12:43:17;12:45:09;12:42:09;12:44:46;12:43:42;12:45:05;12:45:36;12:43:14;12:44:22;12:44:23;12:44:10;12:46:04;12:43:28;12:44:29;12:44:20;12:45:28;12:45:02;12:43:22;12:44:39;12:45:03;12:44:51;12:44:26;12:46:06;12:43:59;12:44:17;12:45:02;12:44:55
780 - 810;13,5;0,30%;9.470;13:14:35;13:15:22;13:14:09;13:13:42;13:14:21;13:15:41;13:14:10;13:15:48;13:15:34;13:12:17;13:14:00;13:14:53;13:13:21;13:15:01;13:15:59;13:15:18;13:15:37;13:15:26;13:16:33;13:14:29;13:14:29;13:15:10;13:13:02;13:14:29;13:15:14;13:14:38;13:13:36;13:13:58;13:13:41;13:13:14;13:13:55;13:14:18;13:18:40;13:15:08;13:14:22;13:13:23;13:14:43;13:14:00;13:15:49;13:16:07;13:15:32;13:13:11;13:14:21;13:15:09;13:15:30;13:15:05;13:13:54;13:14:07;13:13:15;13:13:00;13:12:30;13:15:54;13:14:55;13:14:37;13:13:37;13:14:37;13:16:09;13:13:52;13:14:07;13:14:04;13:15:16;13:14:22;13:14:19;13:14:41;13:16:08;13:12:26;13:16:14;13:13:38;13:14:50;13:14:40;13:14:46;13:13:12;13:13:39;13:16:50;13:15:26;13:16:16;13:14:29;13:14:34;13:13:38;13:12:36;13:15:13;13:14:51;13:14:44;13:14:23;13:14:02;13:14:48;13:12:07;13:15:08;13:13:24;13:15:24;13:13:45;13:15:35
810 - 840;14;0,20%;8.370;13:44:33;13:45:39;13:44:15;13:45:06;13:44:47;13:43:39;13:46:24;13:45:38;13:43:06;13:44:48;13:43:24;13:46:38;13:43:47;13:43:27;13:41:44;13:44:27;13:43:33;13:44:50;13:48:23;13:43:14;13:44:50;13:45:43;13:43:32;13:45:18;13:43:23;13:44:46;13:45:01;13:43:56;13:44:57;13:45:48;13:42:42;13:42:46;13:44:17;13:44:19;13:43:54;13:44:20;13:44:03;13:45:28;13:47:18;13:44:22;13:42:51;13:44:59;13:44:48;13:43:07;13:46:04;13:44:58;13:45:08;13:44:19;13:46:02;13:44:13;13:44:22;13:43:18;13:43:58;13:45:54;13:43:24;13:43:14;13:42:48;13:43:29;13:44:10;13:44:16;13:44:36;13:44:35;13:44:37;13:45:01;13:43:20;13:47:54;13:43:48;13:45:40;13:44:56;13:43:18;13:44:08;13:46:12;13:46:36;13:45:30;13:45:22;13:42:33;13:45:08;13:43:37;13:43:35;13:44:05;13:45:30;13:43:37;13:45:11;13:42:46;13:44:56;13:45:34;13:44:35;13:44:36;13:46:13;13:43:54;13:44:57;13:44:57
840 - 870;14,5;0,20%;7.037;14:14:25;14:13:53;14:15:41;14:15:31;14:14:37;14:12:51;14:15:24;14:11:37;14:15:42;14:12:07;14:12:58;14:13:43;14:13:27;14:16:31;14:14:28;14:14:20;14:14:16;14:11:53;14:14:07;14:15:52;14:14:31;14:14:42;14:16:04;14:14:25;14:12:24;14:15:51;14:13:42;14:15:16;14:12:58;14:16:17;14:13:36;14:14:50;14:15:30;14:13:49;14:13:51;14:16:40;14:13:38;14:15:17;14:13:10;14:14:10;14:15:08;14:14:05;14:14:53;14:14:37;14:15:14;14:15:03;14:14:25;14:13:05;14:15:23;14:15:31;14:15:16;14:14:46;14:14:00;14:16:22;14:15:57;14:14:01;14:13:26;14:13:37;14:14:25;14:12:33;14:14:55;14:14:12;14:16:06;14:16:36;14:14:08;14:13:20;14:13:18;14:14:23;14:14:24;14:13:25;14:15:33;14:14:17;14:11:30;14:13:56;14:14:09;14:14:36;14:15:05;14:12:29;14:15:05;14:14:23;14:13:16;14:14:08;14:13:13;14:14:42;14:14:40;14:16:19;14:16:30;14:12:55;14:12:52;14:17:05;14:13:53;14:15:06
870 - 900;15;0,20%;5.999;14:44:34;14:43:08;14:41:48;14:43:25;14:42:42;14:47:06;14:44:07;14:43:51;14:46:36;14:44:35;14:43:06;14:45:55;14:44:58;14:44:06;14:43:06;14:46:25;14:46:32;14:43:04;14:43:18;14:44:17;14:45:49;14:43:22;14:44:55;14:44:55;14:43:10;14:46:56;14:44:14;14:46:21;14:44:26;14:45:13;14:44:25;14:44:16;14:44:03;14:45:26;14:44:47;14:44:18;14:44:15;14:46:44;14:45:48;14:46:00;14:45:27;14:45:35;14:44:06;14:46:38;14:44:22;14:43:12;14:45:25;14:41:43;14:46:39;14:44:44;14:45:36;14:42:36;14:43:22;14:44:52;14:44:29;14:43:58;14:44:15;14:45:24;14:45:43;14:42:58;14:42:47;14:44:22;14:45:04;14:45:16;14:45:42;14:44:31;14:43:03;14:42:47;14:44:42;14:43:49;14:46:14;14:47:05;14:42:36;14:47:36;14:43:03;14:43:14;14:44:47;14:45:14;14:45:55;14:45:59;14:44:45;14:47:36;14:43:53;14:44:00;14:44:07;14:42:24;14:44:14;14:42:42;14:45:38;14:41:53;14:44:18;14:43:25
900 - 930;15,5;0,10%;5.321;15:14:31;15:13:47;15:15:15;15:11:27;15:15:29;15:17:25;15:15:20;15:14:57;15:15:42;15:13:12;15:14:13;15:16:41;15:12:00;15:13:34;15:15:00;15:16:07;15:15:11;15:11:24;15:17:00;15:13:41;15:13:25;15:14:55;15:11:41;15:12:31;15:11:53;15:14:46;15:15:38;15:15:56;15:15:42;15:14:59;15:12:01;15:16:34;15:13:08;15:15:08;15:13:23;15:14:32;15:15:18;15:17:01;15:13:13;15:15:54;15:16:09;15:13:44;15:14:46;15:14:21;15:15:16;15:13:48;15:16:51;15:13:38;15:15:35;15:14:08;15:14:44;15:13:56;15:17:25;15:15:08;15:16:04;15:15:02;15:14:15;15:16:32;15:14:52;15:12:55;15:14:07;15:12:56;15:16:09;15:15:20;15:13:41;15:15:43;15:13:32;15:10:07;15:12:23;15:14:14;15:14:05;15:13:42;15:17:46;15:15:44;15:13:41;15:13:22;15:13:34;15:18:00;15:16:00;15:12:24;15:13:31;15:14:20;15:12:50;15:15:34;15:13:32;15:15:36;15:15:33;15:13:17;15:13:10;15:13:32;15:16:24;15:13:12
930 - 960;16;0,10%;4.720;15:44:43;15:43:18;15:49:21;15:46:57;15:41:13;15:45:05;15:44:19;15:44:22;15:43:01;15:45:22;15:46:25;15:45:07;15:44:45;15:45:57;15:45:23;15:47:29;15:43:55;15:41:17;15:44:37;15:44:42;15:44:38;15:44:16;15:47:31;15:47:31;15:44:11;15:43:56;15:46:53;15:43:41;15:46:37;15:43:20;15:46:10;15:43:35;15:45:47;15:46:15;15:43:45;15:44:09;15:44:26;15:41:18;15:45:18;15:47:50;15:44:06;15:45:03;15:45:00;15:43:27;15:45:18;15:45:33;15:44:54;15:45:47;15:43:40;15:42:10;15:45:59;15:47:53;15:44:37;15:45:22;15:42:26;15:43:30;15:44:40;15:41:52;15:47:17;15:42:47;15:43:32;15:44:00;15:45:18;15:46:10;15:45:44;15:44:30;15:41:28;15:42:18;15:44:12;15:45:20;15:43:13;15:44:30;15:45:37;15:45:14;15:46:09;15:43:25;15:43:51;15:43:23;15:44:59;15:44:34;15:44:25;15:45:39;15:43:12;15:43:46;15:45:42;15:44:14;15:44:58;15:46:45;15:45:59;15:42:21;15:44:38;15:45:33
960 - 990;16,5;0,10%;3.977;16:14:05;16:10:27;16:13:23;16:16:02;16:15:33;16:13:08;16:12:42;16:12:55;16:15:22;16:16:28;16:11:35;16:11:16;16:15:36;16:16:06;16:15:36;16:16:11;16:14:39;16:14:16;16:13:54;16:08:38;16:14:43;16:14:27;16:14:01;16:19:38;16:15:59;16:10:47;16:14:05;16:15:16;16:16:44;16:16:17;16:15:06;16:13:27;16:13:11;16:12:13;16:13:40;16:15:17;16:14:47;16:15:44;16:15:06;16:14:45;16:16:08;16:15:00;16:14:19;16:11:11;16:13:11;16:09:51;16:14:33;16:10:23;16:15:45;16:14:17;16:15:38;16:11:33;16:13:00;16:15:40;16:12:49;16:12:27;16:12:44;16:11:54;16:13:31;16:18:22;16:13:57;16:11:32;16:15:46;16:13:30;16:13:27;16:12:25;16:14:32;16:15:09;16:15:20;16:13:24;16:12:46;16:14:14;16:17:36;16:19:46;16:16:53;16:13:55;16:15:52;16:12:20;16:13:49;16:15:19;16:10:34;16:11:16;16:14:36;16:13:42;16:14:05;16:14:31;16:11:36;16:13:26;16:09:53;16:17:52;16:11:52;16:15:19
990 - 1020;17;0,10%;3.451;16:44:42;16:43:18;16:48:02;16:44:05;16:46:49;16:43:13;16:46:17;16:43:16;16:43:15;16:46:22;16:45:31;16:47:33;16:46:45;16:41:10;16:46:12;16:44:18;16:45:01;16:46:04;16:44:21;16:41:58;16:49:00;16:43:29;16:44:22;16:43:56;16:43:41;16:40:02;16:44:26;16:42:45;16:44:01;16:42:50;16:47:12;16:44:00;16:43:17;16:43:15;16:40:22;16:44:55;16:43:50;16:45:14;16:44:20;16:47:29;16:43:01;16:43:13;16:44:23;16:46:32;16:44:02;16:47:48;16:45:40;16:47:34;16:40:01;16:44:56;16:42:39;16:43:43;16:48:04;16:45:33;16:44:20;16:45:21;16:45:40;16:44:25;16:40:35;16:44:35;16:43:47;16:45:03;16:46:40;16:45:30;16:45:18;16:43:36;16:48:54;16:49:16;16:48:02;16:45:28;16:42:37;16:41:09;16:44:34;16:49:10;16:46:49;16:41:37;16:43:08;16:42:39;16:47:56;16:41:14;16:43:56;16:46:58;16:41:22;16:43:32;16:46:50;16:43:08;16:44:56;16:43:17;16:44:23;16:44:57;16:48:01;16:46:11
1020 - 1050;17,5;0,10%;2.572;17:14:39;17:13:11;17:16:54;17:13:41;17:16:11;17:13:10;17:12:21;17:15:17;17:13:09;17:20:31;17:14:48;17:13:12;17:11:34;17:12:48;17:10:22;17:14:26;17:11:56;17:17:34;17:12:13;17:09:49;17:17:52;17:13:15;17:13:30;17:15:03;17:16:06;17:13:22;17:17:04;17:16:02;17:15:42;17:15:57;17:16:44;17:15:36;17:16:45;17:15:24;17:15:13;17:17:33;17:16:37;17:15:50;17:15:18;17:13:27;17:16:00;17:17:07;17:16:18;17:14:25;17:14:42;17:09:58;17:14:20;17:16:01;17:12:25;17:13:23;17:15:38;17:13:02;17:16:13;17:14:39;17:15:53;17:11:39;17:13:56;17:14:03;17:10:02;17:12:22;17:16:54;17:16:44;17:15:53;17:15:49;17:15:05;17:14:47;17:15:31;17:15:03;17:17:50;17:19:49;17:15:30;17:17:02;17:13:24;17:14:26;17:15:03;17:11:09;17:16:52;17:13:42;17:11:53;17:09:54;17:15:43;17:12:29;17:13:00;17:16:00;17:15:26;17:14:41;17:14:07;17:14:44;17:13:10;17:16:01;17:13:37;17:13:55
1050 - 1080;18;0,10%;2.252;17:44:35;17:42:37;17:44:03;17:44:56;17:43:53;17:42:05;17:43:32;17:46:20;17:45:56;17:42:42;17:42:40;17:43:12;17:49:11;17:44:49;17:47:12;17:42:54;17:41:58;17:48:15;17:48:10;17:43:21;17:43:22;17:41:28;17:40:52;17:45:31;17:47:23;17:44:48;17:44:43;17:41:53;17:45:30;17:43:36;17:45:15;17:41:40;17:44:24;17:44:46;17:46:07;17:43:35;17:49:18;17:46:05;17:46:46;17:43:30;17:44:24;17:45:36;17:44:51;17:46:14;17:39:35;17:38:48;17:39:14;17:45:50;17:45:11;17:42:23;17:42:38;17:49:36;17:44:50;17:48:49;17:41:30;17:42:52;17:44:30;17:44:23;17:43:53;17:45:36;17:45:44;17:39:31;17:43:53;17:45:39;17:46:32;17:45:06;17:44:56;17:42:41;17:46:06;17:44:51;17:43:04;17:47:00;17:44:59;17:45:03;17:46:13;17:45:21;17:44:35;17:46:23;17:46:02;17:43:04;17:47:39;17:44:25;17:43:05;17:46:41;17:44:21;17:45:34;17:48:26;17:45:18;17:44:15;17:41:49;17:43:07;17:46:12
1080 - 1110;18,5;0,10%;2.036;18:14:21;18:12:03;18:15:46;18:15:08;18:14:02;18:15:41;18:11:33;18:15:52;18:14:22;18:13:37;18:07:11;18:11:45;18:13:53;18:12:20;18:13:10;18:18:42;18:14:55;18:07:08;18:13:36;18:13:13;18:15:02;18:11:51;18:17:40;18:09:06;18:10:39;18:13:28;18:15:22;18:12:59;18:16:36;18:12:23;18:12:52;18:15:53;18:14:20;18:15:37;18:16:00;18:17:46;18:12:48;18:07:28;18:16:00;18:09:47;18:15:20;18:15:04;18:15:41;18:14:09;18:15:27;18:15:16;18:13:45;18:14:59;18:15:48;18:13:53;18:15:14;18:13:21;18:17:36;18:15:42;18:14:23;18:12:32;18:15:30;18:11:22;18:12:59;18:15:11;18:17:56;18:16:50;18:09:24;18:17:13;18:13:03;18:15:53;18:18:10;18:10:57;18:17:02;18:12:57;18:11:58;18:13:26;18:19:00;18:17:01;18:11:08;18:11:13;18:09:58;18:16:34;18:14:13;18:16:29;18:15:09;18:20:12;18:17:46;18:16:02;18:16:48;18:13:37;18:16:47;18:15:05;18:14:57;18:13:49;18:18:18;18:16:11
1110 - 1140;19;0,00%;1.859;18:44:51;18:46:01;18:44:14;18:50:04;18:43:09;18:47:28;18:47:48;18:44:41;18:45:05;18:42:22;18:38:27;18:45:56;18:47:01;18:46:07;18:44:59;18:45:29;18:47:13;18:39:13;18:45:46;18:41:38;18:47:57;18:42:16;18:49:21;18:46:50;18:48:18;18:47:26;18:47:12;18:45:39;18:44:39;18:44:31;18:45:59;18:43:00;18:47:15;18:41:16;18:46:42;18:43:05;18:43:43;18:40:06;18:47:10;18:42:41;18:47:16;18:44:00;18:41:51;18:48:06;18:46:46;18:42:49;18:45:24;18:49:11;18:45:45;18:46:16;18:42:54;18:45:48;18:46:23;18:41:30;18:47:24;18:39:04;18:41:13;18:46:18;18:45:16;18:43:33;18:40:33;18:48:30;18:41:43;18:49:11;18:41:33;18:50:12;18:44:11;18:49:32;18:46:57;18:43:33;18:44:44;18:44:27;18:43:48;18:43:14;18:40:25;18:45:40;18:50:08;18:41:03;18:42:46;18:48:31;18:43:40;18:47:40;18:47:22;18:43:08;18:44:02;18:38:34;18:47:55;18:41:29;18:46:57;18:38:12;18:41:38;18:44:56
1140 - 1170;19,5;0,00%;1.665;19:14:35;19:13:06;19:17:11;19:10:32;19:12:19;19:17:11;19:15:33;19:15:15;19:15:56;19:12:20;19:15:03;19:16:37;19:24:21;19:15:57;19:16:34;19:18:52;19:14:29;19:12:07;19:15:09;19:09:26;19:12:19;19:14:56;19:18:42;19:10:49;19:20:38;19:15:27;19:18:14;19:10:34;19:15:15;19:10:30;19:17:43;19:07:43;19:10:25;19:17:49;19:10:58;19:15:01;19:16:57;19:15:08;19:16:14;19:11:53;19:14:16;19:13:00;19:17:06;19:20:40;19:13:47;19:10:11;19:17:55;19:14:49;19:15:57;19:11:50;19:15:55;19:12:58;19:11:39;19:10:50;19:13:47;19:17:16;19:15:54;19:12:47;19:12:56;19:16:21;19:16:40;19:13:06;19:19:34;19:16:25;19:16:45;19:11:07;19:11:55;19:12:36;19:16:44;19:14:19;19:15:50;19:18:39;19:18:34;19:08:32;19:14:26;19:17:16;19:13:03;19:17:12;19:14:28;19:14:23;19:10:02;19:10:31;19:17:24;19:15:16;19:11:42;19:14:31;19:10:41;19:12:50;19:12:04;19:14:14;19:16:23;19:14:10
1170 - 1200;20;0,00%;1.579;19:44:39;19:44:24;19:50:53;19:45:22;19:39:51;19:47:15;19:38:37;19:44:49;19:41:26;19:47:01;19:45:56;19:42:13;19:48:02;19:41:00;19:46:09;19:43:37;19:50:13;19:45:18;19:39:17;19:38:45;19:46:26;19:38:34;19:40:55;19:46:45;19:46:23;19:47:52;19:46:05;19:49:44;19:48:36;19:45:10;19:49:03;19:48:13;19:49:18;19:46:29;19:50:52;19:44:52;19:45:56;19:36:39;19:42:10;19:44:45;19:44:31;19:47:09;19:44:37;19:43:23;19:42:44;19:46:15;19:42:31;19:43:12;19:37:56;19:43:53;19:44:11;19:48:29;19:41:57;19:42:08;19:43:17;19:41:27;19:41:12;19:45:47;19:47:30;19:43:50;19:45:35;19:46:53;19:45:57;19:46:09;19:47:01;19:43:29;19:41:44;19:43:42;19:45:40;19:49:10;19:40:54;19:44:59;19:45:44;19:49:34;19:42:06;19:43:28;19:49:05;19:46:27;19:44:31;19:41:53;19:44:34;19:44:39;19:39:38;19:47:42;19:45:53;19:43:16;19:40:19;19:43:32;19:42:18;19:45:15;19:48:43;19:42:24
1200 - 1230;20,5;0,00%;1.604;20:14:08;20:10:56;20:15:44;20:14:49;20:15:28;20:10:07;20:19:34;20:15:07;20:16:12;20:14:49;20:12:11;20:17:04;20:16:58;20:18:40;20:14:21;20:12:13;20:13:02;20:09:07;20:10:17;20:13:18;20:12:16;20:08:11;20:15:20;20:12:39;20:14:35;20:14:26;20:15:21;20:09:25;20:15:36;20:16:18;20:07:58;20:11:07;20:09:53;20:10:11;20:12:59;20:15:48;20:17:16;20:13:03;20:13:12;20:18:09;20:15:33;20:14:42;20:18:44;20:18:34;20:13:46;20:06:46;20:14:32;20:08:26;20:14:17;20:11:35;20:13:44;20:10:47;20:14:24;20:14:27;20:19:11;20:18:00;20:11:56;20:15:16;20:16:21;20:16:04;20:10:02;20:17:17;20:15:43;20:11:53;20:13:51;20:17:02;20:16:07;20:20:39;20:15:35;20:13:31;20:13:04;20:17:33;20:12:46;20:13:22;20:14:36;20:14:14;20:13:58;20:10:03;20:14:12;20:18:49;20:18:56;20:16:44;20:15:22;20:12:51;20:11:00;20:13:37;20:12:41;20:16:28;20:17:22;20:12:15;20:11:42;20:11:45
1230 - 1260;21;0,00%;1.377;20:44:47;20:43:33;20:42:08;20:43:06;20:43:21;20:40:12;20:44:41;20:45:12;20:47:45;20:46:53;20:44:44;20:43:58;20:43:39;20:44:26;20:49:40;20:39:09;20:43:42;20:51:36;20:33:26;20:48:10;20:41:32;20:44:59;20:45:39;20:37:54;20:50:31;20:49:51;20:42:39;20:49:43;20:44:33;20:41:47;20:41:06;20:47:03;20:37:32;20:53:27;20:44:51;20:40:13;20:45:46;20:42:16;20:47:16;20:43:29;20:35:58;20:44:32;20:44:41;20:49:28;20:48:01;20:45:07;20:50:42;20:38:56;20:43:19;20:43:06;20:45:09;20:44:20;20:41:09;20:47:28;20:41:02;20:40:09;20:40:23;20:48:40;20:46:10;20:59:38;20:58:09;20:32:20;20:41:13;20:44:28;20:47:52;20:43:27;20:45:01;20:40:42;20:43:07;20:44:13;20:44:42;20:46:03;20:44:42;20:52:57;20:48:32;20:48:54;20:38:35;20:44:02;20:46:33;20:45:58;20:44:55;20:46:13;20:47:36;20:52:40;20:34:09;20:46:47;20:43:24;20:46:58;20:45:31;20:49:28;20:37:51;20:48:10
1260 - 1290;21,5;0,00%;1.510;21:14:44;21:12:03;21:12:07;21:15:21;21:09:04;21:11:59;21:14:35;21:14:28;21:22:18;21:17:33;21:21:50;21:11:42;21:15:02;21:21:26;21:08:40;21:12:52;21:11:46;21:10:41;21:10:52;21:16:20;21:18:37;21:15:47;21:14:34;21:14:37;21:15:00;21:14:07;21:17:44;21:17:49;21:17:45;21:11:56;21:17:17;21:15:43;21:13:43;21:17:34;21:15:10;21:11:03;21:15:56;21:08:54;21:18:02;21:12:00;21:11:28;21:08:00;21:12:23;21:17:23;21:14:19;21:12:53;21:13:46;21:15:42;21:15:57;21:13:49;21:10:19;21:09:05;21:19:31;21:16:45;21:15:24;21:17:48;21:15:02;21:15:13;21:08:33;21:14:40;21:14:38;21:11:24;21:11:26;21:12:42;21:14:48;21:16:26;21:17:16;21:21:21;21:16:17;21:10:03;21:19:08;21:12:48;21:06:55;21:29:56;21:11:36;21:17:12;21:11:16;21:08:41;21:16:12;21:14:33;21:19:13;21:22:24;21:13:11;21:17:47;21:16:22;21:15:16;21:16:09;21:21:11;21:07:45;21:13:43;21:16:59;21:13:27
