Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;01/Apr;02/Apr;03/Apr;04/Apr;05/Apr;06/Apr;07/Apr;08/Apr;09/Apr;10/Apr;11/Apr;12/Apr;13/Apr;14/Apr;15/Apr;16/Apr;17/Apr;18/Apr;19/Apr;20/Apr;21/Apr;22/Apr;23/Apr;24/Apr;25/Apr;26/Apr;27/Apr;28/Apr;29/Apr;30/Apr;01/May;02/May;03/May;04/May;05/May;06/May;07/May;08/May;09/May;10/May;11/May;12/May;13/May;14/May;15/May;16/May;17/May;18/May;19/May;20/May;21/May;22/May;23/May;24/May;25/May;26/May;27/May;28/May;29/May;30/May;31/May;01/Jun;02/Jun;03/Jun;04/Jun;05/Jun;06/Jun;07/Jun;08/Jun;09/Jun;10/Jun;11/Jun;12/Jun;13/Jun;14/Jun;15/Jun;16/Jun;17/Jun;18/Jun;19/Jun;20/Jun;21/Jun;22/Jun;23/Jun;24/Jun;25/Jun;26/Jun;27/Jun;28/Jun;29/Jun;30/Jun
300 - 330;5,5;1,90%;71.089;05:14:35;05:14:00;05:14:56;05:14:51;05:14:53;05:14:29;05:14:56;05:14:29;05:14:00;05:14:54;05:14:55;05:14:29;05:15:40;05:14:26;05:14:45;05:14:14;05:14:26;05:14:58;05:14:42;05:14:16;05:14:35;05:14:40;05:14:43;05:14:51;05:14:09;05:14:45;05:14:02;05:14:28;05:14:51;05:15:31;05:14:18;05:14:51;05:15:07;05:14:22;05:15:02;05:14:19;05:14:44;05:14:31;05:13:45;05:14:32;05:14:08;05:14:58;05:14:24;05:14:36;05:14:35;05:15:21;05:14:30;05:14:57;05:14:10;05:14:35;05:14:43;05:15:12;05:15:08;05:14:21;05:14:38;05:14:00;05:14:39;05:14:42;05:15:09;05:14:36;05:14:06;05:15:01;05:15:12;05:14:09;05:14:46;05:14:28;05:14:29;05:13:46;05:13:56;05:14:09;05:15:02;05:14:42;05:14:24;05:15:00;05:15:13;05:14:08;05:14:38;05:14:48;05:14:32;05:14:35;05:14:26;05:14:46;05:14:06;05:14:49;05:14:04;05:13:36;05:14:25;05:14:30;05:14:29;05:14:34;05:14:02;05:14:07
330 - 360;6;1,60%;60.976;05:44:39;05:44:12;05:44:20;05:44:41;05:44:48;05:44:45;05:44:17;05:44:27;05:44:40;05:44:28;05:44:12;05:44:59;05:45:10;05:44:27;05:44:55;05:44:31;05:44:48;05:44:47;05:44:33;05:44:18;05:44:55;05:45:14;05:44:36;05:44:43;05:44:47;05:44:28;05:44:29;05:44:32;05:44:19;05:44:30;05:44:09;05:44:03;05:44:13;05:44:34;05:44:51;05:44:50;05:44:04;05:45:32;05:44:32;05:44:31;05:44:42;05:44:58;05:44:51;05:44:30;05:44:39;05:44:52;05:44:59;05:44:37;05:45:19;05:44:41;05:44:26;05:44:41;05:45:01;05:44:36;05:43:59;05:44:29;05:44:12;05:45:08;05:45:09;05:45:18;05:44:44;05:44:58;05:44:39;05:43:58;05:45:16;05:44:11;05:44:36;05:44:58;05:44:36;05:44:00;05:45:11;05:43:59;05:44:06;05:44:35;05:44:23;05:45:10;05:44:53;05:44:59;05:44:04;05:44:36;05:45:00;05:44:03;05:44:38;05:45:09;05:43:52;05:44:59;05:44:08;05:45:11;05:44:57;05:44:58;05:44:22;05:45:08
360 - 390;6,5;1,40%;53.790;06:14:43;06:14:49;06:14:45;06:14:42;06:14:57;06:14:47;06:14:37;06:14:27;06:14:43;06:14:15;06:15:23;06:15:23;06:14:21;06:15:09;06:14:39;06:14:44;06:14:11;06:14:07;06:14:56;06:14:39;06:15:03;06:14:24;06:14:09;06:15:10;06:14:55;06:14:20;06:15:08;06:14:34;06:14:20;06:15:11;06:15:37;06:14:45;06:15:03;06:15:08;06:14:59;06:14:20;06:15:10;06:14:03;06:15:05;06:13:59;06:14:21;06:14:31;06:15:37;06:14:17;06:14:27;06:15:11;06:14:21;06:14:32;06:14:53;06:14:16;06:14:27;06:14:24;06:15:02;06:15:16;06:15:00;06:15:26;06:13:54;06:14:32;06:14:48;06:14:51;06:14:48;06:14:21;06:14:22;06:14:19;06:14:49;06:15:02;06:14:24;06:14:25;06:15:31;06:15:10;06:14:44;06:14:34;06:13:47;06:15:09;06:14:50;06:14:49;06:15:38;06:14:27;06:14:45;06:14:43;06:14:49;06:14:37;06:14:17;06:13:31;06:14:26;06:14:06;06:14:35;06:14:39;06:15:37;06:14:59;06:14:15;06:15:17
390 - 420;7;1,30%;48.300;06:44:49;06:44:53;06:45:09;06:44:43;06:44:53;06:44:37;06:45:07;06:44:55;06:44:32;06:44:38;06:45:07;06:45:26;06:44:51;06:44:59;06:44:35;06:44:38;06:45:00;06:45:31;06:44:51;06:44:56;06:45:01;06:44:42;06:45:11;06:43:59;06:44:57;06:44:32;06:44:40;06:44:30;06:44:38;06:44:12;06:44:44;06:44:57;06:45:09;06:44:10;06:44:56;06:44:52;06:44:25;06:43:28;06:44:30;06:45:01;06:44:58;06:44:02;06:45:23;06:44:27;06:45:01;06:44:53;06:44:53;06:44:42;06:45:17;06:45:23;06:45:10;06:44:15;06:44:49;06:44:34;06:44:48;06:45:18;06:44:16;06:44:50;06:44:36;06:45:48;06:45:27;06:45:06;06:45:04;06:44:21;06:44:58;06:44:20;06:45:30;06:44:47;06:44:20;06:44:18;06:44:51;06:44:44;06:45:55;06:45:08;06:44:16;06:45:12;06:44:54;06:44:57;06:44:18;06:44:59;06:44:48;06:45:40;06:45:47;06:44:38;06:45:07;06:44:22;06:44:20;06:44:30;06:45:02;06:43:46;06:44:21;06:45:11
420 - 450;7,5;1,20%;44.488;07:14:45;07:14:37;07:14:14;07:15:08;07:15:19;07:14:43;07:14:50;07:14:25;07:14:32;07:14:59;07:15:40;07:14:22;07:15:19;07:14:39;07:13:54;07:15:39;07:15:12;07:14:39;07:14:18;07:15:09;07:15:03;07:15:35;07:14:29;07:15:13;07:14:47;07:14:04;07:15:29;07:15:06;07:14:42;07:15:25;07:14:20;07:15:01;07:14:53;07:14:04;07:14:16;07:14:31;07:14:46;07:14:14;07:15:05;07:14:28;07:15:23;07:14:48;07:14:15;07:14:41;07:14:50;07:14:28;07:15:04;07:14:54;07:14:21;07:14:49;07:14:29;07:14:28;07:13:39;07:14:44;07:16:23;07:14:29;07:13:53;07:13:55;07:15:06;07:13:47;07:14:29;07:14:27;07:15:12;07:14:36;07:14:57;07:14:06;07:15:02;07:14:44;07:15:09;07:15:27;07:14:32;07:14:37;07:14:06;07:14:38;07:14:28;07:14:29;07:14:14;07:14:34;07:14:11;07:15:05;07:15:18;07:15:21;07:15:07;07:14:36;07:15:09;07:15:36;07:15:15;07:15:11;07:14:52;07:13:47;07:14:57;07:15:05
450 - 480;8;1,10%;41.980;07:44:55;07:44:51;07:44:30;07:45:35;07:44:26;07:45:01;07:44:48;07:45:42;07:44:56;07:44:03;07:45:09;07:45:21;07:45:32;07:44:18;07:44:19;07:44:18;07:45:31;07:43:30;07:45:35;07:44:55;07:45:43;07:44:42;07:45:58;07:44:12;07:45:41;07:44:37;07:44:53;07:44:37;07:45:20;07:45:02;07:44:30;07:45:25;07:46:11;07:44:56;07:44:45;07:44:33;07:44:38;07:45:01;07:45:49;07:44:19;07:45:31;07:44:44;07:44:48;07:45:14;07:45:07;07:44:53;07:45:25;07:44:27;07:44:16;07:44:50;07:43:49;07:45:11;07:44:58;07:45:20;07:43:40;07:43:55;07:44:57;07:44:49;07:45:17;07:44:45;07:45:55;07:44:35;07:45:33;07:44:42;07:44:55;07:44:53;07:45:22;07:45:00;07:44:43;07:45:04;07:44:22;07:44:34;07:45:40;07:45:30;07:44:44;07:45:50;07:44:36;07:44:54;07:44:33;07:45:29;07:44:47;07:45:14;07:44:38;07:45:10;07:44:55;07:44:16;07:44:55;07:44:59;07:45:02;07:44:01;07:45:16;07:44:35
480 - 510;8,5;1,10%;41.829;08:15:01;08:14:01;08:14:06;08:15:15;08:15:29;08:14:45;08:15:27;08:15:27;08:14:48;08:13:53;08:15:19;08:15:24;08:16:01;08:14:29;08:14:13;08:15:33;08:15:53;08:15:35;08:15:06;08:15:25;08:14:49;08:15:00;08:15:24;08:15:24;08:14:39;08:14:29;08:15:12;08:14:15;08:14:47;08:14:40;08:14:45;08:15:15;08:14:04;08:14:25;08:15:19;08:15:18;08:14:41;08:13:48;08:15:11;08:14:57;08:15:52;08:14:49;08:14:57;08:15:18;08:14:31;08:14:52;08:15:19;08:15:47;08:15:22;08:15:04;08:14:20;08:14:45;08:15:25;08:15:29;08:16:04;08:14:32;08:14:50;08:14:58;08:14:39;08:15:01;08:15:22;08:15:13;08:15:09;08:15:08;08:15:01;08:14:28;08:14:55;08:14:40;08:16:01;08:14:38;08:15:21;08:14:43;08:14:03;08:14:21;08:15:25;08:15:01;08:15:08;08:15:41;08:15:02;08:14:41;08:14:24;08:15:19;08:15:21;08:14:27;08:15:50;08:16:02;08:14:20;08:14:43;08:15:55;08:14:56;08:14:46;08:15:27
510 - 540;9;1,20%;44.827;08:44:58;08:43:54;08:44:23;08:45:33;08:45:19;08:44:45;08:45:31;08:45:07;08:44:39;08:44:07;08:45:18;08:45:09;08:45:17;08:45:02;08:45:18;08:44:34;08:45:08;08:45:02;08:45:14;08:44:33;08:45:46;08:44:54;08:45:49;08:45:20;08:45:34;08:44:40;08:45:13;08:44:32;08:44:53;08:45:09;08:44:11;08:45:08;08:44:54;08:44:39;08:44:43;08:45:25;08:43:45;08:45:06;08:44:43;08:44:57;08:45:50;08:44:59;08:45:14;08:45:56;08:44:41;08:44:16;08:44:56;08:45:03;08:45:36;08:45:12;08:43:47;08:43:46;08:45:34;08:45:32;08:44:47;08:44:03;08:44:37;08:45:09;08:44:03;08:46:22;08:45:03;08:45:28;08:45:06;08:45:31;08:44:03;08:45:11;08:43:32;08:44:46;08:45:15;08:45:32;08:44:49;08:44:54;08:44:20;08:44:33;08:45:38;08:45:34;08:44:44;08:44:47;08:45:06;08:44:15;08:45:11;08:45:31;08:44:54;08:44:49;08:45:29;08:45:27;08:44:21;08:45:07;08:45:04;08:44:42;08:45:16;08:45:07
540 - 570;9,5;1,10%;39.778;09:14:36;09:14:33;09:15:06;09:14:16;09:13:37;09:13:53;09:14:22;09:14:53;09:14:48;09:14:22;09:14:34;09:13:42;09:15:00;09:14:27;09:14:26;09:15:05;09:15:38;09:14:11;09:14:52;09:14:10;09:14:11;09:13:43;09:14:15;09:15:17;09:15:40;09:14:31;09:15:05;09:14:24;09:14:54;09:14:49;09:13:51;09:14:06;09:14:44;09:14:04;09:15:33;09:15:25;09:13:55;09:14:06;09:14:24;09:14:41;09:13:51;09:14:20;09:14:35;09:14:47;09:14:41;09:13:58;09:14:16;09:14:08;09:13:41;09:14:17;09:14:55;09:15:30;09:14:13;09:14:20;09:14:28;09:14:32;09:14:24;09:13:51;09:14:55;09:14:59;09:14:18;09:14:16;09:14:37;09:14:52;09:15:04;09:15:33;09:13:37;09:14:53;09:14:32;09:15:23;09:14:15;09:15:38;09:15:04;09:14:28;09:14:02;09:14:11;09:14:09;09:14:19;09:14:27;09:15:50;09:14:45;09:14:26;09:14:05;09:14:28;09:16:00;09:15:16;09:15:38;09:15:05;09:15:12;09:15:01;09:13:59;09:14:49
570 - 600;10;0,80%;31.155;09:44:20;09:44:22;09:43:33;09:43:44;09:44:00;09:44:27;09:43:50;09:44:09;09:44:27;09:44:07;09:43:54;09:43:41;09:44:54;09:44:45;09:44:07;09:44:33;09:45:26;09:44:06;09:45:25;09:44:00;09:44:34;09:44:25;09:44:16;09:45:30;09:43:26;09:44:28;09:44:46;09:44:32;09:44:18;09:45:04;09:43:37;09:43:31;09:44:23;09:42:57;09:43:23;09:45:24;09:45:02;09:44:17;09:43:54;09:43:46;09:44:24;09:44:57;09:44:21;09:45:36;09:44:06;09:44:15;09:44:17;09:45:57;09:44:48;09:43:31;09:44:14;09:44:09;09:42:40;09:43:57;09:43:33;09:43:28;09:44:13;09:44:44;09:45:47;09:43:43;09:42:02;09:43:49;09:44:23;09:44:50;09:44:35;09:43:33;09:44:02;09:43:45;09:43:49;09:43:56;09:44:00;09:45:22;09:42:48;09:44:14;09:43:32;09:44:49;09:44:16;09:45:00;09:44:58;09:45:17;09:45:57;09:44:22;09:44:31;09:45:47;09:44:21;09:45:09;09:45:30;09:44:37;09:43:59;09:44:34;09:44:12;09:44:08
