Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;01/Jul;02/Jul;03/Jul;04/Jul;05/Jul;06/Jul;07/Jul;08/Jul;09/Jul;10/Jul;11/Jul;12/Jul;13/Jul;14/Jul;15/Jul;16/Jul;17/Jul;18/Jul;19/Jul;20/Jul;21/Jul;22/Jul;23/Jul;24/Jul;25/Jul;26/Jul;27/Jul;28/Jul;29/Jul;30/Jul;31/Jul;01/Aug;02/Aug;03/Aug;04/Aug;05/Aug;06/Aug;07/Aug;08/Aug;09/Aug;10/Aug;11/Aug;12/Aug;13/Aug;14/Aug;15/Aug;16/Aug;17/Aug;18/Aug;19/Aug;20/Aug;21/Aug;22/Aug;23/Aug;24/Aug;25/Aug;26/Aug;27/Aug;28/Aug;29/Aug;30/Aug;31/Aug;01/Sep;02/Sep;03/Sep;04/Sep;05/Sep;06/Sep;07/Sep;08/Sep;09/Sep;10/Sep;11/Sep;12/Sep;13/Sep;14/Sep;15/Sep;16/Sep;17/Sep;18/Sep;19/Sep;20/Sep;21/Sep;22/Sep;23/Sep;24/Sep;25/Sep;26/Sep;27/Sep;28/Sep;29/Sep
300 - 330;5,5;1,90%;66.609;05:14:29;05:14:22;05:15:05;05:15:04;05:14:24;05:14:55;05:14:36;05:13:59;05:14:47;05:14:38;05:14:28;05:14:00;05:15:21;05:13:52;05:15:10;05:14:21;05:13:50;05:15:11;05:14:24;05:14:45;05:14:39;05:14:37;05:14:42;05:13:56;05:13:53;05:14:30;05:15:06;05:14:29;05:14:26;05:14:24;05:14:57;05:13:56;05:14:03;05:13:51;05:14:12;05:14:02;05:14:53;05:14:18;05:15:01;05:14:58;05:14:22;05:14:30;05:14:15;05:14:38;05:14:08;05:14:13;05:14:13;05:14:34;05:14:31;05:14:12;05:14:53;05:14:37;05:15:21;05:14:36;05:14:37;05:14:32;05:13:59;05:14:44;05:14:42;05:14:44;05:14:44;05:14:58;05:14:37;05:14:48;05:14:50;05:14:13;05:14:53;05:14:15;05:14:35;05:14:27;05:13:34;05:13:49;05:14:18;05:14:32;05:14:36;05:14:28;05:14:21;05:14:19;05:14:54;05:13:53;05:14:35;05:14:30;05:14:20;05:14:40;05:14:56;05:14:28;05:14:19;05:14:32;05:14:19;05:13:58;05:14:29;05:13:58
330 - 360;6;1,60%;58.458;05:44:37;05:44:18;05:44:25;05:44:50;05:43:39;05:44:53;05:44:19;05:44:37;05:44:39;05:45:12;05:44:06;05:44:30;05:44:41;05:44:53;05:44:32;05:44:39;05:45:49;05:44:16;05:44:41;05:44:51;05:44:08;05:44:53;05:44:16;05:45:08;05:44:28;05:44:59;05:44:29;05:44:33;05:44:50;05:44:55;05:44:21;05:44:40;05:44:38;05:44:16;05:44:23;05:44:23;05:44:34;05:44:20;05:43:50;05:44:51;05:44:44;05:44:16;05:44:41;05:44:54;05:45:03;05:44:17;05:44:17;05:45:37;05:44:41;05:44:53;05:44:27;05:44:38;05:44:33;05:44:24;05:44:00;05:44:34;05:43:24;05:44:35;05:44:04;05:45:08;05:44:55;05:44:58;05:44:40;05:44:27;05:44:44;05:44:38;05:44:39;05:44:35;05:44:35;05:44:45;05:44:54;05:44:33;05:44:21;05:44:40;05:44:49;05:44:44;05:44:22;05:44:36;05:45:24;05:45:12;05:44:26;05:44:30;05:44:40;05:44:22;05:44:47;05:44:28;05:45:13;05:44:28;05:44:23;05:44:42;05:44:47;05:44:26
360 - 390;6,5;1,40%;51.232;06:14:39;06:14:15;06:12:54;06:14:22;06:14:35;06:14:59;06:14:50;06:14:35;06:14:07;06:14:48;06:14:41;06:14:17;06:14:16;06:14:28;06:14:30;06:14:24;06:13:43;06:14:34;06:14:52;06:15:10;06:14:38;06:15:00;06:15:09;06:14:50;06:14:30;06:13:26;06:13:49;06:14:48;06:14:20;06:14:34;06:14:38;06:15:16;06:14:19;06:15:36;06:14:29;06:13:38;06:14:12;06:15:18;06:15:05;06:13:57;06:14:54;06:14:53;06:15:20;06:14:11;06:14:10;06:14:53;06:14:28;06:14:55;06:14:30;06:14:04;06:14:45;06:14:48;06:14:44;06:14:57;06:14:53;06:14:41;06:14:18;06:14:53;06:14:52;06:14:42;06:14:11;06:14:11;06:14:34;06:14:39;06:14:25;06:15:07;06:14:54;06:15:02;06:14:19;06:15:15;06:14:36;06:14:48;06:14:13;06:15:05;06:15:11;06:15:33;06:15:09;06:14:48;06:13:31;06:15:16;06:15:07;06:14:56;06:14:57;06:15:08;06:15:25;06:14:38;06:14:20;06:15:03;06:14:34;06:14:37;06:15:04;06:15:12
390 - 420;7;1,30%;47.326;06:44:48;06:44:47;06:45:08;06:44:23;06:44:54;06:44:09;06:45:08;06:45:12;06:44:33;06:44:28;06:45:03;06:44:35;06:44:32;06:45:15;06:44:55;06:44:16;06:45:03;06:45:00;06:45:02;06:44:47;06:45:18;06:44:19;06:45:00;06:44:44;06:45:19;06:44:09;06:44:23;06:44:34;06:45:21;06:44:21;06:43:47;06:44:43;06:44:34;06:44:42;06:44:42;06:44:21;06:45:20;06:44:28;06:45:24;06:45:24;06:44:52;06:44:19;06:44:18;06:45:27;06:44:39;06:44:45;06:44:34;06:44:22;06:44:32;06:44:38;06:45:38;06:45:07;06:45:34;06:45:09;06:45:17;06:44:39;06:44:43;06:45:23;06:44:59;06:45:30;06:44:12;06:45:34;06:44:10;06:44:38;06:44:20;06:44:49;06:44:34;06:44:04;06:45:32;06:44:41;06:44:56;06:44:01;06:45:17;06:44:49;06:44:58;06:45:23;06:44:53;06:44:47;06:45:24;06:45:06;06:44:53;06:43:57;06:45:12;06:44:54;06:44:31;06:44:13;06:45:40;06:45:09;06:45:01;06:44:32;06:44:18;06:44:03
420 - 450;7,5;1,20%;43.133;07:14:44;07:14:59;07:15:01;07:14:45;07:14:41;07:15:32;07:14:45;07:15:14;07:14:29;07:14:01;07:14:45;07:14:40;07:14:30;07:15:01;07:14:31;07:14:58;07:14:32;07:14:58;07:15:09;07:15:25;07:14:39;07:14:44;07:14:26;07:14:51;07:15:06;07:14:47;07:14:57;07:14:53;07:14:09;07:14:03;07:14:11;07:14:55;07:15:10;07:14:27;07:14:46;07:14:23;07:14:48;07:13:59;07:14:29;07:15:15;07:15:14;07:16:09;07:14:37;07:14:28;07:14:31;07:14:35;07:15:03;07:14:39;07:15:41;07:14:04;07:15:08;07:13:44;07:14:34;07:14:48;07:14:57;07:14:38;07:14:59;07:14:49;07:14:06;07:14:48;07:14:45;07:14:53;07:14:32;07:15:20;07:14:34;07:14:20;07:14:05;07:14:38;07:15:30;07:14:21;07:14:24;07:14:08;07:15:20;07:14:44;07:14:50;07:13:57;07:14:37;07:14:41;07:14:16;07:14:47;07:14:23;07:14:40;07:15:32;07:14:42;07:14:35;07:14:26;07:14:37;07:15:07;07:15:16;07:14:22;07:14:29;07:15:05
450 - 480;8;1,10%;40.843;07:44:51;07:44:45;07:44:10;07:45:44;07:44:54;07:44:52;07:45:11;07:45:35;07:44:17;07:44:45;07:45:07;07:45:21;07:44:37;07:44:57;07:44:01;07:44:57;07:45:13;07:44:43;07:45:14;07:44:45;07:45:35;07:45:30;07:45:12;07:44:23;07:45:40;07:45:28;07:45:06;07:45:00;07:44:45;07:44:43;07:44:18;07:44:22;07:45:02;07:44:22;07:45:25;07:44:42;07:44:16;07:45:18;07:43:52;07:44:48;07:44:29;07:45:01;07:44:40;07:44:45;07:44:19;07:45:23;07:45:13;07:44:20;07:45:33;07:45:07;07:45:21;07:45:06;07:44:26;07:44:21;07:44:55;07:45:15;07:44:25;07:45:13;07:43:45;07:44:42;07:45:05;07:44:23;07:44:51;07:45:04;07:44:16;07:44:42;07:45:05;07:44:57;07:45:06;07:45:02;07:44:19;07:44:23;07:44:22;07:44:57;07:43:47;07:44:43;07:44:26;07:44:40;07:43:59;07:45:03;07:45:08;07:46:22;07:45:35;07:44:31;07:44:52;07:45:08;07:45:02;07:45:02;07:44:45;07:44:59;07:44:25;07:45:03
480 - 510;8,5;1,20%;41.779;08:15:12;08:14:31;08:13:39;08:14:45;08:16:13;08:15:05;08:15:15;08:15:36;08:15:20;08:15:31;08:15:16;08:15:42;08:15:37;08:15:41;08:15:14;08:15:46;08:15:03;08:14:26;08:15:51;08:15:10;08:15:22;08:16:05;08:14:24;08:16:06;08:15:43;08:15:14;08:15:37;08:15:17;08:15:22;08:15:53;08:15:18;08:15:21;08:14:54;08:15:26;08:15:31;08:14:20;08:14:54;08:14:36;08:14:57;08:14:16;08:15:15;08:15:33;08:14:26;08:14:39;08:15:36;08:14:30;08:15:34;08:15:20;08:15:04;08:15:16;08:15:32;08:14:58;08:15:33;08:15:30;08:15:30;08:15:16;08:15:01;08:15:45;08:13:14;08:14:56;08:15:40;08:15:42;08:14:30;08:15:38;08:14:28;08:14:50;08:15:21;08:14:36;08:15:07;08:14:52;08:15:11;08:14:52;08:15:20;08:15:14;08:15:16;08:16:28;08:14:33;08:14:53;08:15:12;08:15:05;08:16:04;08:15:27;08:14:40;08:14:58;08:15:18;08:15:02;08:15:32;08:15:49;08:14:36;08:15:03;08:15:26;08:15:06
510 - 540;9;1,20%;44.591;08:44:59;08:45:19;08:42:44;08:44:51;08:44:19;08:45:07;08:45:15;08:45:25;08:44:46;08:45:14;08:45:42;08:45:17;08:45:18;08:45:04;08:44:36;08:44:18;08:45:19;08:45:22;08:44:42;08:45:56;08:44:26;08:44:44;08:44:48;08:45:45;08:45:00;08:44:51;08:44:53;08:45:55;08:44:24;08:43:43;08:45:26;08:44:35;08:45:09;08:45:00;08:44:23;08:45:20;08:44:34;08:45:10;08:44:51;08:45:34;08:44:55;08:44:38;08:45:05;08:45:42;08:44:04;08:44:30;08:45:23;08:45:27;08:45:07;08:44:41;08:45:29;08:44:20;08:44:52;08:45:21;08:43:45;08:45:16;08:45:27;08:44:56;08:44:00;08:45:25;08:44:44;08:45:13;08:45:24;08:45:11;08:45:03;08:44:57;08:45:24;08:45:04;08:46:00;08:44:36;08:45:05;08:44:01;08:45:17;08:44:22;08:45:18;08:45:09;08:45:41;08:45:24;08:43:52;08:44:28;08:44:52;08:45:07;08:45:46;08:44:54;08:44:44;08:44:14;08:46:03;08:45:28;08:45:04;08:44:27;08:45:33;08:44:57
540 - 570;9,5;1,10%;39.066;09:14:26;09:15:20;09:12:55;09:14:05;09:14:11;09:15:10;09:14:33;09:15:12;09:14:17;09:14:43;09:14:30;09:14:40;09:14:44;09:14:14;09:14:15;09:14:25;09:15:03;09:14:05;09:13:53;09:14:17;09:13:32;09:14:27;09:14:55;09:13:46;09:14:21;09:14:26;09:14:10;09:15:02;09:14:34;09:14:58;09:14:51;09:15:13;09:13:53;09:14:16;09:14:44;09:14:01;09:14:45;09:14:08;09:13:21;09:14:37;09:14:31;09:14:35;09:14:35;09:14:50;09:14:22;09:13:45;09:14:17;09:15:08;09:14:15;09:13:49;09:13:43;09:14:38;09:14:19;09:14:33;09:14:39;09:15:06;09:14:29;09:14:53;09:12:53;09:13:49;09:14:21;09:13:40;09:14:44;09:15:04;09:14:33;09:15:21;09:14:22;09:14:20;09:14:01;09:14:35;09:14:27;09:16:20;09:15:28;09:14:41;09:14:40;09:13:37;09:14:08;09:14:33;09:14:05;09:13:00;09:14:16;09:15:12;09:14:19;09:13:44;09:15:05;09:14:40;09:14:48;09:14:31;09:14:31;09:14:09;09:14:07;09:14:42
570 - 600;10;0,90%;30.575;09:44:28;09:44:51;09:44:25;09:44:11;09:44:11;09:44:34;09:45:05;09:44:47;09:44:59;09:44:55;09:45:03;09:44:21;09:44:30;09:45:15;09:45:09;09:44:34;09:45:19;09:44:32;09:43:26;09:44:10;09:44:47;09:44:52;09:46:31;09:44:44;09:44:06;09:44:01;09:44:44;09:44:04;09:44:45;09:45:04;09:44:13;09:43:38;09:44:01;09:44:44;09:44:09;09:44:32;09:45:41;09:43:56;09:43:43;09:43:05;09:44:53;09:44:10;09:43:47;09:44:46;09:44:41;09:44:37;09:44:12;09:44:18;09:44:22;09:44:11;09:44:09;09:44:41;09:44:03;09:44:04;09:44:39;09:43:46;09:44:40;09:45:04;09:45:04;09:44:47;09:44:00;09:43:26;09:44:54;09:44:04;09:45:18;09:45:28;09:44:31;09:44:24;09:44:23;09:44:39;09:43:34;09:45:54;09:46:05;09:43:48;09:43:39;09:44:13;09:44:43;09:44:40;09:45:19;09:44:48;09:43:51;09:44:19;09:44:46;09:43:35;09:44:47;09:43:44;09:43:14;09:43:57;09:43:45;09:44:26;09:44:24;09:43:55
