Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;01/Jul;02/Jul;03/Jul;04/Jul;05/Jul;06/Jul;07/Jul;08/Jul;09/Jul;10/Jul;11/Jul;12/Jul;13/Jul;14/Jul;15/Jul;16/Jul;17/Jul;18/Jul;19/Jul;20/Jul;21/Jul;22/Jul;23/Jul;24/Jul;25/Jul;26/Jul;27/Jul;28/Jul;29/Jul;30/Jul;31/Jul;01/Aug;02/Aug;03/Aug;04/Aug;05/Aug;06/Aug;07/Aug;08/Aug;09/Aug;10/Aug;11/Aug;12/Aug;13/Aug;14/Aug;15/Aug;16/Aug;17/Aug;18/Aug;19/Aug;20/Aug;21/Aug;22/Aug;23/Aug;24/Aug;25/Aug;26/Aug;27/Aug;28/Aug;29/Aug;30/Aug;31/Aug;01/Sep;02/Sep;03/Sep;04/Sep;05/Sep;06/Sep;07/Sep;08/Sep;09/Sep;10/Sep;11/Sep;12/Sep;13/Sep;14/Sep;15/Sep;16/Sep;17/Sep;18/Sep;19/Sep;20/Sep;21/Sep;22/Sep;23/Sep;24/Sep;25/Sep;26/Sep;27/Sep;28/Sep;29/Sep
600 - 630;10,5;0,70%;24.649;10:14:28;10:14:21;10:13:59;10:14:24;10:13:57;10:14:07;10:15:15;10:14:33;10:14:47;10:15:25;10:14:00;10:14:23;10:13:47;10:14:45;10:14:02;10:14:47;10:15:20;10:14:52;10:14:29;10:15:02;10:13:20;10:15:27;10:14:38;10:14:13;10:13:09;10:14:27;10:14:11;10:13:50;10:13:45;10:14:44;10:14:19;10:13:32;10:13:30;10:14:16;10:13:45;10:14:50;10:14:49;10:15:17;10:13:32;10:14:19;10:14:44;10:15:04;10:14:42;10:16:12;10:14:49;10:14:34;10:13:42;10:13:10;10:15:25;10:13:52;10:14:49;10:14:26;10:14:44;10:13:45;10:15:28;10:14:00;10:15:15;10:14:43;10:15:55;10:14:05;10:14:56;10:13:26;10:14:18;10:14:48;10:14:55;10:15:23;10:14:15;10:14:52;10:15:05;10:14:09;10:13:34;10:15:35;10:16:36;10:13:18;10:13:17;10:14:03;10:14:39;10:15:30;10:14:50;10:14:56;10:13:15;10:13:50;10:14:44;10:14:43;10:14:40;10:14:14;10:13:52;10:14:50;10:12:51;10:14:03;10:14:08;10:15:32
630 - 660;11;0,60%;20.223;10:44:37;10:44:35;10:43:36;10:44:10;10:44:08;10:44:02;10:45:04;10:44:45;10:43:32;10:44:05;10:44:40;10:43:06;10:44:28;10:44:27;10:43:30;10:45:00;10:43:20;10:44:33;10:45:23;10:45:39;10:45:07;10:44:35;10:45:51;10:44:44;10:44:39;10:46:13;10:44:06;10:44:09;10:44:46;10:45:01;10:44:52;10:44:09;10:44:42;10:44:08;10:43:39;10:44:38;10:45:18;10:45:12;10:44:11;10:45:45;10:44:27;10:44:24;10:44:34;10:45:38;10:44:07;10:44:21;10:44:09;10:43:32;10:44:50;10:43:39;10:45:05;10:45:02;10:43:53;10:44:28;10:45:57;10:44:17;10:44:17;10:45:18;10:45:24;10:44:53;10:44:03;10:45:19;10:44:47;10:45:08;10:44:12;10:45:07;10:44:10;10:45:34;10:44:23;10:44:38;10:44:39;10:44:56;10:43:45;10:44:24;10:45:15;10:44:30;10:45:45;10:43:55;10:45:29;10:44:39;10:44:00;10:43:54;10:45:32;10:44:53;10:44:47;10:44:30;10:44:43;10:43:50;10:45:47;10:43:37;10:45:23;10:43:48
660 - 690;11,5;0,50%;16.755;11:14:29;11:14:22;11:13:58;11:14:21;11:14:13;11:15:46;11:14:21;11:14:43;11:12:19;11:14:55;11:14:58;11:14:23;11:13:43;11:16:00;11:15:09;11:14:38;11:13:36;11:15:22;11:14:58;11:12:58;11:13:16;11:13:27;11:15:11;11:15:31;11:14:07;11:13:47;11:14:29;11:14:50;11:14:47;11:14:16;11:14:34;11:14:44;11:15:11;11:14:17;11:14:53;11:13:36;11:12:56;11:16:24;11:14:04;11:14:07;11:14:56;11:13:42;11:14:48;11:15:24;11:14:54;11:14:24;11:14:58;11:15:33;11:16:14;11:14:35;11:13:35;11:15:10;11:15:08;11:15:54;11:15:44;11:15:07;11:15:10;11:12:23;11:14:15;11:14:57;11:15:07;11:13:38;11:14:35;11:14:20;11:15:15;11:13:11;11:13:51;11:13:30;11:11:56;11:14:33;11:15:25;11:14:44;11:14:10;11:14:23;11:13:01;11:15:09;11:14:46;11:14:01;11:15:43;11:16:52;11:13:03;11:12:51;11:14:42;11:14:03;11:14:22;11:14:00;11:15:11;11:14:32;11:13:41;11:13:48;11:16:28;11:13:36
690 - 720;12;0,40%;14.195;11:44:46;11:44:37;11:45:05;11:44:58;11:45:30;11:45:08;11:44:43;11:45:00;11:44:12;11:44:47;11:45:09;11:42:52;11:43:52;11:44:10;11:45:03;11:44:45;11:44:28;11:43:55;11:44:46;11:44:31;11:45:33;11:44:19;11:43:54;11:44:12;11:44:46;11:44:18;11:44:11;11:44:42;11:43:57;11:44:11;11:44:40;11:44:17;11:45:15;11:45:31;11:44:29;11:44:39;11:44:19;11:46:07;11:44:24;11:45:57;11:43:26;11:43:29;11:45:18;11:43:14;11:44:59;11:43:39;11:46:16;11:44:35;11:44:28;11:45:44;11:45:28;11:47:11;11:44:29;11:45:22;11:44:05;11:43:16;11:45:03;11:42:58;11:43:37;11:44:33;11:44:29;11:44:43;11:44:26;11:44:17;11:44:52;11:46:07;11:44:24;11:46:40;11:46:03;11:45:13;11:45:07;11:44:39;11:43:49;11:44:10;11:44:38;11:44:17;11:44:47;11:45:03;11:45:08;11:46:24;11:44:11;11:45:43;11:45:21;11:45:00;11:45:57;11:44:57;11:44:15;11:45:01;11:44:57;11:45:42;11:45:42;11:45:54
720 - 750;12,5;0,30%;12.410;12:14:20;12:13:49;12:13:56;12:14:55;12:13:47;12:15:36;12:14:27;12:12:41;12:15:08;12:14:26;12:14:45;12:12:42;12:14:30;12:14:29;12:14:56;12:15:18;12:14:51;12:15:47;12:13:23;12:15:19;12:13:56;12:15:04;12:15:43;12:12:41;12:16:51;12:14:56;12:14:05;12:15:20;12:13:55;12:14:27;12:15:27;12:14:29;12:14:27;12:12:56;12:12:03;12:14:57;12:14:41;12:14:05;12:13:25;12:13:15;12:13:26;12:13:47;12:14:05;12:15:32;12:14:57;12:13:02;12:14:47;12:15:03;12:13:04;12:13:52;12:15:01;12:14:34;12:14:22;12:14:34;12:15:42;12:15:03;12:15:49;12:13:02;12:13:46;12:15:37;12:15:33;12:14:21;12:14:48;12:14:56;12:14:27;12:14:56;12:13:34;12:16:36;12:13:46;12:14:23;12:15:16;12:12:59;12:13:12;12:12:39;12:12:48;12:14:33;12:13:53;12:13:52;12:13:18;12:12:49;12:13:49;12:14:12;12:15:28;12:14:55;12:14:34;12:14:15;12:15:39;12:13:40;12:14:34;12:12:58;12:13:04;12:14:27
750 - 780;13;0,30%;10.604;12:44:42;12:44:21;12:46:18;12:44:16;12:46:21;12:44:53;12:43:20;12:44:27;12:46:10;12:46:28;12:45:01;12:43:32;12:44:34;12:44:37;12:43:42;12:44:38;12:46:40;12:43:13;12:45:13;12:43:04;12:44:04;12:44:33;12:45:39;12:43:33;12:43:59;12:45:29;12:45:43;12:44:45;12:44:09;12:45:15;12:44:46;12:45:06;12:43:22;12:43:43;12:45:27;12:44:37;12:45:14;12:46:29;12:45:31;12:43:16;12:44:21;12:42:36;12:45:22;12:45:31;12:44:59;12:44:06;12:46:40;12:44:57;12:45:40;12:44:26;12:44:27;12:43:25;12:44:58;12:45:26;12:43:29;12:44:08;12:44:52;12:45:12;12:44:49;12:44:38;12:44:42;12:44:15;12:45:10;12:44:11;12:45:11;12:42:34;12:44:36;12:45:08;12:44:10;12:45:10;12:45:44;12:44:58;12:45:43;12:43:54;12:43:01;12:43:37;12:46:20;12:44:50;12:44:19;12:43:24;12:44:56;12:44:56;12:43:56;12:45:31;12:45:12;12:44:27;12:44:32;12:42:50;12:44:16;12:45:39;12:45:33;12:44:50
780 - 810;13,5;0,30%;9.406;13:14:29;13:13:56;13:14:40;13:13:58;13:14:45;13:15:19;13:15:29;13:15:42;13:15:58;13:11:27;13:13:11;13:15:33;13:15:24;13:15:03;13:17:38;13:14:31;13:12:42;13:15:12;13:15:57;13:15:29;13:15:11;13:14:55;13:14:26;13:12:33;13:14:00;13:13:01;13:14:06;13:12:30;13:14:55;13:13:42;13:15:24;13:14:50;13:14:19;13:14:15;13:12:50;13:15:11;13:14:53;13:13:47;13:15:58;13:15:57;13:14:12;13:15:58;13:13:43;13:13:00;13:14:04;13:13:59;13:13:54;13:17:36;13:13:26;13:14:46;13:13:55;13:12:23;13:14:04;13:15:20;13:15:24;13:13:46;13:13:33;13:16:08;13:15:03;13:13:20;13:15:17;13:14:14;13:14:30;13:14:55;13:15:00;13:16:01;13:14:44;13:14:18;13:13:50;13:13:50;13:14:59;13:13:24;13:14:48;13:14:12;13:16:06;13:13:29;13:14:07;13:13:56;13:14:54;13:13:15;13:15:42;13:13:21;13:13:33;13:15:01;13:14:53;13:14:13;13:14:34;13:13:34;13:13:22;13:14:32;13:14:06;13:14:55
810 - 840;14;0,20%;8.013;13:44:39;13:43:40;13:43:31;13:43:03;13:44:15;13:44:45;13:45:02;13:45:18;13:45:16;13:43:58;13:45:35;13:45:58;13:46:00;13:45:38;13:44:02;13:46:57;13:44:57;13:44:51;13:44:35;13:44:13;13:43:38;13:45:07;13:45:06;13:47:20;13:43:16;13:42:24;13:45:38;13:45:03;13:44:18;13:45:34;13:44:16;13:45:12;13:43:38;13:43:42;13:43:25;13:44:49;13:43:02;13:43:45;13:43:02;13:46:07;13:41:25;13:45:14;13:44:23;13:42:00;13:43:11;13:44:52;13:45:02;13:45:37;13:44:07;13:44:39;13:46:30;13:46:47;13:43:37;13:43:17;13:44:12;13:44:43;13:44:21;13:43:27;13:44:53;13:43:04;13:44:48;13:46:20;13:45:04;13:43:36;13:44:24;13:46:15;13:42:31;13:45:59;13:45:08;13:45:57;13:44:07;13:45:02;13:43:43;13:47:37;13:44:59;13:44:35;13:45:29;13:44:51;13:43:53;13:47:12;13:43:21;13:43:06;13:45:16;13:45:11;13:44:20;13:45:45;13:47:33;13:44:18;13:45:57;13:44:18;13:44:56;13:42:32
840 - 870;14,5;0,20%;7.068;14:14:41;14:15:40;14:14:21;14:14:06;14:15:05;14:15:16;14:14:15;14:13:32;14:13:38;14:16:48;14:12:55;14:15:01;14:13:21;14:14:46;14:17:47;14:15:53;14:18:23;14:15:51;14:15:49;14:13:52;14:13:52;14:11:59;14:14:51;14:12:34;14:15:14;14:15:14;14:13:54;14:14:39;14:13:43;14:14:16;14:14:06;14:14:46;14:13:45;14:15:44;14:14:08;14:14:40;14:12:01;14:14:03;14:15:12;14:16:06;14:16:21;14:12:54;14:14:19;14:15:32;14:16:50;14:14:55;14:13:30;14:16:16;14:13:41;14:15:57;14:12:06;14:14:17;14:16:45;14:14:45;14:14:17;14:15:32;14:13:38;14:14:37;14:13:01;14:14:24;14:14:01;14:16:04;14:14:04;14:13:57;14:14:32;14:11:44;14:15:38;14:14:45;14:14:15;14:15:34;14:14:19;14:15:02;14:16:58;14:14:10;14:16:21;14:13:06;14:12:54;14:14:22;14:15:27;14:14:51;14:14:37;14:15:03;14:14:24;14:14:15;14:16:18;14:15:40;14:14:56;14:15:50;14:15:36;14:13:56;14:13:26;14:14:45
870 - 900;15;0,20%;6.313;14:44:28;14:44:00;14:39:50;14:44:45;14:45:02;14:44:09;14:44:33;14:46:43;14:44:58;14:38:52;14:43:17;14:43:02;14:45:35;14:45:47;14:43:58;14:44:56;14:46:11;14:45:28;14:41:46;14:42:47;14:43:12;14:44:16;14:44:24;14:45:50;14:45:21;14:46:36;14:43:16;14:44:02;14:44:23;14:46:02;14:44:22;14:43:50;14:43:29;14:44:58;14:44:57;14:44:24;14:44:49;14:43:44;14:43:56;14:43:05;14:45:17;14:44:14;14:44:52;14:43:02;14:47:38;14:45:42;14:43:46;14:46:40;14:45:07;14:44:33;14:42:47;14:45:16;14:46:10;14:42:13;14:45:29;14:43:57;14:44:32;14:45:46;14:41:08;14:47:03;14:45:35;14:45:50;14:44:33;14:44:27;14:45:09;14:43:54;14:46:07;14:43:12;14:46:03;14:44:40;14:47:48;14:43:40;14:43:50;14:43:09;14:43:31;14:45:41;14:46:26;14:45:28;14:43:09;14:45:06;14:44:28;14:42:50;14:45:19;14:44:49;14:43:40;14:43:18;14:44:10;14:44:22;14:42:37;14:44:26;14:44:06;14:44:36
900 - 930;15,5;0,20%;5.975;15:14:11;15:13:10;15:13:54;15:14:27;15:15:20;15:13:48;15:13:59;15:12:53;15:13:12;15:15:40;15:13:23;15:14:13;15:14:14;15:12:34;15:16:29;15:12:39;15:13:17;15:14:13;15:14:33;15:14:49;15:12:25;15:14:27;15:14:11;15:12:24;15:13:46;15:12:54;15:13:11;15:14:53;15:16:09;15:14:07;15:14:26;15:15:12;15:15:20;15:15:52;15:14:57;15:13:52;15:15:25;15:13:47;15:16:19;15:16:44;15:14:44;15:11:27;15:15:49;15:14:15;15:17:27;15:15:36;15:16:16;15:13:45;15:14:05;15:13:48;15:13:08;15:14:37;15:13:51;15:14:38;15:10:46;15:13:59;15:13:19;15:13:51;15:15:08;15:16:03;15:13:01;15:13:09;15:12:28;15:14:48;15:14:38;15:14:18;15:12:09;15:12:36;15:13:40;15:15:06;15:15:26;15:16:15;15:13:35;15:16:27;15:12:58;15:12:11;15:13:57;15:15:18;15:15:02;15:14:24;15:14:09;15:16:06;15:13:27;15:13:18;15:13:44;15:13:27;15:14:05;15:13:02;15:12:58;15:13:00;15:11:50;15:16:19
930 - 960;16;0,20%;5.383;15:44:30;15:46:41;15:46:09;15:43:21;15:44:17;15:45:04;15:45:21;15:44:32;15:45:25;15:44:11;15:48:13;15:40:58;15:40:22;15:42:53;15:45:50;15:48:22;15:43:06;15:44:52;15:44:58;15:43:27;15:42:10;15:45:05;15:47:07;15:47:19;15:44:37;15:41:22;15:45:44;15:46:09;15:44:53;15:45:40;15:44:28;15:46:54;15:44:21;15:43:33;15:43:38;15:45:26;15:45:53;15:44:49;15:45:45;15:43:32;15:46:28;15:43:02;15:45:00;15:44:47;15:44:02;15:43:36;15:43:38;15:45:50;15:42:20;15:44:04;15:42:45;15:42:47;15:45:55;15:45:21;15:43:48;15:42:15;15:43:56;15:45:51;15:42:56;15:46:07;15:45:10;15:41:06;15:42:18;15:49:21;15:42:47;15:45:00;15:43:52;15:45:56;15:41:16;15:44:31;15:47:32;15:44:05;15:43:50;15:41:13;15:44:28;15:46:05;15:43:07;15:46:58;15:43:34;15:45:58;15:44:01;15:44:24;15:45:03;15:43:34;15:43:28;15:45:15;15:44:02;15:44:19;15:42:59;15:42:35;15:44:51;15:45:12
960 - 990;16,5;0,10%;4.166;16:14:08;16:13:17;16:17:25;16:13:28;16:15:19;16:13:25;16:14:52;16:11:49;16:13:31;16:17:25;16:15:34;16:11:21;16:13:48;16:12:33;16:11:34;16:14:52;16:15:56;16:12:52;16:13:45;16:14:29;16:14:07;16:13:01;16:16:15;16:16:40;16:12:29;16:12:41;16:12:58;16:11:12;16:12:31;16:15:17;16:12:07;16:11:53;16:13:09;16:13:19;16:11:20;16:18:11;16:12:56;16:16:05;16:15:10;16:12:36;16:14:01;16:14:54;16:13:32;16:14:44;16:15:48;16:14:40;16:13:02;16:16:08;16:12:06;16:14:21;16:15:23;16:16:29;16:13:33;16:15:03;16:14:59;16:13:16;16:13:56;16:13:41;16:15:00;16:15:55;16:13:38;16:15:04;16:13:27;16:13:43;16:16:02;16:18:42;16:12:48;16:12:23;16:14:57;16:09:18;16:14:48;16:14:40;16:17:40;16:15:27;16:16:55;16:12:41;16:14:40;16:15:44;16:15:01;16:16:38;16:16:25;16:15:24;16:12:58;16:14:21;16:12:00;16:10:28;16:13:04;16:13:01;16:12:38;16:10:57;16:15:01;16:13:31
990 - 1020;17;0,10%;3.661;16:44:30;16:46:21;16:42:08;16:45:33;16:48:13;16:44:36;16:45:36;16:44:38;16:43:07;16:44:58;16:42:14;16:43:38;16:44:48;16:42:30;16:44:26;16:44:26;16:43:03;16:43:02;16:41:40;16:44:57;16:42:59;16:44:46;16:42:16;16:49:41;16:47:03;16:41:41;16:44:28;16:43:26;16:44:26;16:44:53;16:44:38;16:43:41;16:47:57;16:42:16;16:44:34;16:41:53;16:46:25;16:47:36;16:43:16;16:45:17;16:43:33;16:46:47;16:45:25;16:47:14;16:46:59;16:45:42;16:45:30;16:45:15;16:47:36;16:44:38;16:44:15;16:43:11;16:45:55;16:44:26;16:43:55;16:44:18;16:47:29;16:42:53;16:48:38;16:42:58;16:41:45;16:44:22;16:43:15;16:44:21;16:45:09;16:41:03;16:42:24;16:43:29;16:47:42;16:43:11;16:46:16;16:46:06;16:45:47;16:44:52;16:44:10;16:45:51;16:43:44;16:43:39;16:43:35;16:41:59;16:42:17;16:42:19;16:44:01;16:42:58;16:43:20;16:45:11;16:43:31;16:45:25;16:45:38;16:43:24;16:46:46;16:42:53
1020 - 1050;17,5;0,10%;3.203;17:14:47;17:15:07;17:12:46;17:17:34;17:16:15;17:12:37;17:16:14;17:14:38;17:15:07;17:18:43;17:13:50;17:10:56;17:14:19;17:15:35;17:13:00;17:17:47;17:10:31;17:13:08;17:17:54;17:12:27;17:13:49;17:15:48;17:12:41;17:14:12;17:16:08;17:14:10;17:15:51;17:07:31;17:14:49;17:16:07;17:15:09;17:11:40;17:23:17;17:19:01;17:17:59;17:17:59;17:17:23;17:12:15;17:15:37;17:16:52;17:16:52;17:17:11;17:12:14;17:11:09;17:17:18;17:11:32;17:18:16;17:13:04;17:13:31;17:16:46;17:13:59;17:11:39;17:13:28;17:18:21;17:15:44;17:12:37;17:14:51;17:15:45;17:14:56;17:12:27;17:14:30;17:14:06;17:18:27;17:16:08;17:14:25;17:16:14;17:14:31;17:15:58;17:14:02;17:17:33;17:16:02;17:13:46;17:10:14;17:10:41;17:15:29;17:12:34;17:14:40;17:13:18;17:17:37;17:13:00;17:07:29;17:13:46;17:17:45;17:13:58;17:12:44;17:12:07;17:18:28;17:10:30;17:16:41;17:17:00;17:16:09;17:16:49
1050 - 1080;18;0,10%;2.777;17:44:20;17:48:22;17:40:16;17:46:53;17:42:49;17:44:16;17:46:52;17:46:47;17:44:02;17:45:11;17:44:02;17:43:10;17:50:47;17:43:04;17:46:46;17:40:37;17:45:51;17:40:16;17:42:16;17:57:12;17:45:30;17:41:22;17:48:20;17:47:06;17:43:47;17:36:53;17:47:28;17:45:21;17:41:01;17:44:19;17:46:00;17:40:36;17:42:34;17:46:43;17:47:23;17:43:49;17:44:18;17:41:58;17:41:31;17:47:46;17:44:19;17:42:24;17:45:11;17:47:25;17:40:45;17:39:15;17:46:02;17:44:26;17:45:13;17:43:47;17:46:26;17:46:37;17:45:10;17:46:54;17:43:50;17:43:39;17:45:11;17:41:23;17:47:11;17:39:47;17:46:57;17:44:01;17:48:49;17:43:51;17:41:13;17:41:07;17:47:32;17:48:43;17:42:20;17:46:08;17:43:19;17:44:10;17:46:11;17:33:45;17:43:15;17:40:10;17:41:13;17:44:19;17:47:18;17:39:50;17:41:48;17:42:33;17:43:49;17:42:36;17:44:31;17:46:33;17:41:51;17:46:48;17:48:29;17:44:53;17:43:16;17:45:37
1080 - 1110;18,5;0,10%;2.478;18:13:48;18:11:32;18:09:16;18:12:37;18:10:49;18:14:20;18:15:37;18:15:38;18:18:38;18:14:13;18:16:10;18:15:31;18:12:13;18:09:53;18:15:54;18:11:41;18:12:50;18:17:30;18:14:06;18:14:39;18:13:40;18:13:21;18:08:46;18:14:20;18:14:01;18:20:10;18:12:06;18:11:10;18:12:36;18:14:42;18:11:58;18:12:47;18:14:16;18:12:22;18:14:39;18:13:08;18:20:18;18:13:24;18:11:07;18:14:17;18:10:12;18:12:30;18:17:47;18:10:20;18:23:02;18:18:42;18:08:25;18:15:12;18:15:40;18:14:30;18:14:46;18:13:19;18:11:19;18:13:46;18:15:31;18:07:53;18:15:34;18:16:33;18:17:50;18:05:54;18:07:08;18:13:36;18:16:52;18:11:10;18:13:07;18:12:13;18:16:28;18:13:18;18:15:53;18:13:35;18:13:19;18:14:23;18:14:51;18:09:54;18:14:36;18:12:47;18:17:56;18:15:02;18:13:42;18:12:09;18:18:16;18:17:47;18:14:05;18:11:28;18:14:08;18:14:07;18:11:42;18:16:40;18:12:14;18:11:22;18:13:16;18:13:47
1110 - 1140;19;0,10%;2.205;18:43:55;18:44:07;18:46:43;18:45:34;18:38:12;18:42:29;18:48:36;18:41:18;18:44:57;18:48:36;18:36:03;18:39:16;18:44:54;18:44:23;18:41:06;18:44:10;18:41:09;18:46:15;18:43:58;18:43:02;18:43:58;18:49:21;18:43:08;18:41:27;18:41:42;18:44:47;18:45:25;18:49:32;18:41:24;18:46:05;18:46:08;18:49:12;18:38:16;18:47:19;18:46:36;18:46:11;18:45:08;18:41:26;18:47:06;18:45:33;18:44:22;18:45:24;18:42:34;18:40:48;18:46:42;18:45:51;18:45:34;18:43:36;18:35:19;18:42:40;18:51:03;18:45:17;18:43:08;18:42:28;18:45:06;18:43:16;18:48:02;18:41:45;18:42:14;18:42:41;18:42:28;18:42:35;18:47:19;18:41:58;18:45:21;18:44:07;18:45:50;18:39:41;18:46:12;18:42:58;18:36:47;18:42:33;18:45:38;18:41:38;18:43:24;18:44:56;18:39:09;18:45:41;18:47:39;18:39:56;18:42:31;18:42:55;18:46:47;18:45:44;18:41:53;18:46:03;18:43:47;18:42:52;18:43:13;18:46:37;18:42:10;18:42:56
1140 - 1170;19,5;0,10%;2.003;19:15:04;19:19:40;19:14:37;19:22:55;19:16:30;19:14:41;19:14:58;19:14:46;19:15:08;19:15:23;19:15:59;19:11:57;19:07:41;19:14:57;19:14:34;19:13:19;19:12:26;19:12:42;19:16:01;19:11:16;19:15:33;19:14:01;19:14:34;19:17:04;19:12:46;19:17:00;19:16:44;19:11:00;19:12:21;19:15:44;19:14:46;19:06:07;19:21:39;19:18:45;19:17:09;19:12:13;19:12:54;19:12:33;19:16:55;19:09:47;19:16:56;19:24:43;19:10:46;19:18:04;19:09:40;19:14:52;19:20:23;19:15:47;19:17:39;19:17:00;19:12:36;19:09:25;19:13:15;19:06:16;19:09:51;19:15:31;19:17:53;19:16:42;19:14:57;19:08:58;19:19:57;19:14:44;19:17:46;19:13:55;19:17:08;19:21:21;19:16:47;19:13:02;19:14:47;19:14:11;19:17:21;19:12:16;19:12:40;19:12:33;19:14:10;19:15:57;19:12:12;19:16:23;19:15:53;19:13:38;19:26:02;19:20:23;19:17:14;19:16:02;19:22:02;19:11:54;19:16:35;19:13:50;19:17:56;19:15:57;19:11:50;19:14:23
1170 - 1200;20;0,10%;1.863;19:45:13;19:49:20;19:47:17;19:42:37;19:42:52;19:44:51;19:42:03;19:43:34;19:42:13;19:49:28;19:55:48;19:45:04;19:42:14;19:45:15;19:45:44;19:45:49;19:47:36;19:43:44;19:51:23;19:42:58;19:42:40;19:44:56;19:39:20;19:45:56;19:43:34;19:43:47;19:48:20;19:49:56;19:42:07;19:47:17;19:45:52;19:41:54;19:47:50;19:43:44;19:47:43;19:42:50;19:47:11;19:43:24;19:44:18;19:36:42;19:44:45;19:43:33;19:41:23;19:53:25;19:53:03;19:48:03;19:46:14;19:47:26;19:45:02;19:49:52;19:43:21;19:44:52;19:42:32;19:42:02;19:47:12;19:44:49;19:44:17;19:44:35;19:45:06;19:39:53;19:50:40;19:42:18;19:46:23;19:40:59;19:44:57;19:45:54;19:45:42;19:52:31;19:50:35;19:41:36;19:45:50;19:47:00;19:45:31;19:33:28;19:42:02;19:44:49;19:46:08;19:45:55;19:44:36;19:46:06;19:39:31;19:45:56;19:45:40;19:41:04;19:44:08;19:47:19;19:48:11;19:46:12;19:47:04;19:43:53;19:47:05;19:45:44
1200 - 1230;20,5;0,00%;1.782;20:14:10;20:10:45;20:10:39;20:10:52;20:09:48;20:17:51;20:13:58;20:08:53;20:14:32;20:14:08;20:11:23;20:19:42;20:17:05;20:12:45;20:15:54;20:16:42;20:10:42;20:20:01;20:22:09;20:09:21;20:17:44;20:11:20;20:13:22;20:11:23;20:14:37;20:12:12;20:09:52;20:09:42;20:09:59;20:13:14;20:14:37;20:11:37;20:14:19;20:14:53;20:13:20;20:13:56;20:16:07;20:17:44;20:09:07;20:09:10;20:09:42;20:16:14;20:14:12;20:17:46;20:13:36;20:09:03;20:13:05;20:10:28;20:18:21;20:15:56;20:13:52;20:16:11;20:15:06;20:14:10;20:09:35;20:14:52;20:14:31;20:12:58;20:15:55;20:15:06;20:22:56;20:20:40;20:16:03;20:17:04;20:14:00;20:14:06;20:09:30;20:18:18;20:21:58;20:21:51;20:11:36;20:17:26;20:09:14;20:14:18;20:11:39;20:07:31;20:10:22;20:17:07;20:19:00;20:15:46;20:17:54;20:13:08;20:15:49;20:13:40;20:18:26;20:15:14;20:09:31;20:14:44;20:09:09;20:18:07;20:12:11;20:14:11
1230 - 1260;21;0,00%;1.454;20:45:01;20:46:37;20:41:19;20:40:22;20:52:21;20:41:50;20:42:29;20:43:59;20:42:55;20:43:00;20:46:00;20:41:44;20:53:17;20:41:47;20:46:28;20:46:35;20:46:39;20:47:07;20:54:49;20:41:24;20:43:16;20:47:44;20:52:49;20:46:25;20:43:53;20:45:12;20:45:06;20:46:10;20:46:23;20:45:34;20:43:09;20:46:54;20:49:29;20:30:47;20:41:24;20:47:50;20:48:16;20:41:02;20:47:11;20:44:08;20:40:02;20:44:12;20:41:58;20:49:15;20:50:48;20:48:40;20:51:44;20:47:51;20:47:46;20:39:00;20:49:07;20:42:49;20:39:02;20:44:22;20:49:51;20:42:30;20:42:18;20:41:20;20:49:32;20:43:43;20:42:02;20:40:11;20:44:12;20:45:46;20:47:03;20:43:52;20:48:49;20:45:36;20:39:12;20:43:22;20:41:27;20:47:27;20:46:43;20:42:27;20:46:21;20:45:46;20:39:41;20:38:35;20:45:54;20:42:40;20:42:56;20:47:49;20:41:58;20:38:16;20:50:00;20:47:06;20:58:33;20:46:57;20:46:33;20:41:22;20:44:51;20:44:02
1260 - 1290;21,5;0,00%;1.593;21:15:10;21:13:57;21:20:36;21:12:05;21:25:08;21:14:05;21:12:24;21:14:51;21:15:56;21:11:57;21:11:05;21:17:01;21:20:36;21:12:26;21:15:36;21:15:18;21:09:46;21:05:50;21:16:19;21:15:45;21:09:52;21:17:35;21:11:04;21:17:06;21:15:56;21:13:05;21:15:47;21:15:02;21:10:11;21:17:45;21:19:23;21:15:06;21:15:20;21:16:38;21:14:31;21:17:31;21:13:20;21:14:04;21:12:20;21:19:02;21:12:54;21:15:35;21:15:28;21:10:33;21:10:48;21:12:37;21:12:47;21:21:24;21:13:11;21:11:35;21:10:57;21:08:44;21:15:50;21:15:27;21:18:38;21:13:29;21:14:20;21:14:48;21:16:16;21:10:52;21:14:46;21:10:36;21:23:05;21:16:18;21:11:54;21:23:43;21:12:31;21:11:22;21:13:11;21:24:37;21:17:31;21:21:18;21:17:17;21:14:28;21:14:57;21:23:22;21:18:42;21:15:29;21:14:58;21:18:30;21:09:57;21:14:53;21:17:31;21:15:24;21:17:37;21:14:20;21:13:58;21:14:59;21:25:30;21:12:02;21:13:07;21:14:50
