Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;28/Dec;29/Dec;30/Dec;31/Dec;01/Jan;02/Jan;03/Jan;04/Jan;05/Jan;06/Jan;07/Jan;08/Jan;09/Jan;10/Jan;11/Jan;12/Jan;13/Jan;14/Jan;15/Jan;16/Jan;17/Jan;18/Jan;19/Jan;20/Jan;21/Jan;22/Jan;23/Jan;24/Jan;25/Jan;26/Jan;27/Jan;28/Jan;29/Jan;30/Jan;31/Jan;01/Feb;02/Feb;03/Feb;04/Feb;05/Feb;06/Feb;07/Feb;08/Feb;09/Feb;10/Feb;11/Feb;12/Feb;13/Feb;14/Feb;15/Feb;16/Feb;17/Feb;18/Feb;19/Feb;20/Feb;21/Feb;22/Feb;23/Feb;24/Feb;25/Feb;26/Feb;27/Feb;28/Feb;01/Mar;02/Mar;03/Mar;04/Mar;05/Mar;06/Mar;07/Mar;08/Mar;09/Mar;10/Mar;11/Mar;12/Mar;13/Mar;14/Mar;15/Mar;16/Mar;17/Mar;18/Mar;19/Mar;20/Mar;21/Mar;22/Mar;23/Mar;24/Mar;25/Mar;26/Mar;27/Mar;28/Mar;29/Mar;30/Mar;31/Mar
600 - 630;10,5;0,70%;23.546;10:14:28;10:14:23;10:14:04;10:14:35;10:15:14;10:13:35;10:15:13;10:14:02;10:14:49;10:14:13;10:14:10;10:16:05;10:14:01;10:13:46;10:14:17;10:14:38;10:13:51;10:13:30;10:13:49;10:16:22;10:14:16;10:15:55;10:15:11;10:14:06;10:14:19;10:15:28;10:13:14;10:14:47;10:15:17;10:15:23;10:14:23;10:14:24;10:14:37;10:14:50;10:15:23;10:13:52;10:14:23;10:14:31;10:14:30;10:14:40;10:14:47;10:15:58;10:14:02;10:15:15;10:14:42;10:13:31;10:13:51;10:14:34;10:14:04;10:14:00;10:14:16;10:13:49;10:14:35;10:14:43;10:15:10;10:14:13;10:13:12;10:14:12;10:14:25;10:14:26;10:14:07;10:12:24;10:14:37;10:13:42;10:14:05;10:14:32;10:13:33;10:14:52;10:13:51;10:14:11;10:13:48;10:14:33;10:15:16;10:14:32;10:13:37;10:14:48;10:13:53;10:14:02;10:14:07;10:15:15;10:15:34;10:14:37;10:16:07;10:14:17;10:13:15;10:13:20;10:14:50;10:15:10;10:14:21;10:14:49;10:14:56;10:14:27;10:14:39;10:14:58;10:15:29
630 - 660;11;0,50%;18.805;10:44:30;10:45:15;10:45:05;10:45:14;10:44:09;10:46:02;10:42:48;10:45:11;10:43:34;10:43:27;10:43:20;10:45:02;10:42:37;10:44:31;10:44:39;10:45:19;10:45:07;10:44:43;10:46:37;10:45:44;10:43:04;10:43:46;10:44:45;10:44:05;10:45:16;10:44:37;10:42:44;10:45:22;10:43:47;10:44:28;10:44:36;10:44:30;10:44:50;10:43:47;10:44:53;10:44:56;10:45:09;10:44:19;10:43:50;10:45:27;10:45:56;10:43:39;10:44:33;10:43:50;10:45:23;10:45:49;10:44:02;10:43:23;10:44:33;10:44:34;10:45:05;10:44:43;10:44:00;10:46:37;10:43:48;10:45:54;10:44:42;10:44:19;10:44:51;10:45:03;10:44:12;10:43:53;10:47:09;10:44:54;10:44:02;10:43:47;10:43:09;10:45:22;10:44:40;10:44:31;10:45:20;10:43:38;10:44:34;10:44:06;10:44:36;10:44:05;10:44:00;10:43:43;10:43:42;10:44:03;10:43:36;10:44:50;10:42:48;10:43:28;10:45:17;10:44:02;10:44:05;10:44:17;10:44:49;10:45:43;10:45:31;10:43:29;10:45:00;10:43:32;10:44:09
660 - 690;11,5;0,50%;15.825;11:14:27;11:13:55;11:14:36;11:14:24;11:14:47;11:15:05;11:14:29;11:13:44;11:14:58;11:15:01;11:14:18;11:14:29;11:15:56;11:13:22;11:13:59;11:14:14;11:13:38;11:14:31;11:13:52;11:13:55;11:14:17;11:13:43;11:15:32;11:14:03;11:14:56;11:15:08;11:14:49;11:14:09;11:14:25;11:14:57;11:14:35;11:14:31;11:15:40;11:13:06;11:12:54;11:14:33;11:14:57;11:14:00;11:14:44;11:14:12;11:12:44;11:14:28;11:14:55;11:14:53;11:15:39;11:13:16;11:13:25;11:12:21;11:14:35;11:13:19;11:14:23;11:13:29;11:14:16;11:14:20;11:16:32;11:15:11;11:14:57;11:15:25;11:14:59;11:12:52;11:14:20;11:15:11;11:15:47;11:14:11;11:14:50;11:15:08;11:15:14;11:14:26;11:17:30;11:12:55;11:13:42;11:14:00;11:13:47;11:13:17;11:14:05;11:14:36;11:14:08;11:15:15;11:15:12;11:14:24;11:13:54;11:13:35;11:15:02;11:15:01;11:14:43;11:16:12;11:14:33;11:13:08;11:14:42;11:13:44;11:14:29;11:13:22;11:13:53;11:15:26;11:15:39
690 - 720;12;0,40%;13.442;11:44:47;11:46:58;11:45:03;11:44:16;11:44:41;11:45:27;11:44:29;11:46:08;11:43:05;11:45:23;11:46:04;11:44:48;11:46:22;11:44:12;11:43:34;11:43:21;11:43:56;11:43:25;11:44:49;11:47:15;11:42:06;11:44:21;11:44:37;11:44:15;11:46:14;11:44:57;11:44:20;11:46:14;11:43:34;11:44:25;11:45:14;11:45:33;11:43:08;11:45:06;11:45:06;11:45:24;11:44:49;11:46:11;11:43:58;11:44:18;11:44:56;11:42:39;11:44:54;11:45:06;11:46:03;11:44:32;11:46:30;11:43:49;11:46:09;11:44:27;11:46:10;11:44:50;11:44:41;11:44:56;11:44:15;11:44:18;11:44:52;11:45:50;11:44:10;11:44:18;11:44:26;11:45:43;11:44:28;11:43:29;11:46:00;11:44:48;11:46:10;11:44:27;11:45:52;11:44:26;11:43:16;11:45:12;11:45:29;11:43:39;11:44:27;11:45:24;11:41:28;11:44:44;11:45:51;11:43:31;11:44:45;11:44:01;11:42:41;11:44:37;11:45:26;11:46:09;11:45:46;11:44:36;11:45:17;11:45:33;11:45:32;11:44:46;11:45:20;11:43:55;11:44:37
720 - 750;12,5;0,30%;11.570;12:14:33;12:12:57;12:14:10;12:14:36;12:14:05;12:14:56;12:13:25;12:11:19;12:16:04;12:14:57;12:13:47;12:14:34;12:15:31;12:13:13;12:14:32;12:14:48;12:13:41;12:13:15;12:15:25;12:13:24;12:15:20;12:13:57;12:13:55;12:13:45;12:14:35;12:12:34;12:14:46;12:15:06;12:15:11;12:14:18;12:16:22;12:14:20;12:14:41;12:12:57;12:14:16;12:14:43;12:12:55;12:16:35;12:15:10;12:14:01;12:15:32;12:13:25;12:13:35;12:14:16;12:15:34;12:13:45;12:14:17;12:12:57;12:15:40;12:15:02;12:14:03;12:14:02;12:15:11;12:14:34;12:15:52;12:15:15;12:14:06;12:14:14;12:14:05;12:13:33;12:15:30;12:16:33;12:15:25;12:14:55;12:15:33;12:14:32;12:14:41;12:13:34;12:15:23;12:12:31;12:15:44;12:14:50;12:16:21;12:16:16;12:15:17;12:16:22;12:15:28;12:16:04;12:16:07;12:12:46;12:14:53;12:13:50;12:14:45;12:12:39;12:14:51;12:14:39;12:14:18;12:16:05;12:15:27;12:14:56;12:12:41;12:14:29;12:14:12;12:14:41;12:14:30
750 - 780;13;0,30%;10.149;12:44:38;12:44:42;12:44:24;12:44:54;12:45:02;12:43:07;12:46:47;12:44:00;12:43:29;12:43:55;12:44:40;12:45:14;12:45:07;12:45:09;12:43:22;12:44:04;12:43:50;12:42:28;12:43:12;12:46:28;12:43:52;12:46:06;12:44:35;12:45:21;12:45:39;12:45:46;12:47:40;12:44:26;12:44:37;12:44:48;12:44:30;12:44:11;12:46:05;12:43:53;12:44:30;12:45:11;12:45:34;12:43:07;12:47:07;12:43:47;12:45:00;12:45:15;12:44:45;12:44:28;12:44:45;12:44:51;12:45:05;12:43:43;12:46:19;12:46:22;12:44:03;12:45:44;12:44:44;12:42:34;12:44:22;12:42:19;12:42:58;12:43:09;12:43:45;12:44:50;12:43:29;12:44:53;12:45:53;12:44:08;12:44:11;12:45:58;12:44:39;12:45:44;12:44:02;12:44:59;12:43:43;12:44:52;12:43:48;12:45:06;12:44:24;12:45:43;12:44:35;12:45:12;12:44:15;12:45:00;12:44:39;12:45:12;12:44:48;12:43:19;12:44:21;12:44:19;12:46:31;12:44:27;12:43:43;12:44:55;12:45:33;12:42:52;12:44:32;12:43:34;12:44:34
780 - 810;13,5;0,30%;8.858;13:14:27;13:14:22;13:14:33;13:15:25;13:15:42;13:13:06;13:14:12;13:14:21;13:14:02;13:13:23;13:13:30;13:14:11;13:12:10;13:13:54;13:14:58;13:13:25;13:12:40;13:14:40;13:12:27;13:15:16;13:17:56;13:13:01;13:14:34;13:16:11;13:15:01;13:13:52;13:15:41;13:13:13;13:14:53;13:15:41;13:16:48;13:15:00;13:14:14;13:16:01;13:14:44;13:13:35;13:13:12;13:16:57;13:14:26;13:12:13;13:11:24;13:13:33;13:15:19;13:15:31;13:16:36;13:14:12;13:14:44;13:14:47;13:14:50;13:15:33;13:13:34;13:14:06;13:15:46;13:14:06;13:15:17;13:14:06;13:13:33;13:14:13;13:14:27;13:14:16;13:16:25;13:13:43;13:15:26;13:14:10;13:13:06;13:15:00;13:13:43;13:14:02;13:14:03;13:15:12;13:13:35;13:14:41;13:17:01;13:13:41;13:13:52;13:11:07;13:11:45;13:12:23;13:15:12;13:13:25;13:14:07;13:15:55;13:13:38;13:14:59;13:15:44;13:15:11;13:14:05;13:14:03;13:15:29;13:14:40;13:15:33;13:14:57;13:15:04;13:15:52;13:14:15
810 - 840;14;0,20%;7.307;13:44:43;13:42:58;13:44:17;13:44:15;13:45:15;13:45:21;13:43:39;13:43:46;13:41:51;13:44:36;13:42:20;13:45:03;13:45:21;13:47:04;13:47:11;13:43:03;13:45:27;13:45:30;13:42:56;13:45:34;13:45:18;13:44:49;13:42:56;13:46:38;13:45:09;13:45:39;13:44:35;13:44:31;13:44:10;13:45:56;13:45:55;13:44:05;13:46:00;13:43:33;13:45:40;13:46:17;13:45:20;13:45:07;13:44:39;13:44:59;13:43:41;13:42:40;13:44:12;13:44:40;13:45:09;13:44:14;13:44:01;13:42:02;13:43:33;13:42:46;13:47:09;13:44:40;13:45:37;13:45:10;13:48:37;13:48:54;13:44:06;13:45:46;13:46:37;13:45:56;13:45:11;13:42:35;13:45:23;13:44:33;13:44:53;13:43:19;13:43:53;13:46:44;13:44:21;13:45:02;13:43:54;13:44:27;13:45:11;13:42:52;13:43:53;13:43:09;13:45:01;13:44:23;13:43:50;13:44:56;13:44:37;13:44:45;13:42:40;13:42:09;13:46:13;13:44:25;13:46:31;13:45:38;13:45:04;13:42:00;13:45:53;13:44:59;13:45:13;13:45:10;13:44:45
840 - 870;14,5;0,20%;6.464;14:14:21;14:15:24;14:13:37;14:14:58;14:13:10;14:12:39;14:14:33;14:13:25;14:12:56;14:10:55;14:15:48;14:16:23;14:14:43;14:12:22;14:11:40;14:15:26;14:16:44;14:15:40;14:13:37;14:12:53;14:13:25;14:17:14;14:11:56;14:13:58;14:14:30;14:12:20;14:13:24;14:14:22;14:14:41;14:14:17;14:17:39;14:12:43;14:12:00;14:12:52;14:15:27;14:15:44;14:13:54;14:12:02;14:12:40;14:14:48;14:17:17;14:14:49;14:13:26;14:11:34;14:12:49;14:14:47;14:12:57;14:12:51;14:15:16;14:17:11;14:13:17;14:16:03;14:14:24;14:14:13;14:15:25;14:14:43;14:14:39;14:15:46;14:12:29;14:13:29;14:15:34;14:11:41;14:18:19;14:15:03;14:14:55;14:15:18;14:15:27;14:13:42;14:16:09;14:15:47;14:16:16;14:16:34;14:14:31;14:15:17;14:13:57;14:13:24;14:11:59;14:13:07;14:13:55;14:13:39;14:15:44;14:14:13;14:13:56;14:15:13;14:14:05;14:14:48;14:13:04;14:14:44;14:15:35;14:15:19;14:13:36;14:15:21;14:15:17;14:14:47;14:13:45
870 - 900;15;0,20%;5.414;14:44:28;14:42:25;14:44:14;14:43:45;14:46:33;14:42:48;14:43:27;14:42:31;14:46:22;14:46:26;14:46:42;14:45:17;14:46:29;14:41:08;14:43:50;14:41:58;14:42:51;14:44:22;14:42:25;14:44:47;14:41:25;14:46:40;14:45:12;14:46:00;14:43:55;14:45:47;14:45:12;14:44:28;14:42:55;14:41:46;14:45:11;14:46:10;14:45:32;14:45:43;14:42:37;14:45:10;14:43:54;14:42:35;14:43:29;14:43:28;14:44:10;14:45:28;14:45:09;14:45:18;14:41:48;14:44:55;14:46:04;14:43:54;14:44:23;14:42:45;14:46:22;14:44:57;14:42:57;14:46:01;14:46:26;14:39:50;14:46:52;14:44:48;14:42:52;14:45:13;14:47:19;14:40:37;14:44:52;14:47:11;14:44:00;14:45:00;14:44:14;14:46:09;14:43:40;14:45:43;14:42:34;14:44:37;14:41:00;14:45:50;14:44:36;14:43:50;14:45:18;14:47:17;14:45:10;14:44:04;14:43:47;14:44:31;14:47:18;14:46:05;14:43:05;14:44:20;14:44:01;14:42:25;14:46:50;14:43:42;14:46:19;14:45:04;14:43:54;14:43:06;14:46:14
900 - 930;15,5;0,10%;4.765;15:14:36;15:11:54;15:15:19;15:15:10;15:14:08;15:12:11;15:13:14;15:17:20;15:16:28;15:13:20;15:13:08;15:14:43;15:13:36;15:14:17;15:14:02;15:13:10;15:15:11;15:12:47;15:14:36;15:13:40;15:11:15;15:17:46;15:12:57;15:14:42;15:14:23;15:13:33;15:16:03;15:16:17;15:15:25;15:16:44;15:14:34;15:15:46;15:15:23;15:15:33;15:13:42;15:15:00;15:14:01;15:15:01;15:14:32;15:15:10;15:15:30;15:16:59;15:15:08;15:15:36;15:13:35;15:13:27;15:15:07;15:14:47;15:12:20;15:14:00;15:13:02;15:14:02;15:13:25;15:14:24;15:15:04;15:14:32;15:16:16;15:10:48;15:16:33;15:15:08;15:14:07;15:17:56;15:15:00;15:12:25;15:11:18;15:16:12;15:14:55;15:13:20;15:15:43;15:14:02;15:13:57;15:14:58;15:14:36;15:12:40;15:16:14;15:15:38;15:15:49;15:13:08;15:15:24;15:13:33;15:12:05;15:14:44;15:18:26;15:15:58;15:15:06;15:15:51;15:13:16;15:17:12;15:14:45;15:16:07;15:12:39;15:14:48;15:14:54;15:14:47;15:15:25
930 - 960;16;0,10%;3.669;15:44:30;15:44:27;15:44:47;15:45:00;15:45:13;15:44:01;15:43:51;15:42:50;15:42:08;15:45:15;15:47:18;15:43:03;15:46:57;15:44:59;15:45:34;15:44:49;15:46:04;15:44:15;15:43:24;15:47:24;15:48:13;15:43:56;15:46:24;15:42:18;15:43:42;15:45:19;15:43:51;15:43:09;15:42:24;15:43:42;15:43:17;15:44:15;15:43:58;15:42:37;15:45:47;15:41:11;15:47:17;15:43:52;15:42:36;15:43:34;15:44:59;15:45:05;15:43:17;15:43:21;15:41:27;15:45:57;15:44:23;15:44:03;15:43:13;15:43:53;15:41:23;15:41:23;15:46:07;15:43:33;15:47:44;15:44:08;15:42:54;15:41:19;15:46:06;15:41:46;15:44:30;15:43:54;15:45:07;15:43:16;15:44:43;15:46:07;15:44:58;15:46:12;15:44:25;15:46:45;15:48:02;15:44:58;15:47:20;15:45:46;15:43:55;15:48:43;15:40:34;15:47:04;15:41:50;15:44:41;15:46:22;15:43:30;15:44:50;15:40:06;15:43:47;15:43:49;15:43:28;15:47:08;15:44:47;15:47:31;15:43:05;15:46:53;15:44:05;15:46:04;15:45:31
960 - 990;16,5;0,10%;3.222;16:14:46;16:13:17;16:17:42;16:15:26;16:13:55;16:16:32;16:15:13;16:13:28;16:17:15;16:20:01;16:16:29;16:13:51;16:10:58;16:11:02;16:12:17;16:14:35;16:17:58;16:15:56;16:14:53;16:14:27;16:17:26;16:12:11;16:10:55;16:15:31;16:15:41;16:16:33;16:15:51;16:10:43;16:12:40;16:14:42;16:17:08;16:14:55;16:14:06;16:17:02;16:12:32;16:15:44;16:16:07;16:17:28;16:14:02;16:14:53;16:14:16;16:12:20;16:14:21;16:16:19;16:13:30;16:17:47;16:14:54;16:15:06;16:09:47;16:10:46;16:17:58;16:15:13;16:16:02;16:15:58;16:15:50;16:12:05;16:13:19;16:12:41;16:12:27;16:16:13;16:13:19;16:13:07;16:16:45;16:18:32;16:11:09;16:14:35;16:11:57;16:14:56;16:17:36;16:15:00;16:14:03;16:19:21;16:16:53;16:16:25;16:12:07;16:13:01;16:18:47;16:14:52;16:14:43;16:16:31;16:15:29;16:14:05;16:14:38;16:14:08;16:13:07;16:14:34;16:12:17;16:13:30;16:14:13;16:16:47;16:16:18;16:14:24;16:11:52;16:17:26;16:14:02
990 - 1020;17;0,10%;2.602;16:44:22;16:44:28;16:44:17;16:45:46;16:43:54;16:49:06;16:44:08;16:43:46;16:40:00;16:41:32;16:41:47;16:42:42;16:48:00;16:41:22;16:46:48;16:42:16;16:44:51;16:42:31;16:46:09;16:43:05;16:51:29;16:47:35;16:41:18;16:48:50;16:46:44;16:44:13;16:43:51;16:43:21;16:45:28;16:45:57;16:44:42;16:44:33;16:45:46;16:42:46;16:45:47;16:45:24;16:44:40;16:43:55;16:42:47;16:46:18;16:44:17;16:44:20;16:43:36;16:42:59;16:45:23;16:43:00;16:45:17;16:46:02;16:39:16;16:44:33;16:41:50;16:45:33;16:43:11;16:44:44;16:41:45;16:49:12;16:43:02;16:43:51;16:44:11;16:44:40;16:46:11;16:42:16;16:44:11;16:44:21;16:44:44;16:47:56;16:41:54;16:46:41;16:46:56;16:46:36;16:42:16;16:42:59;16:42:21;16:45:36;16:42:59;16:42:34;16:48:56;16:42:48;16:44:43;16:45:53;16:41:47;16:39:13;16:41:11;16:45:14;16:41:29;16:42:20;16:42:57;16:46:12;16:44:47;16:47:15;16:42:34;16:43:32;16:45:22;16:46:41;16:44:18
1020 - 1050;17,5;0,10%;2.093;17:15:01;17:15:10;17:16:18;17:15:27;17:16:29;17:16:01;17:12:44;17:19:34;17:11:54;17:12:40;17:14:35;17:11:15;17:13:05;17:16:39;17:19:04;17:13:32;17:16:17;17:13:09;17:18:24;17:16:06;17:10:39;17:13:34;17:15:58;17:17:54;17:19:53;17:11:23;17:18:21;17:16:38;17:12:59;17:15:32;17:15:40;17:13:06;17:14:09;17:16:30;17:11:58;17:17:38;17:15:31;17:10:50;17:15:17;17:16:39;17:19:22;17:12:35;17:10:07;17:10:54;17:10:56;17:17:35;17:16:44;17:01:29;17:14:27;17:16:39;17:13:26;17:18:15;17:16:20;17:13:50;17:15:32;17:01:12;17:15:47;17:16:44;17:12:29;17:20:05;17:15:01;17:11:18;17:12:40;17:06:53;17:17:34;17:16:28;17:13:34;17:18:32;17:20:26;17:16:04;17:20:15;17:18:15;17:12:19;17:17:53;17:13:04;17:19:38;17:16:38;17:09:06;17:17:06;17:18:50;17:14:42;17:18:06;17:13:39;17:17:31;17:16:21;17:18:36;17:16:03;17:16:28;17:13:10;17:18:28;17:16:55;17:11:44;17:17:10;17:11:58;17:16:12
1050 - 1080;18;0,10%;1.853;17:44:55;17:42:27;17:48:49;17:45:09;17:44:36;17:47:22;17:45:36;17:50:05;17:42:12;17:46:40;17:47:57;17:41:08;17:44:13;17:46:40;17:49:34;17:49:42;17:42:52;17:44:16;17:40:06;17:45:19;17:42:54;17:44:44;17:36:25;17:41:42;17:44:08;17:48:31;17:45:46;17:44:20;17:44:32;17:47:14;17:46:30;17:47:16;17:46:18;17:50:12;17:49:33;17:49:44;17:51:26;17:44:28;17:42:28;17:44:51;17:42:19;17:41:17;17:47:28;17:35:50;17:47:10;17:44:41;17:49:06;17:45:33;17:45:26;17:45:20;17:42:21;17:46:22;17:42:54;17:43:50;17:45:37;17:46:42;17:42:25;17:45:16;17:46:46;17:46:25;17:43:37;17:47:47;17:47:21;17:48:35;17:44:48;17:42:03;17:43:56;17:41:21;17:46:02;17:43:02;17:43:03;17:43:20;17:41:38;17:46:04;17:42:55;17:40:16;17:45:36;17:46:06;17:49:06;17:42:30;17:46:45;17:44:37;17:41:04;17:44:58;17:40:50;17:44:16;17:42:22;17:45:46;17:47:44;17:44:33;17:41:28;17:46:18;17:44:42;17:44:05;17:43:14
1080 - 1110;18,5;0,00%;1.687;18:14:19;18:15:06;18:14:06;18:15:41;18:15:09;18:16:27;18:16:35;18:09:41;18:16:51;18:10:54;18:18:42;18:18:31;18:11:09;18:11:10;18:22:54;18:15:42;18:13:22;18:12:55;18:16:41;18:10:30;18:27:32;18:12:32;18:08:51;18:12:54;18:09:22;18:11:05;18:13:50;18:09:58;18:17:01;18:09:08;18:15:37;18:12:45;18:13:45;18:20:10;18:05:34;18:16:02;18:14:39;18:15:50;18:15:27;18:16:50;18:16:52;18:10:14;18:10:40;18:16:27;18:17:20;18:17:53;18:17:53;18:19:55;18:13:55;18:08:24;18:18:38;18:16:46;18:09:39;18:15:30;18:18:27;18:16:38;18:16:29;18:11:17;18:20:00;18:13:29;18:15:09;18:19:12;18:07:23;18:15:55;18:07:08;18:20:34;18:14:43;18:16:14;18:11:34;18:19:42;18:08:54;18:14:49;18:11:30;18:13:18;18:13:56;18:08:32;18:13:45;18:11:54;18:14:34;18:14:32;18:15:13;18:10:26;18:13:34;18:10:54;18:13:23;18:13:14;18:14:53;18:13:37;18:14:54;18:16:03;18:11:55;18:16:32;18:15:16;18:12:38;18:12:38
1110 - 1140;19;0,00%;1.607;18:44:36;18:41:38;18:42:33;18:45:45;18:43:27;18:44:42;18:45:53;18:42:59;18:44:19;18:45:57;18:41:51;18:45:04;18:36:57;18:45:46;18:44:42;18:45:45;18:48:04;18:46:48;18:43:59;18:48:01;18:42:17;18:46:13;18:44:54;18:43:44;18:45:26;18:43:45;18:42:40;18:42:16;18:47:15;18:45:33;18:37:42;18:39:31;18:47:50;18:44:22;18:51:10;18:51:53;18:41:08;18:47:14;18:44:48;18:43:22;18:53:21;18:41:12;18:52:23;18:41:22;18:42:27;18:43:34;18:42:22;18:44:30;18:48:41;18:49:10;18:43:44;18:43:13;18:46:54;18:38:57;18:45:27;18:50:23;18:40:24;18:43:42;18:42:55;18:47:01;18:46:12;18:45:04;18:42:18;18:41:56;18:43:05;18:47:31;18:43:23;18:42:50;18:39:52;18:44:29;18:42:55;18:50:15;18:37:44;18:46:47;18:42:48;18:39:47;18:48:31;18:42:58;18:45:52;18:41:16;18:45:56;18:46:59;18:48:50;18:43:35;18:40:21;18:44:26;18:42:56;18:44:27;18:42:53;18:42:49;18:47:19;18:49:16;18:46:47;18:46:00;18:45:05
1140 - 1170;19,5;0,00%;1.583;19:14:14;19:10:59;19:13:48;19:12:09;19:13:46;19:15:23;19:17:24;19:14:34;19:14:04;19:08:56;19:14:03;19:14:03;19:17:07;19:16:09;19:16:28;19:06:20;19:11:30;19:12:09;19:20:46;19:18:38;19:11:13;19:12:41;19:17:17;19:11:35;19:14:54;19:14:28;19:17:27;19:19:32;19:19:26;19:10:03;19:15:11;19:08:48;19:18:24;19:12:48;19:14:32;19:14:21;19:17:32;19:09:25;19:13:47;19:17:18;19:13:08;19:10:58;19:14:40;19:14:10;19:16:45;19:12:51;19:14:51;19:16:18;19:10:22;19:10:06;19:17:27;19:13:11;19:14:46;19:14:28;19:15:26;19:07:22;19:12:20;19:10:23;19:14:05;19:17:06;19:14:32;19:08:18;19:15:19;19:15:04;19:09:46;19:15:32;19:14:57;19:14:22;19:14:32;19:12:51;19:23:41;19:08:32;19:17:06;19:15:12;19:15:45;19:13:48;19:14:59;19:12:35;19:12:38;19:15:18;19:13:17;19:17:24;19:12:12;19:19:03;19:14:21;19:13:20;19:16:18;19:13:43;19:12:43;19:15:41;19:13:17;19:13:16;19:14:40;19:16:55;19:17:06
1170 - 1200;20;0,00%;1.530;19:45:17;19:40:22;19:43:50;19:45:55;19:45:23;19:47:47;19:41:11;19:46:30;19:42:17;19:47:35;19:48:52;19:46:15;19:39:01;19:48:06;19:48:31;19:45:41;19:39:25;19:40:56;19:45:04;19:54:08;19:41:26;19:47:32;19:43:39;19:35:52;19:44:04;19:45:14;19:46:09;19:44:33;19:52:16;19:46:33;19:44:55;19:44:22;19:46:40;19:46:28;19:45:13;19:45:32;19:47:53;19:49:05;19:42:56;19:40:32;19:44:09;19:43:10;19:46:24;19:52:32;19:48:14;19:42:09;19:47:14;19:40:43;19:48:11;19:39:46;19:54:22;19:46:45;19:44:51;19:53:39;19:55:06;19:39:53;19:43:36;19:46:32;19:48:44;19:43:53;19:48:07;19:41:35;19:45:24;19:43:29;19:41:38;19:45:27;19:43:53;19:43:52;19:50:28;19:46:34;19:46:32;19:44:14;19:49:22;19:46:56;19:40:30;19:46:19;19:46:25;19:46:02;19:44:36;19:41:58;19:45:23;19:42:35;19:42:54;19:48:31;19:44:41;19:46:32;19:41:21;19:43:43;19:41:04;19:43:15;19:40:43;19:44:55;19:45:33;19:47:25;19:46:33
1200 - 1230;20,5;0,00%;1.519;20:14:19;20:12:21;20:14:25;20:10:34;20:14:18;20:17:37;20:15:26;20:15:02;20:11:06;20:04:31;20:15:25;20:15:09;20:15:07;20:13:12;20:12:21;20:16:08;20:17:35;20:13:45;20:21:15;20:06:11;20:11:13;20:15:30;20:14:27;20:15:52;20:16:26;20:18:23;20:19:40;20:12:35;20:09:27;20:09:18;20:10:47;20:10:19;20:15:06;20:15:42;20:12:04;20:11:59;20:19:40;20:15:39;20:11:35;20:11:49;20:18:20;20:17:15;20:15:25;20:11:10;20:18:33;20:12:20;20:14:16;20:16:30;20:11:30;20:02:59;20:16:51;20:11:23;20:11:30;20:16:13;20:20:55;20:17:42;20:12:50;20:10:27;20:11:23;20:14:02;20:17:29;20:14:26;20:10:13;20:13:17;20:18:48;20:19:26;20:14:44;20:14:55;20:16:33;20:17:01;20:17:48;20:10:25;20:10:35;20:14:16;20:13:52;20:16:18;20:18:04;20:12:13;20:16:24;20:15:09;20:11:31;20:18:09;20:11:45;20:14:29;20:17:37;20:18:34;20:10:06;20:15:15;20:18:14;20:14:53;20:15:03;20:19:39;20:11:27;20:13:24;20:13:36
1230 - 1260;21;0,00%;1.398;20:44:20;20:43:45;20:46:03;20:43:04;20:44:36;20:49:59;20:41:27;20:43:15;20:40:49;20:42:59;20:45:53;20:45:05;20:44:54;20:42:22;20:42:30;20:48:59;20:47:13;20:43:13;20:45:02;20:45:46;20:44:10;20:39:13;20:39:25;20:38:29;20:42:42;20:41:00;20:49:26;20:48:16;20:48:58;20:50:00;20:46:27;20:38:56;20:48:34;20:43:49;20:47:28;20:43:15;20:46:38;20:41:59;20:44:00;20:43:14;20:47:26;20:35:49;20:39:37;20:44:45;20:51:54;20:45:27;20:43:27;20:46:49;20:50:54;20:41:37;20:49:05;20:46:33;20:41:26;20:47:59;20:48:44;20:45:10;20:42:52;20:39:19;20:40:49;20:35:54;20:45:55;20:40:00;20:44:00;20:48:34;20:44:07;20:45:55;20:39:26;20:45:29;20:46:20;20:41:20;20:46:08;20:39:57;20:41:05;20:50:33;20:48:02;20:40:58;20:35:07;20:41:44;20:45:44;20:45:30;20:44:37;20:48:59;20:46:16;20:42:22;20:46:40;20:41:58;20:45:50;20:41:50;20:43:59;20:48:27;20:46:22;20:42:02;20:44:11;20:44:19;20:44:38
