Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;28/Dec;29/Dec;30/Dec;31/Dec;01/Jan;02/Jan;03/Jan;04/Jan;05/Jan;06/Jan;07/Jan;08/Jan;09/Jan;10/Jan;11/Jan;12/Jan;13/Jan;14/Jan;15/Jan;16/Jan;17/Jan;18/Jan;19/Jan;20/Jan;21/Jan;22/Jan;23/Jan;24/Jan;25/Jan;26/Jan;27/Jan;28/Jan;29/Jan;30/Jan;31/Jan;01/Feb;02/Feb;03/Feb;04/Feb;05/Feb;06/Feb;07/Feb;08/Feb;09/Feb;10/Feb;11/Feb;12/Feb;13/Feb;14/Feb;15/Feb;16/Feb;17/Feb;18/Feb;19/Feb;20/Feb;21/Feb;22/Feb;23/Feb;24/Feb;25/Feb;26/Feb;27/Feb;28/Feb;01/Mar;02/Mar;03/Mar;04/Mar;05/Mar;06/Mar;07/Mar;08/Mar;09/Mar;10/Mar;11/Mar;12/Mar;13/Mar;14/Mar;15/Mar;16/Mar;17/Mar;18/Mar;19/Mar;20/Mar;21/Mar;22/Mar;23/Mar;24/Mar;25/Mar;26/Mar;27/Mar;28/Mar;29/Mar;30/Mar;31/Mar
300 - 330;5,5;1,80%;63.736;05:14:34;05:13:26;05:14:49;05:14:44;05:14:18;05:13:12;05:14:11;05:14:26;05:15:29;05:13:39;05:14:35;05:14:07;05:14:33;05:14:59;05:14:46;05:14:19;05:14:34;05:14:42;05:13:54;05:14:19;05:15:02;05:14:01;05:14:30;05:14:21;05:13:59;05:14:36;05:15:35;05:14:25;05:14:32;05:14:26;05:14:34;05:15:11;05:14:56;05:14:43;05:15:11;05:15:15;05:15:51;05:14:53;05:14:49;05:14:54;05:14:12;05:14:41;05:14:45;05:14:46;05:15:02;05:14:52;05:14:43;05:13:55;05:14:56;05:14:52;05:14:40;05:14:29;05:14:26;05:14:56;05:14:57;05:13:30;05:14:57;05:13:56;05:15:39;05:14:49;05:14:06;05:14:16;05:14:16;05:14:46;05:13:49;05:14:38;05:14:03;05:15:01;05:14:39;05:14:54;05:14:29;05:14:51;05:15:11;05:14:42;05:15:17;05:14:22;05:14:50;05:14:49;05:14:07;05:14:47;05:14:53;05:14:14;05:13:39;05:14:52;05:14:05;05:14:32;05:14:44;05:14:44;05:14:01;05:13:54;05:14:55;05:14:49;05:13:43;05:14:32;05:13:57
330 - 360;6;1,60%;54.554;05:44:34;05:44:41;05:44:09;05:44:04;05:44:36;05:44:29;05:44:04;05:44:07;05:44:48;05:43:58;05:44:07;05:44:39;05:44:58;05:44:31;05:45:16;05:44:34;05:45:09;05:44:16;05:44:41;05:43:59;05:44:35;05:44:19;05:44:47;05:44:53;05:44:39;05:44:39;05:44:30;05:44:51;05:45:01;05:44:36;05:44:40;05:45:00;05:44:36;05:45:05;05:45:07;05:44:33;05:44:24;05:43:27;05:44:11;05:44:39;05:43:41;05:44:31;05:44:49;05:45:11;05:44:45;05:45:32;05:44:57;05:44:02;05:43:59;05:44:56;05:44:14;05:45:39;05:44:34;05:45:10;05:44:10;05:44:58;05:45:32;05:44:38;05:45:12;05:43:42;05:44:38;05:43:53;05:44:36;05:44:19;05:44:32;05:43:26;05:44:27;05:44:22;05:44:54;05:45:12;05:44:46;05:44:59;05:43:32;05:44:57;05:44:58;05:43:32;05:45:16;05:44:24;05:44:27;05:43:46;05:45:02;05:44:55;05:44:54;05:45:01;05:45:00;05:44:00;05:44:19;05:44:48;05:44:12;05:43:38;05:44:29;05:44:32;05:45:00;05:44:30;05:44:37
360 - 390;6,5;1,40%;48.805;06:14:42;06:14:35;06:14:17;06:14:37;06:15:07;06:14:24;06:14:24;06:15:02;06:14:46;06:14:15;06:14:19;06:14:18;06:14:32;06:14:23;06:14:53;06:14:57;06:15:08;06:14:36;06:14:54;06:13:39;06:14:35;06:14:05;06:14:33;06:14:40;06:15:11;06:14:26;06:15:26;06:15:43;06:14:38;06:15:03;06:15:28;06:14:20;06:14:21;06:15:33;06:14:09;06:15:04;06:14:23;06:15:02;06:14:46;06:14:05;06:14:14;06:13:24;06:14:46;06:13:43;06:14:05;06:14:53;06:14:21;06:14:14;06:14:40;06:14:37;06:14:59;06:15:11;06:14:59;06:15:06;06:13:44;06:15:45;06:14:40;06:14:58;06:15:22;06:15:20;06:14:36;06:14:43;06:14:06;06:14:52;06:14:45;06:14:48;06:15:02;06:14:31;06:14:21;06:14:53;06:14:37;06:15:17;06:14:23;06:14:51;06:15:26;06:14:45;06:15:09;06:15:05;06:15:08;06:14:18;06:14:34;06:14:20;06:15:41;06:14:59;06:14:25;06:14:34;06:14:56;06:14:41;06:14:14;06:14:12;06:14:57;06:15:28;06:15:08;06:14:57;06:13:56
390 - 420;7;1,30%;43.948;06:44:42;06:44:43;06:44:21;06:45:04;06:44:42;06:45:33;06:44:48;06:45:14;06:44:09;06:44:51;06:45:06;06:44:44;06:43:33;06:44:49;06:45:03;06:45:29;06:44:55;06:44:55;06:44:16;06:44:25;06:45:13;06:44:52;06:44:12;06:45:02;06:44:55;06:43:59;06:44:32;06:45:07;06:44:17;06:44:52;06:44:59;06:43:47;06:44:25;06:46:08;06:44:39;06:44:52;06:44:50;06:44:47;06:44:32;06:43:45;06:44:00;06:45:12;06:44:03;06:45:27;06:45:19;06:44:16;06:45:12;06:43:49;06:44:02;06:45:05;06:45:48;06:45:05;06:44:20;06:43:58;06:43:44;06:44:49;06:44:21;06:44:36;06:44:36;06:44:55;06:44:26;06:43:57;06:45:24;06:45:38;06:44:58;06:45:06;06:44:43;06:43:30;06:43:37;06:44:55;06:45:39;06:44:10;06:44:45;06:44:51;06:45:00;06:46:24;06:44:53;06:45:08;06:45:27;06:44:03;06:44:54;06:45:00;06:44:44;06:44:13;06:45:01;06:44:06;06:43:56;06:44:57;06:43:58;06:44:30;06:44:31;06:45:37;06:44:33;06:44:06;06:44:25
420 - 450;7,5;1,20%;41.091;07:14:46;07:13:54;07:14:57;07:14:51;07:15:18;07:13:49;07:15:07;07:14:28;07:14:57;07:15:52;07:14:17;07:15:34;07:13:49;07:14:48;07:14:51;07:14:48;07:14:26;07:14:36;07:14:28;07:14:33;07:14:50;07:13:47;07:14:37;07:15:26;07:15:33;07:15:57;07:14:07;07:15:59;07:15:23;07:14:35;07:13:49;07:15:33;07:14:30;07:14:11;07:14:55;07:15:04;07:14:41;07:15:03;07:14:18;07:14:36;07:14:49;07:14:58;07:14:17;07:14:30;07:14:45;07:15:03;07:14:14;07:14:08;07:14:42;07:15:02;07:15:15;07:15:28;07:14:35;07:14:31;07:14:20;07:15:14;07:14:57;07:15:05;07:15:43;07:15:15;07:14:35;07:14:56;07:14:53;07:14:51;07:15:44;07:14:49;07:14:11;07:14:15;07:13:41;07:14:24;07:14:51;07:14:49;07:13:56;07:14:44;07:14:03;07:14:37;07:15:40;07:14:47;07:14:41;07:14:49;07:14:54;07:15:32;07:14:19;07:15:31;07:14:49;07:13:37;07:15:08;07:14:56;07:14:41;07:14:10;07:14:43;07:16:06;07:14:47;07:13:34;07:14:49
450 - 480;8;1,10%;38.645;07:44:50;07:44:27;07:44:45;07:44:52;07:44:52;07:45:59;07:44:50;07:45:50;07:44:24;07:45:15;07:44:52;07:44:57;07:44:11;07:45:15;07:44:32;07:44:38;07:44:49;07:44:28;07:44:45;07:44:33;07:45:31;07:45:36;07:44:53;07:44:49;07:45:11;07:44:16;07:43:18;07:44:32;07:45:00;07:45:20;07:45:03;07:44:32;07:44:22;07:46:45;07:45:11;07:44:20;07:45:28;07:45:27;07:44:59;07:44:24;07:44:36;07:45:53;07:45:38;07:44:25;07:45:44;07:44:46;07:44:31;07:45:27;07:45:03;07:44:50;07:45:15;07:46:00;07:44:57;07:43:31;07:44:07;07:44:44;07:44:48;07:44:43;07:44:42;07:44:33;07:44:25;07:44:12;07:45:28;07:44:17;07:45:44;07:45:09;07:44:02;07:44:26;07:45:14;07:45:11;07:44:43;07:43:55;07:44:46;07:44:45;07:44:49;07:43:42;07:45:22;07:45:17;07:45:06;07:43:30;07:45:05;07:43:56;07:43:49;07:44:56;07:44:20;07:44:33;07:44:20;07:44:53;07:44:56;07:44:23;07:45:06;07:45:22;07:45:31;07:44:30;07:44:56
480 - 510;8,5;1,10%;39.177;08:15:08;08:15:16;08:15:14;08:15:26;08:14:32;08:15:11;08:15:47;08:14:15;08:15:10;08:16:07;08:14:20;08:15:32;08:12:52;08:16:26;08:16:20;08:15:43;08:15:07;08:15:38;08:14:54;08:14:21;08:15:05;08:15:07;08:15:51;08:15:22;08:15:30;08:16:01;08:13:48;08:15:33;08:15:36;08:15:25;08:15:41;08:15:26;08:15:15;08:15:43;08:14:34;08:15:45;08:14:58;08:14:41;08:15:18;08:14:08;08:13:40;08:14:48;08:14:44;08:15:32;08:15:21;08:15:05;08:14:46;08:16:10;08:14:44;08:15:43;08:14:19;08:15:24;08:15:31;08:14:07;08:14:12;08:15:43;08:15:41;08:15:48;08:15:07;08:14:55;08:15:49;08:13:58;08:15:34;08:16:13;08:15:58;08:15:34;08:14:55;08:14:56;08:15:04;08:15:12;08:15:27;08:15:11;08:15:04;08:14:18;08:14:48;08:13:46;08:14:39;08:15:17;08:15:18;08:15:06;08:15:49;08:14:30;08:13:52;08:14:39;08:15:38;08:15:02;08:14:51;08:15:10;08:15:42;08:15:07;08:14:30;08:14:52;08:15:42;08:15:29;08:14:44
510 - 540;9;1,20%;41.606;08:44:55;08:44:25;08:45:28;08:44:43;08:45:25;08:44:07;08:45:24;08:45:39;08:44:54;08:45:16;08:44:41;08:44:49;08:44:20;08:46:01;08:44:48;08:45:27;08:44:56;08:44:32;08:45:17;08:43:43;08:44:46;08:45:32;08:45:33;08:44:51;08:45:00;08:43:52;08:43:38;08:44:52;08:45:10;08:45:39;08:45:56;08:44:22;08:44:49;08:43:31;08:45:59;08:44:14;08:45:12;08:44:27;08:45:10;08:45:03;08:44:47;08:45:06;08:45:55;08:45:00;08:45:39;08:45:17;08:44:18;08:44:06;08:45:17;08:45:11;08:44:57;08:45:40;08:45:16;08:44:58;08:44:36;08:45:25;08:44:53;08:44:40;08:44:19;08:44:26;08:43:49;08:44:54;08:45:29;08:44:32;08:44:57;08:44:21;08:45:02;08:44:53;08:44:02;08:45:21;08:45:18;08:45:03;08:45:08;08:45:27;08:43:58;08:43:54;08:44:45;08:44:54;08:45:08;08:44:31;08:45:21;08:45:27;08:44:33;08:44:06;08:44:28;08:44:50;08:45:14;08:44:52;08:45:18;08:45:14;08:44:58;08:45:22;08:45:05;08:44:35;08:45:28
540 - 570;9,5;1,10%;37.286;09:14:29;09:14:35;09:13:31;09:14:17;09:14:22;09:14:38;09:13:29;09:14:05;09:14:38;09:13:50;09:14:47;09:14:47;09:14:37;09:14:16;09:14:22;09:14:39;09:14:18;09:14:49;09:15:46;09:14:06;09:14:13;09:13:40;09:14:04;09:14:47;09:14:47;09:15:21;09:14:13;09:13:29;09:13:42;09:14:03;09:14:10;09:14:17;09:14:10;09:15:47;09:14:49;09:15:09;09:14:17;09:14:05;09:13:43;09:15:35;09:14:49;09:13:58;09:15:03;09:14:28;09:13:50;09:14:02;09:13:33;09:14:41;09:14:23;09:13:45;09:13:40;09:14:15;09:14:49;09:14:52;09:15:57;09:14:38;09:13:50;09:13:56;09:13:46;09:13:35;09:14:46;09:13:21;09:13:35;09:14:21;09:14:34;09:14:47;09:14:17;09:14:21;09:15:25;09:14:37;09:15:26;09:14:49;09:14:24;09:15:04;09:13:54;09:16:35;09:14:02;09:14:55;09:14:09;09:14:55;09:15:26;09:13:56;09:16:37;09:13:55;09:14:33;09:14:39;09:13:37;09:15:05;09:14:55;09:15:05;09:14:38;09:14:31;09:14:51;09:13:56;09:15:18
570 - 600;10;0,80%;29.026;09:44:23;09:44:05;09:44:00;09:44:29;09:45:04;09:45:04;09:43:59;09:44:02;09:45:00;09:45:00;09:43:55;09:44:06;09:44:21;09:43:31;09:44:46;09:42:59;09:43:49;09:44:11;09:45:09;09:43:10;09:45:10;09:44:40;09:43:54;09:43:37;09:44:59;09:44:34;09:44:34;09:44:42;09:43:47;09:44:05;09:45:20;09:44:06;09:44:39;09:45:10;09:44:13;09:43:50;09:46:00;09:43:40;09:44:47;09:44:38;09:45:07;09:45:07;09:44:04;09:45:17;09:44:44;09:44:06;09:45:12;09:44:52;09:44:25;09:43:42;09:45:02;09:44:45;09:44:07;09:44:57;09:44:22;09:44:54;09:44:28;09:43:39;09:44:02;09:44:58;09:45:01;09:44:15;09:44:20;09:44:09;09:44:46;09:44:10;09:43:34;09:44:51;09:43:26;09:43:57;09:45:00;09:44:12;09:43:08;09:44:27;09:44:44;09:45:46;09:44:43;09:44:39;09:44:47;09:44:25;09:44:21;09:44:27;09:42:24;09:43:59;09:44:51;09:43:49;09:44:09;09:44:21;09:44:09;09:44:43;09:44:28;09:43:48;09:44:06;09:43:27;09:44:19
